"PANI base-Cit (+ conc).spc"
"Wavelength nm.","Abs."
250.0,6.00000
251.0,6.00000
252.0,6.00000
253.0,6.00000
254.0,6.00000
255.0,6.00000
256.0,6.00000
257.0,4.82678
258.0,6.00000
259.0,6.00000
260.0,6.00000
261.0,6.00000
262.0,6.00000
263.0,6.00000
264.0,6.00000
265.0,6.00000
266.0,6.00000
267.0,6.00000
268.0,6.00000
269.0,6.00000
270.0,4.82384
271.0,6.00000
272.0,6.00000
273.0,6.00000
274.0,6.00000
275.0,6.00000
276.0,6.00000
277.0,4.40139
278.0,6.00000
279.0,6.00000
280.0,4.35234
281.0,6.00000
282.0,6.00000
283.0,4.22123
284.0,5.24555
285.0,4.24667
286.0,4.13513
287.0,3.91310
288.0,3.97393
289.0,3.61713
290.0,3.75177
291.0,3.69789
292.0,3.62505
293.0,3.43775
294.0,3.39892
295.0,3.48686
296.0,3.40798
297.0,3.33005
298.0,3.30413
299.0,3.26191
300.0,3.26129
301.0,3.15630
302.0,3.15744
303.0,3.10948
304.0,3.06441
305.0,3.01830
306.0,3.06777
307.0,3.01216
308.0,3.01751
309.0,3.04548
310.0,2.98907
311.0,3.03561
312.0,2.98181
313.0,2.98919
314.0,3.01042
315.0,2.98934
316.0,3.06290
317.0,2.99416
318.0,3.06464
319.0,2.98827
320.0,3.02645
321.0,2.97902
322.0,3.02386
323.0,2.96989
324.0,3.02587
325.0,3.05465
326.0,3.02417
327.0,3.00335
328.0,3.02002
329.0,3.03110
330.0,3.00059
331.0,2.96253
332.0,2.98295
333.0,2.98464
334.0,2.97893
335.0,3.00072
336.0,2.95502
337.0,2.96240
338.0,2.94185
339.0,2.90876
340.0,2.91394
341.0,2.88570
342.0,2.87808
343.0,2.84237
344.0,2.83197
345.0,2.80641
346.0,2.81594
347.0,2.78724
348.0,2.76607
349.0,2.73132
350.0,2.70397
351.0,2.69998
352.0,2.65343
353.0,2.62892
354.0,2.59926
355.0,2.57423
356.0,2.54662
357.0,2.50893
358.0,2.47249
359.0,2.45441
360.0,2.42011
361.0,2.38876
362.0,2.35487
363.0,2.32992
364.0,2.28753
365.0,2.25853
366.0,2.21707
367.0,2.17609
368.0,2.15630
369.0,2.11593
370.0,2.09037
371.0,2.05018
372.0,2.01992
373.0,1.99125
374.0,1.95515
375.0,1.93051
376.0,1.89682
377.0,1.86757
378.0,1.84007
379.0,1.80645
380.0,1.77591
381.0,1.74472
382.0,1.71889
383.0,1.68995
384.0,1.66285
385.0,1.63530
386.0,1.60869
387.0,1.58392
388.0,1.55773
389.0,1.53236
390.0,1.50905
391.0,1.48221
392.0,1.46169
393.0,1.43554
394.0,1.41274
395.0,1.38959
396.0,1.36893
397.0,1.34630
398.0,1.32502
399.0,1.30468
400.0,1.28479
401.0,1.26278
402.0,1.24372
403.0,1.22478
404.0,1.20502
405.0,1.18683
406.0,1.16920
407.0,1.15012
408.0,1.13292
409.0,1.11624
410.0,1.09956
411.0,1.08415
412.0,1.06908
413.0,1.05221
414.0,1.03830
415.0,1.02303
416.0,1.01074
417.0,0.99569
418.0,0.98395
419.0,0.97025
420.0,0.95850
421.0,0.94726
422.0,0.93614
423.0,0.92517
424.0,0.91574
425.0,0.90544
426.0,0.89709
427.0,0.88894
428.0,0.88124
429.0,0.87340
430.0,0.86538
431.0,0.85875
432.0,0.85253
433.0,0.84613
434.0,0.84158
435.0,0.83649
436.0,0.83097
437.0,0.82731
438.0,0.82409
439.0,0.82016
440.0,0.81708
441.0,0.81400
442.0,0.81207
443.0,0.80917
444.0,0.80638
445.0,0.80517
446.0,0.80373
447.0,0.80268
448.0,0.80185
449.0,0.80133
450.0,0.80038
451.0,0.80139
452.0,0.80203
453.0,0.80222
454.0,0.80213
455.0,0.80299
456.0,0.80440
457.0,0.80618
458.0,0.80749
459.0,0.80989
460.0,0.81152
461.0,0.81311
462.0,0.81698
463.0,0.81866
464.0,0.82106
465.0,0.82487
466.0,0.82733
467.0,0.83041
468.0,0.83305
469.0,0.83755
470.0,0.84113
471.0,0.84444
472.0,0.84861
473.0,0.85166
474.0,0.85530
475.0,0.85987
476.0,0.86384
477.0,0.86831
478.0,0.87257
479.0,0.87733
480.0,0.88114
481.0,0.88656
482.0,0.89076
483.0,0.89560
484.0,0.90145
485.0,0.90645
486.0,0.91091
487.0,0.91643
488.0,0.92249
489.0,0.92693
490.0,0.93267
491.0,0.93926
492.0,0.94468
493.0,0.94956
494.0,0.95628
495.0,0.96175
496.0,0.96876
497.0,0.97425
498.0,0.98014
499.0,0.98607
500.0,0.99231
501.0,0.99903
502.0,1.00515
503.0,1.01131
504.0,1.01858
505.0,1.02516
506.0,1.03197
507.0,1.03938
508.0,1.04579
509.0,1.05297
510.0,1.06135
511.0,1.06757
512.0,1.07370
513.0,1.08182
514.0,1.08912
515.0,1.09607
516.0,1.10400
517.0,1.11187
518.0,1.11835
519.0,1.12624
520.0,1.13358
521.0,1.14292
522.0,1.14951
523.0,1.15747
524.0,1.16547
525.0,1.17316
526.0,1.18110
527.0,1.18901
528.0,1.19790
529.0,1.20653
530.0,1.21458
531.0,1.22232
532.0,1.23116
533.0,1.24002
534.0,1.24772
535.0,1.25675
536.0,1.26580
537.0,1.27312
538.0,1.28186
539.0,1.29040
540.0,1.29960
541.0,1.30792
542.0,1.31730
543.0,1.32526
544.0,1.33421
545.0,1.34302
546.0,1.35143
547.0,1.36005
548.0,1.36698
549.0,1.37759
550.0,1.38482
551.0,1.39413
552.0,1.40235
553.0,1.41094
554.0,1.42016
555.0,1.42799
556.0,1.43704
557.0,1.44529
558.0,1.45357
559.0,1.46258
560.0,1.47096
561.0,1.47953
562.0,1.48819
563.0,1.49633
564.0,1.50469
565.0,1.51208
566.0,1.52168
567.0,1.52733
568.0,1.53626
569.0,1.54501
570.0,1.55053
571.0,1.55919
572.0,1.56744
573.0,1.57581
574.0,1.58178
575.0,1.58835
576.0,1.59643
577.0,1.60418
578.0,1.61123
579.0,1.61863
580.0,1.62440
581.0,1.63228
582.0,1.63840
583.0,1.64530
584.0,1.65108
585.0,1.65762
586.0,1.66416
587.0,1.67021
588.0,1.67597
589.0,1.67953
590.0,1.68719
591.0,1.69277
592.0,1.69668
593.0,1.70220
594.0,1.70642
595.0,1.71022
596.0,1.71684
597.0,1.72007
598.0,1.72525
599.0,1.72917
600.0,1.73304
601.0,1.73654
602.0,1.74168
603.0,1.74670
604.0,1.74702
605.0,1.75082
606.0,1.75345
607.0,1.75720
608.0,1.76079
609.0,1.76414
610.0,1.76526
611.0,1.76580
612.0,1.76805
613.0,1.77181
614.0,1.77380
615.0,1.77396
616.0,1.77485
617.0,1.77663
618.0,1.77738
619.0,1.77936
620.0,1.77893
621.0,1.78107
622.0,1.78044
623.0,1.78017
624.0,1.78140
625.0,1.78072
626.0,1.77772
627.0,1.77899
628.0,1.78089
629.0,1.77987
630.0,1.77784
631.0,1.77878
632.0,1.77485
633.0,1.77309
634.0,1.77061
635.0,1.77029
636.0,1.76621
637.0,1.76430
638.0,1.76150
639.0,1.75742
640.0,1.75595
641.0,1.75245
642.0,1.75030
643.0,1.74747
644.0,1.74087
645.0,1.73939
646.0,1.73452
647.0,1.73041
648.0,1.72594
649.0,1.72142
650.0,1.71640
651.0,1.70925
652.0,1.70669
653.0,1.70096
654.0,1.69668
655.0,1.68880
656.0,1.68302
657.0,1.67595
658.0,1.67152
659.0,1.66396
660.0,1.65619
661.0,1.64946
662.0,1.64266
663.0,1.63435
664.0,1.62749
665.0,1.61989
666.0,1.61279
667.0,1.60585
668.0,1.59783
669.0,1.58722
670.0,1.57892
671.0,1.57119
672.0,1.56177
673.0,1.55288
674.0,1.54194
675.0,1.53335
676.0,1.52385
677.0,1.51281
678.0,1.50262
679.0,1.49395
680.0,1.48177
681.0,1.47058
682.0,1.46098
683.0,1.44819
684.0,1.43667
685.0,1.42627
686.0,1.41457
687.0,1.40368
688.0,1.39118
689.0,1.38040
690.0,1.36682
691.0,1.35558
692.0,1.34405
693.0,1.33111
694.0,1.31711
695.0,1.30420
696.0,1.29103
697.0,1.27775
698.0,1.26458
699.0,1.25114
700.0,1.23797
701.0,1.22364
702.0,1.21093
703.0,1.19681
704.0,1.18394
705.0,1.16921
706.0,1.15627
707.0,1.14254
708.0,1.12901
709.0,1.11581
710.0,1.10226
711.0,1.08840
712.0,1.07503
713.0,1.06242
714.0,1.04801
715.0,1.03435
716.0,1.02018
717.0,1.00653
718.0,0.99304
719.0,0.97989
720.0,0.96595
721.0,0.95218
722.0,0.93969
723.0,0.92607
724.0,0.91268
725.0,0.89945
726.0,0.88642
727.0,0.87400
728.0,0.86090
