"agua PANI-PSS (-- conc).spc"
"Wavelength nm.","Abs."
250.0,1.60883
251.0,1.58103
252.0,1.55163
253.0,1.52907
254.0,1.50761
255.0,1.48923
256.0,1.46922
257.0,1.44879
258.0,1.42855
259.0,1.41421
260.0,1.40075
261.0,1.39226
262.0,1.38248
263.0,1.36891
264.0,1.35387
265.0,1.34011
266.0,1.33042
267.0,1.32205
268.0,1.31257
269.0,1.30077
270.0,1.28795
271.0,1.27723
272.0,1.26823
273.0,1.25700
274.0,1.24401
275.0,1.23213
276.0,1.22151
277.0,1.21143
278.0,1.20079
279.0,1.19088
280.0,1.17926
281.0,1.16887
282.0,1.15909
283.0,1.15018
284.0,1.14404
285.0,1.13913
286.0,1.13442
287.0,1.12869
288.0,1.12695
289.0,1.12373
290.0,1.12020
291.0,1.12066
292.0,1.11605
293.0,1.11511
294.0,1.11607
295.0,1.11405
296.0,1.11250
297.0,1.11282
298.0,1.11069
299.0,1.11265
300.0,1.11439
301.0,1.11269
302.0,1.11391
303.0,1.11598
304.0,1.11766
305.0,1.11688
306.0,1.12189
307.0,1.12457
308.0,1.12760
309.0,1.13023
310.0,1.13364
311.0,1.13881
312.0,1.13930
313.0,1.14642
314.0,1.15010
315.0,1.15619
316.0,1.16476
317.0,1.16733
318.0,1.17226
319.0,1.17930
320.0,1.18392
321.0,1.19065
322.0,1.19523
323.0,1.20299
324.0,1.20940
325.0,1.21758
326.0,1.22361
327.0,1.22938
328.0,1.23721
329.0,1.24515
330.0,1.25329
331.0,1.26019
332.0,1.26782
333.0,1.27404
334.0,1.28094
335.0,1.28566
336.0,1.29271
337.0,1.29918
338.0,1.30618
339.0,1.31259
340.0,1.31793
341.0,1.32336
342.0,1.32742
343.0,1.33215
344.0,1.33724
345.0,1.33934
346.0,1.34303
347.0,1.34734
348.0,1.35020
349.0,1.35189
350.0,1.35467
351.0,1.35658
352.0,1.35940
353.0,1.35922
354.0,1.36036
355.0,1.36121
356.0,1.36258
357.0,1.36194
358.0,1.36329
359.0,1.36328
360.0,1.36296
361.0,1.36187
362.0,1.36273
363.0,1.36175
364.0,1.36069
365.0,1.36137
366.0,1.36152
367.0,1.35994
368.0,1.35740
369.0,1.35872
370.0,1.35813
371.0,1.35643
372.0,1.35607
373.0,1.35553
374.0,1.35489
375.0,1.35312
376.0,1.35306
377.0,1.35096
378.0,1.35222
379.0,1.35069
380.0,1.34986
381.0,1.34910
382.0,1.34869
383.0,1.34653
384.0,1.34733
385.0,1.34458
386.0,1.34633
387.0,1.34551
388.0,1.34487
389.0,1.34333
390.0,1.34253
391.0,1.34271
392.0,1.34324
393.0,1.34134
394.0,1.34162
395.0,1.34149
396.0,1.34088
397.0,1.34028
398.0,1.33916
399.0,1.33812
400.0,1.33875
401.0,1.33673
402.0,1.33875
403.0,1.33779
404.0,1.33657
405.0,1.33664
406.0,1.33574
407.0,1.33500
408.0,1.33551
409.0,1.33376
410.0,1.33384
411.0,1.33290
412.0,1.33245
413.0,1.32976
414.0,1.33094
415.0,1.32883
416.0,1.32768
417.0,1.32620
418.0,1.32522
419.0,1.32311
420.0,1.32110
421.0,1.31870
422.0,1.31605
423.0,1.31352
424.0,1.31072
425.0,1.30762
426.0,1.30399
427.0,1.30074
428.0,1.29521
429.0,1.29171
430.0,1.28459
431.0,1.27944
432.0,1.26943
433.0,1.26204
434.0,1.25415
435.0,1.24358
436.0,1.23249
437.0,1.21954
438.0,1.20697
439.0,1.19062
440.0,1.17492
441.0,1.15796
442.0,1.14173
443.0,1.12178
444.0,1.10238
445.0,1.08308
446.0,1.06135
447.0,1.04186
448.0,1.02039
449.0,0.99911
450.0,0.97730
451.0,0.95527
452.0,0.93332
453.0,0.90990
454.0,0.88692
455.0,0.86514
456.0,0.84262
457.0,0.82144
458.0,0.79810
459.0,0.77638
460.0,0.75523
461.0,0.73296
462.0,0.71200
463.0,0.69155
464.0,0.67234
465.0,0.65404
466.0,0.63580
467.0,0.61919
468.0,0.60277
469.0,0.58840
470.0,0.57470
471.0,0.56090
472.0,0.54856
473.0,0.53749
474.0,0.52751
475.0,0.51625
476.0,0.50755
477.0,0.49904
478.0,0.49157
479.0,0.48343
480.0,0.47659
481.0,0.47004
482.0,0.46321
483.0,0.45837
484.0,0.45333
485.0,0.44842
486.0,0.44326
487.0,0.43901
488.0,0.43485
489.0,0.43126
490.0,0.42779
491.0,0.42402
492.0,0.42055
493.0,0.41748
494.0,0.41452
495.0,0.41188
496.0,0.40937
497.0,0.40673
498.0,0.40431
499.0,0.40158
500.0,0.40022
501.0,0.39764
502.0,0.39534
503.0,0.39277
504.0,0.39150
505.0,0.38902
506.0,0.38795
507.0,0.38610
508.0,0.38446
509.0,0.38304
510.0,0.38146
511.0,0.38021
512.0,0.37868
513.0,0.37717
514.0,0.37626
515.0,0.37478
516.0,0.37389
517.0,0.37295
518.0,0.37160
519.0,0.37077
520.0,0.36953
521.0,0.36983
522.0,0.36848
523.0,0.36759
524.0,0.36698
525.0,0.36603
526.0,0.36597
527.0,0.36470
528.0,0.36460
529.0,0.36426
530.0,0.36413
531.0,0.36339
532.0,0.36324
533.0,0.36278
534.0,0.36263
535.0,0.36237
536.0,0.36245
537.0,0.36229
538.0,0.36241
539.0,0.36251
540.0,0.36223
541.0,0.36224
542.0,0.36190
543.0,0.36221
544.0,0.36291
545.0,0.36309
546.0,0.36323
547.0,0.36402
548.0,0.36385
549.0,0.36545
550.0,0.36501
551.0,0.36590
552.0,0.36597
553.0,0.36676
554.0,0.36761
555.0,0.36853
556.0,0.36831
557.0,0.36935
558.0,0.37037
559.0,0.37128
560.0,0.37165
561.0,0.37334
562.0,0.37430
563.0,0.37468
564.0,0.37589
565.0,0.37665
566.0,0.37870
567.0,0.37937
568.0,0.38042
569.0,0.38168
570.0,0.38283
571.0,0.38504
572.0,0.38598
573.0,0.38705
574.0,0.38851
575.0,0.39053
576.0,0.39144
577.0,0.39356
578.0,0.39550
579.0,0.39733
580.0,0.39808
581.0,0.40035
582.0,0.40228
583.0,0.40377
584.0,0.40638
585.0,0.40848
586.0,0.41003
587.0,0.41258
588.0,0.41483
589.0,0.41637
590.0,0.41864
591.0,0.42081
592.0,0.42324
593.0,0.42585
594.0,0.42844
595.0,0.43043
596.0,0.43294
597.0,0.43565
598.0,0.43863
599.0,0.44083
600.0,0.44444
601.0,0.44626
602.0,0.44949
603.0,0.45251
604.0,0.45518
605.0,0.45828
606.0,0.46142
607.0,0.46451
608.0,0.46834
609.0,0.47158
610.0,0.47480
611.0,0.47773
612.0,0.48156
613.0,0.48549
614.0,0.48885
615.0,0.49227
616.0,0.49601
617.0,0.49993
618.0,0.50378
619.0,0.50740
620.0,0.51116
621.0,0.51544
622.0,0.51998
623.0,0.52373
624.0,0.52885
625.0,0.53353
626.0,0.53785
627.0,0.54242
628.0,0.54724
629.0,0.55147
630.0,0.55647
631.0,0.56195
632.0,0.56661
633.0,0.57171
634.0,0.57731
635.0,0.58276
636.0,0.58749
637.0,0.59286
638.0,0.59944
639.0,0.60494
640.0,0.61009
641.0,0.61662
642.0,0.62251
643.0,0.62838
644.0,0.63463
645.0,0.64070
646.0,0.64720
647.0,0.65443
648.0,0.66193
649.0,0.66758
650.0,0.67527
651.0,0.68244
652.0,0.68997
653.0,0.69702
654.0,0.70478
655.0,0.71237
656.0,0.72035
657.0,0.72848
658.0,0.73675
659.0,0.74460
660.0,0.75312
661.0,0.76178
662.0,0.77009
663.0,0.77914
664.0,0.78722
665.0,0.79684
666.0,0.80428
667.0,0.81511
668.0,0.82392
669.0,0.83360
670.0,0.84246
671.0,0.85316
672.0,0.86365
673.0,0.87330
674.0,0.88358
675.0,0.89452
676.0,0.90571
677.0,0.91643
678.0,0.92774
679.0,0.93827
680.0,0.94972
681.0,0.96169
682.0,0.97321
683.0,0.98485
684.0,0.99717
685.0,1.00911
686.0,1.02159
687.0,1.03496
688.0,1.04740
689.0,1.06030
690.0,1.07244
691.0,1.08580
692.0,1.10010
693.0,1.11343
694.0,1.12728
695.0,1.14103
696.0,1.15485
697.0,1.16840
698.0,1.18309
699.0,1.19890
700.0,1.21291
701.0,1.22850
702.0,1.24185
703.0,1.25694
704.0,1.27227
705.0,1.28765
706.0,1.30229
707.0,1.31724
708.0,1.33257
709.0,1.34707
710.0,1.36368
711.0,1.37717
712.0,1.39193
713.0,1.40733
714.0,1.42354
715.0,1.43878
716.0,1.45462
717.0,1.46882
718.0,1.48433
719.0,1.49984
720.0,1.51650
721.0,1.53083
722.0,1.54612
723.0,1.56092
724.0,1.57672
725.0,1.59068
726.0,1.60609
727.0,1.61962
728.0,1.63644
729.0,1.65117
730.0,1.66661
731.0,1.67824
732.0,1.69322
733.0,1.70516
734.0,1.72047
735.0,1.73158
736.0,1.74683
737.0,1.75883
738.0,1.77203
739.0,1.78354
740.0,1.79411
741.0,1.81023
742.0,1.81909
743.0,1.82946
744.0,1.84303
745.0,1.85300
746.0,1.85939
747.0,1.87308
748.0,1.88226
749.0,1.89200
750.0,1.90048
751.0,1.90831
752.0,1.91845
753.0,1.92739
754.0,1.93602
755.0,1.94232
756.0,1.95019
757.0,1.95813
758.0,1.96516
759.0,1.96989
760.0,1.97386
761.0,1.98371
762.0,1.99193
763.0,1.99037
764.0,1.99253
765.0,2.00259
766.0,2.00887
767.0,2.01124
768.0,2.01945
769.0,2.02178
770.0,2.02682
771.0,2.02487
772.0,2.02867
773.0,2.03103
774.0,2.03085
775.0,2.03528
776.0,2.03767
777.0,2.03854
778.0,2.04077
779.0,2.03943
780.0,2.04462
781.0,2.03772
782.0,2.04387
783.0,2.04018
784.0,2.04114
785.0,2.04265
786.0,2.04236
787.0,2.04593
788.0,2.03793
789.0,2.03773
790.0,2.04001
791.0,2.03773
792.0,2.03848
793.0,2.03184
794.0,2.02936
795.0,2.02896
796.0,2.02470
797.0,2.02339
798.0,2.01900
799.0,2.01654
800.0,2.02040
801.0,2.01086
802.0,2.00824
803.0,2.00461
804.0,1.99989
805.0,2.00131
806.0,1.99433
807.0,1.99179
808.0,1.98592
809.0,1.98172
810.0,1.97806
811.0,1.97404
812.0,1.96786
