"blanco NMP.spc"
"Wavelength nm.","Abs."
250.0,6.00000
251.0,6.00000
252.0,6.00000
253.0,4.64920
254.0,5.44175
255.0,6.00000
256.0,6.00000
257.0,6.00000
258.0,6.00000
259.0,5.41869
260.0,4.68308
261.0,6.00000
262.0,6.00000
263.0,6.00000
264.0,6.00000
265.0,6.00000
266.0,6.00000
267.0,6.00000
268.0,4.45658
269.0,5.80459
270.0,6.00000
271.0,6.00000
272.0,5.47608
273.0,6.00000
274.0,5.26171
275.0,6.00000
276.0,6.00000
277.0,6.00000
278.0,4.57791
279.0,4.84711
280.0,4.90719
281.0,4.56748
282.0,6.00000
283.0,5.88042
284.0,4.53004
285.0,6.00000
286.0,4.21483
287.0,3.62069
288.0,2.91486
289.0,2.27616
290.0,1.81453
291.0,1.50592
292.0,1.30073
293.0,1.15533
294.0,1.04798
295.0,0.96758
296.0,0.90248
297.0,0.84238
298.0,0.78768
299.0,0.73956
300.0,0.69434
301.0,0.64963
302.0,0.60707
303.0,0.57037
304.0,0.53182
305.0,0.50012
306.0,0.47116
307.0,0.44600
308.0,0.42228
309.0,0.40134
310.0,0.38323
311.0,0.36429
312.0,0.34896
313.0,0.33489
314.0,0.32085
315.0,0.31029
316.0,0.30030
317.0,0.29006
318.0,0.28251
319.0,0.27495
320.0,0.26760
321.0,0.26085
322.0,0.25516
323.0,0.25046
324.0,0.24612
325.0,0.24047
326.0,0.23631
327.0,0.23198
328.0,0.22797
329.0,0.22363
330.0,0.22079
331.0,0.21737
332.0,0.21349
333.0,0.20970
334.0,0.20684
335.0,0.20346
336.0,0.20099
337.0,0.19894
338.0,0.19551
339.0,0.19302
340.0,0.19065
341.0,0.18755
342.0,0.18562
343.0,0.18298
344.0,0.18112
345.0,0.17793
346.0,0.17682
347.0,0.17406
348.0,0.17276
349.0,0.17049
350.0,0.16859
351.0,0.16700
352.0,0.16518
353.0,0.16373
354.0,0.16093
355.0,0.15964
356.0,0.15766
357.0,0.15594
358.0,0.15404
359.0,0.15319
360.0,0.15112
361.0,0.15031
362.0,0.14889
363.0,0.14807
364.0,0.14620
365.0,0.14464
366.0,0.14311
367.0,0.14156
368.0,0.13967
369.0,0.13925
370.0,0.13744
371.0,0.13647
372.0,0.13474
373.0,0.13343
374.0,0.13247
375.0,0.13154
376.0,0.13002
377.0,0.12892
378.0,0.12761
379.0,0.12713
380.0,0.12462
381.0,0.12319
382.0,0.12315
383.0,0.12169
384.0,0.11996
385.0,0.11838
386.0,0.11860
387.0,0.11737
388.0,0.11661
389.0,0.11512
390.0,0.11479
391.0,0.11374
392.0,0.11283
393.0,0.11139
394.0,0.11071
395.0,0.10948
396.0,0.10909
397.0,0.10810
398.0,0.10760
399.0,0.10703
400.0,0.10614
401.0,0.10530
402.0,0.10510
403.0,0.10453
404.0,0.10345
405.0,0.10251
406.0,0.10259
407.0,0.10170
408.0,0.10174
409.0,0.10137
410.0,0.10036
411.0,0.10000
412.0,0.09978
413.0,0.09875
414.0,0.09854
415.0,0.09809
416.0,0.09746
417.0,0.09728
418.0,0.09692
419.0,0.09619
420.0,0.09592
421.0,0.09526
422.0,0.09462
423.0,0.09393
424.0,0.09448
425.0,0.09315
426.0,0.09320
427.0,0.09322
428.0,0.09276
429.0,0.09211
430.0,0.09098
431.0,0.09158
432.0,0.09076
433.0,0.09072
434.0,0.09045
435.0,0.09035
436.0,0.08933
437.0,0.08900
438.0,0.08903
439.0,0.08843
440.0,0.08897
441.0,0.08826
442.0,0.08795
443.0,0.08806
444.0,0.08688
445.0,0.08730
446.0,0.08701
447.0,0.08727
448.0,0.08676
449.0,0.08607
450.0,0.08567
451.0,0.08553
452.0,0.08565
453.0,0.08570
454.0,0.08523
455.0,0.08481
456.0,0.08469
457.0,0.08530
458.0,0.08395
459.0,0.08463
460.0,0.08440
461.0,0.08362
462.0,0.08381
463.0,0.08361
464.0,0.08301
465.0,0.08386
466.0,0.08329
467.0,0.08270
468.0,0.08259
469.0,0.08303
470.0,0.08289
471.0,0.08257
472.0,0.08254
473.0,0.08211
474.0,0.08219
475.0,0.08157
476.0,0.08161
477.0,0.08188
478.0,0.08181
479.0,0.08143
480.0,0.08093
481.0,0.08126
482.0,0.08017
483.0,0.08044
484.0,0.08071
485.0,0.08073
486.0,0.08029
487.0,0.08014
488.0,0.08051
489.0,0.08022
490.0,0.08042
491.0,0.08013
492.0,0.07985
493.0,0.07942
494.0,0.07972
495.0,0.07955
496.0,0.08029
497.0,0.07974
498.0,0.07930
499.0,0.07897
500.0,0.07933
501.0,0.07925
502.0,0.07882
503.0,0.07871
504.0,0.07871
505.0,0.07850
506.0,0.07873
507.0,0.07905
508.0,0.07876
509.0,0.07869
510.0,0.07858
511.0,0.07834
512.0,0.07792
513.0,0.07792
514.0,0.07812
515.0,0.07800
516.0,0.07821
517.0,0.07810
518.0,0.07719
519.0,0.07801
520.0,0.07673
521.0,0.07795
522.0,0.07750
523.0,0.07680
524.0,0.07766
525.0,0.07720
526.0,0.07755
527.0,0.07657
528.0,0.07669
529.0,0.07653
530.0,0.07694
531.0,0.07549
532.0,0.07631
533.0,0.07559
534.0,0.07602
535.0,0.07567
536.0,0.07625
537.0,0.07597
538.0,0.07575
539.0,0.07620
540.0,0.07551
541.0,0.07552
542.0,0.07466
543.0,0.07486
544.0,0.07566
545.0,0.07488
546.0,0.07492
547.0,0.07508
548.0,0.07512
549.0,0.07558
550.0,0.07514
551.0,0.07468
552.0,0.07439
553.0,0.07479
554.0,0.07504
555.0,0.07465
556.0,0.07367
557.0,0.07428
558.0,0.07442
559.0,0.07423
560.0,0.07430
561.0,0.07467
562.0,0.07408
563.0,0.07381
564.0,0.07406
565.0,0.07382
566.0,0.07376
567.0,0.07372
568.0,0.07380
569.0,0.07399
570.0,0.07329
571.0,0.07415
572.0,0.07354
573.0,0.07354
574.0,0.07356
575.0,0.07362
576.0,0.07290
577.0,0.07346
578.0,0.07311
579.0,0.07363
580.0,0.07311
581.0,0.07332
582.0,0.07324
583.0,0.07295
584.0,0.07361
585.0,0.07302
586.0,0.07323
587.0,0.07261
588.0,0.07314
589.0,0.07242
590.0,0.07241
591.0,0.07266
592.0,0.07257
593.0,0.07304
594.0,0.07289
595.0,0.07239
596.0,0.07206
597.0,0.07248
598.0,0.07226
599.0,0.07179
600.0,0.07270
601.0,0.07232
602.0,0.07207
603.0,0.07188
604.0,0.07169
605.0,0.07165
606.0,0.07131
607.0,0.07167
608.0,0.07225
609.0,0.07169
610.0,0.07193
611.0,0.07178
612.0,0.07210
613.0,0.07197
614.0,0.07198
615.0,0.07132
616.0,0.07152
617.0,0.07170
618.0,0.07169
619.0,0.07176
620.0,0.07142
621.0,0.07159
622.0,0.07165
623.0,0.07136
624.0,0.07201
625.0,0.07200
626.0,0.07175
627.0,0.07212
628.0,0.07224
629.0,0.07182
630.0,0.07162
631.0,0.07190
632.0,0.07205
633.0,0.07110
634.0,0.07158
635.0,0.07178
636.0,0.07140
637.0,0.07068
638.0,0.07129
639.0,0.07148
640.0,0.07146
641.0,0.07136
642.0,0.07117
643.0,0.07155
644.0,0.07077
645.0,0.07103
646.0,0.07125
647.0,0.07118
648.0,0.07108
649.0,0.07056
650.0,0.07083
651.0,0.07054
652.0,0.07099
653.0,0.07115
654.0,0.07114
655.0,0.07054
656.0,0.07026
657.0,0.07021
658.0,0.07106
659.0,0.07070
660.0,0.07084
661.0,0.07093
662.0,0.07028
663.0,0.07028
664.0,0.07018
665.0,0.07099
666.0,0.07057
667.0,0.07120
668.0,0.07071
669.0,0.07008
670.0,0.07024
671.0,0.07069
672.0,0.06983
673.0,0.07040
674.0,0.07014
675.0,0.07005
676.0,0.07067
677.0,0.07010
678.0,0.07011
679.0,0.07003
680.0,0.06979
681.0,0.07025
682.0,0.07055
683.0,0.07001
684.0,0.06969
685.0,0.06999
686.0,0.06960
687.0,0.06967
688.0,0.06994
689.0,0.07032
690.0,0.07025
691.0,0.07018
692.0,0.07019
693.0,0.07066
694.0,0.06960
695.0,0.06966
696.0,0.06957
697.0,0.06974
698.0,0.06969
699.0,0.07040
700.0,0.06942
701.0,0.07006
702.0,0.06975
703.0,0.06968
704.0,0.07043
705.0,0.07013
706.0,0.06923
707.0,0.07010
708.0,0.07043
709.0,0.07011
710.0,0.06994
711.0,0.06986
712.0,0.06967
713.0,0.07024
714.0,0.06975
715.0,0.06995
716.0,0.07066
717.0,0.06994
718.0,0.07006
719.0,0.07062
720.0,0.07024
721.0,0.07033
722.0,0.07099
723.0,0.07090
724.0,0.07053
725.0,0.07078
726.0,0.07163
727.0,0.07167
728.0,0.07127
729.0,0.07144
