"m-cresol PANI base-Cit (- conc).spc"
"Wavelength nm.","Abs."
250.0,4.20845
251.0,4.40607
252.0,6.00000
253.0,6.00000
254.0,6.00000
255.0,6.00000
256.0,6.00000
257.0,6.00000
258.0,6.00000
259.0,6.00000
260.0,6.00000
261.0,6.00000
262.0,6.00000
263.0,6.00000
264.0,6.00000
265.0,6.00000
266.0,6.00000
267.0,6.00000
268.0,6.00000
269.0,6.00000
270.0,6.00000
271.0,6.00000
272.0,6.00000
273.0,6.00000
274.0,6.00000
275.0,6.00000
276.0,6.00000
277.0,6.00000
278.0,6.00000
279.0,6.00000
280.0,6.00000
281.0,6.00000
282.0,6.00000
283.0,6.00000
284.0,6.00000
285.0,6.00000
286.0,5.31469
287.0,6.00000
288.0,6.00000
289.0,4.27837
290.0,6.00000
291.0,6.00000
292.0,6.00000
293.0,6.00000
294.0,6.00000
295.0,4.61069
296.0,6.00000
297.0,6.00000
298.0,4.56026
299.0,4.51969
300.0,6.00000
301.0,6.00000
302.0,6.00000
303.0,3.98047
304.0,6.00000
305.0,5.04422
306.0,5.10326
307.0,5.72257
308.0,6.00000
309.0,6.00000
310.0,6.00000
311.0,6.00000
312.0,6.00000
313.0,5.33432
314.0,6.00000
315.0,4.32691
316.0,3.87472
317.0,4.54506
318.0,4.45903
319.0,3.87686
320.0,4.25966
321.0,4.60517
322.0,4.30623
323.0,4.06824
324.0,3.85485
325.0,3.79170
326.0,3.85410
327.0,3.75140
328.0,3.63523
329.0,3.66654
330.0,3.57205
331.0,3.55428
332.0,3.39429
333.0,3.56390
334.0,3.38192
335.0,3.36000
336.0,3.38027
337.0,3.30548
338.0,3.30311
339.0,3.21305
340.0,3.24140
341.0,3.25062
342.0,3.21329
343.0,3.17305
344.0,3.14275
345.0,3.11193
346.0,3.12941
347.0,3.10072
348.0,3.06198
349.0,3.07669
350.0,3.04551
351.0,2.99847
352.0,2.97247
353.0,2.98815
354.0,2.97129
355.0,2.92218
356.0,2.90596
357.0,2.89230
358.0,2.88595
359.0,2.85312
360.0,2.84256
361.0,2.82416
362.0,2.80783
363.0,2.79051
364.0,2.78724
365.0,2.73377
366.0,2.71833
367.0,2.72178
368.0,2.70967
369.0,2.68249
370.0,2.65716
371.0,2.65470
372.0,2.65164
373.0,2.63324
374.0,2.62566
375.0,2.59563
376.0,2.59523
377.0,2.56776
378.0,2.56142
379.0,2.55328
380.0,2.53459
381.0,2.52737
382.0,2.51019
383.0,2.49399
384.0,2.49454
385.0,2.47575
386.0,2.45851
387.0,2.44808
388.0,2.44167
389.0,2.42301
390.0,2.41309
391.0,2.39202
392.0,2.38732
393.0,2.36511
394.0,2.36401
395.0,2.34202
396.0,2.33762
397.0,2.32353
398.0,2.30904
399.0,2.29634
400.0,2.28402
401.0,2.27763
402.0,2.26722
403.0,2.25612
404.0,2.25651
405.0,2.24600
406.0,2.22778
407.0,2.22081
408.0,2.21545
409.0,2.20893
410.0,2.20024
411.0,2.19810
412.0,2.18961
413.0,2.17764
414.0,2.17319
415.0,2.16169
416.0,2.15269
417.0,2.14492
418.0,2.13820
419.0,2.12118
420.0,2.11791
421.0,2.11446
422.0,2.10116
423.0,2.09371
424.0,2.08072
425.0,2.07574
426.0,2.06727
427.0,2.05494
428.0,2.04491
429.0,2.03830
430.0,2.02283
431.0,2.01385
432.0,1.99954
433.0,1.99300
434.0,1.97275
435.0,1.97033
436.0,1.95791
437.0,1.94895
438.0,1.93548
439.0,1.92085
440.0,1.90291
441.0,1.89139
442.0,1.87887
443.0,1.86113
444.0,1.84507
445.0,1.82773
446.0,1.81223
447.0,1.79381
448.0,1.77518
449.0,1.75689
450.0,1.73466
451.0,1.71740
452.0,1.69782
453.0,1.67832
454.0,1.65559
455.0,1.63542
456.0,1.61409
457.0,1.59327
458.0,1.57110
459.0,1.55023
460.0,1.52978
461.0,1.50939
462.0,1.48990
463.0,1.47040
464.0,1.45141
465.0,1.43252
466.0,1.41482
467.0,1.39785
468.0,1.37995
469.0,1.36447
470.0,1.34919
471.0,1.33269
472.0,1.31785
473.0,1.30369
474.0,1.28943
475.0,1.27518
476.0,1.26277
477.0,1.24991
478.0,1.23733
479.0,1.22386
480.0,1.21224
481.0,1.20103
482.0,1.18793
483.0,1.17730
484.0,1.16810
485.0,1.15797
486.0,1.14748
487.0,1.13807
488.0,1.12853
489.0,1.11985
490.0,1.11174
491.0,1.10359
492.0,1.09586
493.0,1.08883
494.0,1.08189
495.0,1.07498
496.0,1.06900
497.0,1.06211
498.0,1.05696
499.0,1.05105
500.0,1.04550
501.0,1.04001
502.0,1.03404
503.0,1.02918
504.0,1.02391
505.0,1.01899
506.0,1.01534
507.0,1.01015
508.0,1.00604
509.0,1.00257
510.0,0.99844
511.0,0.99413
512.0,0.99092
513.0,0.98689
514.0,0.98382
515.0,0.98100
516.0,0.97781
517.0,0.97459
518.0,0.97193
519.0,0.96904
520.0,0.96588
521.0,0.96494
522.0,0.96244
523.0,0.96015
524.0,0.95734
525.0,0.95636
526.0,0.95474
527.0,0.95190
528.0,0.95025
529.0,0.94896
530.0,0.94788
531.0,0.94620
532.0,0.94540
533.0,0.94411
534.0,0.94350
535.0,0.94254
536.0,0.94231
537.0,0.94160
538.0,0.94087
539.0,0.93999
540.0,0.93948
541.0,0.93953
542.0,0.93878
543.0,0.93895
544.0,0.93892
545.0,0.93903
546.0,0.93872
547.0,0.93973
548.0,0.93959
549.0,0.94040
550.0,0.94020
551.0,0.94028
552.0,0.93997
553.0,0.94182
554.0,0.94263
555.0,0.94308
556.0,0.94302
557.0,0.94389
558.0,0.94510
559.0,0.94501
560.0,0.94608
561.0,0.94755
562.0,0.94820
563.0,0.94877
564.0,0.94939
565.0,0.95023
566.0,0.95167
567.0,0.95251
568.0,0.95364
569.0,0.95486
570.0,0.95632
571.0,0.95797
572.0,0.95861
573.0,0.96003
574.0,0.96097
575.0,0.96262
576.0,0.96356
577.0,0.96551
578.0,0.96665
579.0,0.96785
580.0,0.96903
581.0,0.97044
582.0,0.97191
583.0,0.97331
584.0,0.97506
585.0,0.97693
586.0,0.97791
587.0,0.97995
588.0,0.98126
589.0,0.98269
590.0,0.98446
591.0,0.98623
592.0,0.98726
593.0,0.98879
594.0,0.99093
595.0,0.99183
596.0,0.99328
597.0,0.99495
598.0,0.99655
599.0,0.99755
600.0,1.00020
601.0,1.00068
602.0,1.00236
603.0,1.00422
604.0,1.00513
605.0,1.00673
606.0,1.00804
607.0,1.01027
608.0,1.01219
609.0,1.01342
610.0,1.01499
611.0,1.01568
612.0,1.01755
613.0,1.01872
614.0,1.02060
615.0,1.02156
616.0,1.02377
617.0,1.02458
618.0,1.02611
619.0,1.02745
620.0,1.02791
621.0,1.02919
622.0,1.03026
623.0,1.03202
624.0,1.03367
625.0,1.03470
626.0,1.03548
627.0,1.03644
628.0,1.03867
629.0,1.03864
630.0,1.03918
631.0,1.03980
632.0,1.04146
633.0,1.04284
634.0,1.04352
635.0,1.04361
636.0,1.04497
637.0,1.04560
638.0,1.04592
639.0,1.04647
640.0,1.04703
641.0,1.04814
642.0,1.04868
643.0,1.04891
644.0,1.04924
645.0,1.04984
646.0,1.05036
647.0,1.05065
648.0,1.05158
649.0,1.05094
650.0,1.05183
651.0,1.05172
652.0,1.05248
653.0,1.05294
654.0,1.05286
655.0,1.05330
656.0,1.05321
657.0,1.05424
658.0,1.05416
659.0,1.05415
660.0,1.05442
661.0,1.05415
662.0,1.05396
663.0,1.05385
664.0,1.05316
665.0,1.05400
666.0,1.05312
667.0,1.05374
668.0,1.05267
669.0,1.05198
670.0,1.05096
671.0,1.05083
672.0,1.05013
673.0,1.04945
674.0,1.04812
675.0,1.04814
676.0,1.04807
677.0,1.04671
678.0,1.04617
679.0,1.04538
680.0,1.04433
681.0,1.04306
682.0,1.04213
683.0,1.04129
684.0,1.03956
685.0,1.03820
686.0,1.03667
687.0,1.03605
688.0,1.03489
689.0,1.03324
690.0,1.03289
691.0,1.03108
692.0,1.02918
693.0,1.02871
694.0,1.02685
695.0,1.02441
696.0,1.02295
697.0,1.02157
698.0,1.01957
699.0,1.01849
700.0,1.01602
701.0,1.01487
702.0,1.01178
703.0,1.01074
704.0,1.00925
705.0,1.00640
706.0,1.00421
707.0,1.00283
708.0,1.00077
709.0,0.99916
710.0,0.99705
711.0,0.99480
712.0,0.99212
713.0,0.98998
714.0,0.98687
715.0,0.98602
716.0,0.98261
717.0,0.97969
718.0,0.97657
