"m-cresol PANI base-H3PO4.spc"
"Wavelength nm.","Abs."
250.0,5.29859
251.0,6.00000
252.0,6.00000
253.0,6.00000
254.0,6.00000
255.0,6.00000
256.0,6.00000
257.0,6.00000
258.0,6.00000
259.0,6.00000
260.0,6.00000
261.0,6.00000
262.0,6.00000
263.0,6.00000
264.0,6.00000
265.0,6.00000
266.0,6.00000
267.0,6.00000
268.0,6.00000
269.0,6.00000
270.0,6.00000
271.0,6.00000
272.0,6.00000
273.0,6.00000
274.0,6.00000
275.0,6.00000
276.0,6.00000
277.0,6.00000
278.0,6.00000
279.0,6.00000
280.0,5.46839
281.0,6.00000
282.0,4.61730
283.0,6.00000
284.0,6.00000
285.0,4.63114
286.0,4.14297
287.0,6.00000
288.0,4.50727
289.0,6.00000
290.0,6.00000
291.0,6.00000
292.0,4.80756
293.0,4.45413
294.0,6.00000
295.0,4.57043
296.0,4.83357
297.0,6.00000
298.0,4.56003
299.0,6.00000
300.0,6.00000
301.0,3.97209
302.0,6.00000
303.0,4.29796
304.0,6.00000
305.0,6.00000
306.0,4.64323
307.0,6.00000
308.0,4.22844
309.0,4.13746
310.0,6.00000
311.0,3.95003
312.0,4.55770
313.0,4.07461
314.0,3.74201
315.0,3.81942
316.0,3.76707
317.0,3.57907
318.0,3.45366
319.0,3.53234
320.0,3.36730
321.0,3.45352
322.0,3.22642
323.0,3.28020
324.0,3.24650
325.0,3.13537
326.0,3.15426
327.0,3.04280
328.0,2.99196
329.0,2.89054
330.0,2.90999
331.0,2.85121
332.0,2.81157
333.0,2.77901
334.0,2.73959
335.0,2.70071
336.0,2.68740
337.0,2.65312
338.0,2.62808
339.0,2.61389
340.0,2.56904
341.0,2.54567
342.0,2.51684
343.0,2.48633
344.0,2.46986
345.0,2.43483
346.0,2.41963
347.0,2.39163
348.0,2.36725
349.0,2.34073
350.0,2.31161
351.0,2.29040
352.0,2.25888
353.0,2.23857
354.0,2.20740
355.0,2.18195
356.0,2.15785
357.0,2.13226
358.0,2.10220
359.0,2.07627
360.0,2.04825
361.0,2.02509
362.0,2.00032
363.0,1.97929
364.0,1.95280
365.0,1.92761
366.0,1.89911
367.0,1.87708
368.0,1.85324
369.0,1.82814
370.0,1.80960
371.0,1.78548
372.0,1.76499
373.0,1.74225
374.0,1.72061
375.0,1.70200
376.0,1.68210
377.0,1.66352
378.0,1.64581
379.0,1.62798
380.0,1.60987
381.0,1.59195
382.0,1.57668
383.0,1.55875
384.0,1.54230
385.0,1.52341
386.0,1.50737
387.0,1.49067
388.0,1.47635
389.0,1.45856
390.0,1.44190
391.0,1.42732
392.0,1.41266
393.0,1.39601
394.0,1.38250
395.0,1.36913
396.0,1.35515
397.0,1.34237
398.0,1.33142
