"PANI-pss 7 dias (++ conc).spc"
"Wavelength nm.","Abs."
250.0,1.96600
251.0,1.97013
252.0,1.96988
253.0,1.97158
254.0,1.97722
255.0,1.97883
256.0,1.98165
257.0,1.98440
258.0,1.97272
259.0,1.97587
260.0,1.97499
261.0,1.97383
262.0,1.96769
263.0,1.95523
264.0,1.94854
265.0,1.93659
266.0,1.92319
267.0,1.91486
268.0,1.90303
269.0,1.87907
270.0,1.86262
271.0,1.84444
272.0,1.82774
273.0,1.80621
274.0,1.78464
275.0,1.75902
276.0,1.73388
277.0,1.71100
278.0,1.68491
279.0,1.66235
280.0,1.63934
281.0,1.61663
282.0,1.59213
283.0,1.56894
284.0,1.54573
285.0,1.52488
286.0,1.50270
287.0,1.48110
288.0,1.45953
289.0,1.44032
290.0,1.42084
291.0,1.40240
292.0,1.38602
293.0,1.36750
294.0,1.35153
295.0,1.33654
296.0,1.32333
297.0,1.31058
298.0,1.29823
299.0,1.29229
300.0,1.28144
301.0,1.27226
302.0,1.26466
303.0,1.25862
304.0,1.25571
305.0,1.25276
306.0,1.24912
307.0,1.24678
308.0,1.24438
309.0,1.24359
310.0,1.24279
311.0,1.24177
312.0,1.24342
313.0,1.24673
314.0,1.24560
315.0,1.24552
316.0,1.24874
317.0,1.24901
318.0,1.25292
319.0,1.25204
320.0,1.25595
321.0,1.25870
322.0,1.26247
323.0,1.26333
324.0,1.26872
325.0,1.27174
326.0,1.27491
327.0,1.27791
328.0,1.28058
329.0,1.28442
330.0,1.28791
331.0,1.29281
332.0,1.29583
333.0,1.29780
334.0,1.30271
335.0,1.30579
336.0,1.30724
337.0,1.31194
338.0,1.31323
339.0,1.31658
340.0,1.32065
341.0,1.32238
342.0,1.32418
343.0,1.32568
344.0,1.33019
345.0,1.33007
346.0,1.33204
347.0,1.33453
348.0,1.33612
349.0,1.33687
350.0,1.33852
351.0,1.33934
352.0,1.33931
353.0,1.34129
354.0,1.34067
355.0,1.34162
356.0,1.34179
357.0,1.34322
358.0,1.34214
359.0,1.34519
360.0,1.34467
361.0,1.34560
362.0,1.34700
363.0,1.34598
364.0,1.34774
365.0,1.34565
366.0,1.34658
367.0,1.34798
368.0,1.34646
369.0,1.34668
370.0,1.34721
371.0,1.34541
372.0,1.34540
373.0,1.34373
374.0,1.34431
375.0,1.34577
376.0,1.34463
377.0,1.34438
378.0,1.34454
379.0,1.34264
380.0,1.34312
381.0,1.34401
382.0,1.34324
383.0,1.34276
384.0,1.34164
385.0,1.34191
386.0,1.34205
387.0,1.34264
388.0,1.34292
389.0,1.34498
390.0,1.34545
391.0,1.34387
392.0,1.34355
393.0,1.34400
394.0,1.34161
395.0,1.34151
396.0,1.33989
397.0,1.33925
398.0,1.34023
399.0,1.34039
400.0,1.33986
401.0,1.34002
402.0,1.34303
403.0,1.34516
404.0,1.34212
405.0,1.34196
406.0,1.34146
407.0,1.34021
408.0,1.33968
409.0,1.34135
410.0,1.34065
411.0,1.34211
412.0,1.34342
413.0,1.34157
414.0,1.34213
415.0,1.33988
416.0,1.33968
417.0,1.33800
418.0,1.33693
419.0,1.33726
420.0,1.33802
421.0,1.34291
422.0,1.34274
423.0,1.34285
424.0,1.34310
425.0,1.34242
426.0,1.34121
427.0,1.34225
428.0,1.34081
429.0,1.34104
430.0,1.33851
431.0,1.33719
432.0,1.33732
433.0,1.33274
434.0,1.33093
435.0,1.32776
436.0,1.32169
437.0,1.31885
438.0,1.31307
439.0,1.30844
440.0,1.30123
441.0,1.29327
442.0,1.28335
443.0,1.27480
444.0,1.26490
445.0,1.25397
446.0,1.24310
447.0,1.23208
448.0,1.22150
449.0,1.20990
450.0,1.19852
451.0,1.18672
452.0,1.17309
453.0,1.15960
454.0,1.14379
455.0,1.12969
456.0,1.11490
457.0,1.09888
458.0,1.08315
459.0,1.06714
460.0,1.05078
461.0,1.03399
462.0,1.01784
463.0,1.00161
464.0,0.98499
465.0,0.96932
466.0,0.95303
467.0,0.93935
468.0,0.92491
469.0,0.91072
470.0,0.89744
471.0,0.88538
472.0,0.87259
473.0,0.86194
474.0,0.85176
475.0,0.84139
476.0,0.83233
477.0,0.82324
478.0,0.81465
479.0,0.80561
480.0,0.79759
481.0,0.79004
482.0,0.78288
483.0,0.77632
484.0,0.77043
485.0,0.76389
486.0,0.75706
487.0,0.75223
488.0,0.74768
489.0,0.74290
490.0,0.73855
491.0,0.73440
492.0,0.73035
493.0,0.72627
494.0,0.72212
495.0,0.71816
496.0,0.71382
497.0,0.70996
498.0,0.70624
