"PANI-pss 7 dias.spc"
"Wavelength nm.","Abs."
250.0,0.83110
251.0,0.83670
252.0,0.84217
253.0,0.84970
254.0,0.85583
255.0,0.86178
256.0,0.86646
257.0,0.86846
258.0,0.86866
259.0,0.87043
260.0,0.87237
261.0,0.87393
262.0,0.87285
263.0,0.86817
264.0,0.86163
265.0,0.85567
266.0,0.85040
267.0,0.84340
268.0,0.83585
269.0,0.82458
270.0,0.81187
271.0,0.80034
272.0,0.78853
273.0,0.77525
274.0,0.76016
275.0,0.74489
276.0,0.72897
277.0,0.71338
278.0,0.69601
279.0,0.68049
280.0,0.66491
281.0,0.64897
282.0,0.63292
283.0,0.61609
284.0,0.59945
285.0,0.58407
286.0,0.56753
287.0,0.55335
288.0,0.53560
289.0,0.52306
290.0,0.50773
291.0,0.49464
292.0,0.48082
293.0,0.46812
294.0,0.45687
295.0,0.44679
296.0,0.43617
297.0,0.42529
298.0,0.41669
299.0,0.41037
300.0,0.40207
301.0,0.39552
302.0,0.39023
303.0,0.38522
304.0,0.38168
305.0,0.37750
306.0,0.37424
307.0,0.37158
308.0,0.36977
309.0,0.36659
310.0,0.36592
311.0,0.36532
312.0,0.36435
313.0,0.36503
314.0,0.36390
315.0,0.36323
316.0,0.36323
317.0,0.36414
318.0,0.36473
319.0,0.36450
320.0,0.36605
321.0,0.36721
322.0,0.36754
323.0,0.36780
324.0,0.36905
325.0,0.37050
326.0,0.37022
327.0,0.37229
328.0,0.37386
329.0,0.37358
330.0,0.37496
331.0,0.37595
332.0,0.37757
333.0,0.37867
334.0,0.37906
335.0,0.38109
336.0,0.38194
337.0,0.38287
338.0,0.38391
339.0,0.38463
340.0,0.38527
341.0,0.38674
342.0,0.38660
343.0,0.38784
344.0,0.38927
345.0,0.38936
346.0,0.38982
347.0,0.39071
348.0,0.39090
349.0,0.39159
350.0,0.39158
351.0,0.39222
352.0,0.39243
353.0,0.39280
354.0,0.39251
355.0,0.39318
356.0,0.39357
357.0,0.39335
358.0,0.39281
359.0,0.39298
360.0,0.39343
361.0,0.39304
362.0,0.39363
363.0,0.39343
364.0,0.39385
365.0,0.39366
366.0,0.39307
367.0,0.39347
368.0,0.39323
369.0,0.39257
370.0,0.39310
371.0,0.39284
372.0,0.39211
373.0,0.39236
374.0,0.39204
375.0,0.39213
376.0,0.39175
377.0,0.39213
378.0,0.39105
379.0,0.39060
380.0,0.39049
381.0,0.39056
382.0,0.39143
383.0,0.39105
384.0,0.39016
385.0,0.39034
386.0,0.39001
387.0,0.39033
388.0,0.38939
389.0,0.39002
390.0,0.38943
391.0,0.38932
392.0,0.38943
393.0,0.38956
394.0,0.38924
395.0,0.38849
396.0,0.38908
397.0,0.38903
398.0,0.38856
399.0,0.38861
400.0,0.38849
401.0,0.38864
402.0,0.38806
403.0,0.38843
404.0,0.38907
405.0,0.38778
406.0,0.38882
407.0,0.38824
408.0,0.38813
409.0,0.38848
410.0,0.38775
411.0,0.38809
412.0,0.38834
413.0,0.38800
414.0,0.38823
415.0,0.38753
416.0,0.38767
417.0,0.38715
418.0,0.38655
419.0,0.38746
420.0,0.38684
421.0,0.38696
422.0,0.38691
423.0,0.38597
