"pss.spc"
"Wavelength nm.","Abs."
250.0,5.19788
251.0,4.25085
252.0,6.00000
253.0,4.66931
254.0,6.00000
255.0,6.00000
256.0,4.49191
257.0,4.82838
258.0,4.39062
259.0,5.11407
260.0,4.67276
261.0,6.00000
262.0,6.00000
263.0,6.00000
264.0,6.00000
265.0,6.00000
266.0,3.97748
267.0,4.05620
268.0,4.26700
269.0,4.41426
270.0,6.00000
271.0,4.42186
272.0,6.00000
273.0,4.54045
274.0,3.52943
275.0,2.92989
276.0,2.44444
277.0,2.05907
278.0,1.76846
279.0,1.58502
280.0,1.49504
281.0,1.47544
282.0,1.49192
283.0,1.50751
284.0,1.44916
285.0,1.30152
286.0,1.13424
287.0,1.00073
288.0,0.89040
289.0,0.81726
290.0,0.77850
291.0,0.78900
292.0,0.85174
293.0,0.92310
294.0,0.85499
295.0,0.66497
296.0,0.48798
297.0,0.36207
298.0,0.28548
299.0,0.24063
300.0,0.21058
301.0,0.18634
302.0,0.17153
303.0,0.16072
304.0,0.15247
305.0,0.14618
306.0,0.14108
307.0,0.13710
308.0,0.13419
309.0,0.13024
310.0,0.12773
311.0,0.12582
312.0,0.12345
313.0,0.12240
314.0,0.11991
315.0,0.11848
316.0,0.11752
317.0,0.11566
318.0,0.11560
319.0,0.11348
320.0,0.11269
321.0,0.11182
322.0,0.11109
323.0,0.10960
324.0,0.10899
325.0,0.10826
326.0,0.10609
327.0,0.10546
328.0,0.10508
329.0,0.10398
330.0,0.10275
331.0,0.10220
332.0,0.10167
333.0,0.10027
334.0,0.09948
335.0,0.09966
336.0,0.09856
337.0,0.09794
338.0,0.09756
339.0,0.09647
340.0,0.09504
341.0,0.09539
342.0,0.09390
343.0,0.09301
344.0,0.09291
345.0,0.09251
346.0,0.09180
347.0,0.09074
348.0,0.09005
349.0,0.08971
350.0,0.08859
351.0,0.08778
352.0,0.08708
353.0,0.08656
354.0,0.08600
355.0,0.08544
356.0,0.08460
357.0,0.08368
358.0,0.08281
359.0,0.08247
360.0,0.08093
361.0,0.08151
362.0,0.08091
363.0,0.07982
364.0,0.07873
365.0,0.07879
366.0,0.07776
367.0,0.07709
368.0,0.07618
369.0,0.07555
370.0,0.07522
371.0,0.07423
372.0,0.07343
373.0,0.07274
374.0,0.07222
375.0,0.07158
376.0,0.07052
377.0,0.06960
378.0,0.06943
379.0,0.06824
380.0,0.06874
381.0,0.06739
382.0,0.06709
383.0,0.06634
384.0,0.06551
385.0,0.06478
386.0,0.06406
387.0,0.06370
388.0,0.06301
389.0,0.06269
390.0,0.06186
391.0,0.06149
392.0,0.06177
393.0,0.06114
394.0,0.06021
395.0,0.06015
396.0,0.05985
397.0,0.05941
398.0,0.05962
399.0,0.05908
