"PANI base-Cit.spc"
"Wavelength nm.","Abs."
250.0,6.00000
251.0,6.00000
252.0,6.00000
253.0,6.00000
254.0,4.59683
255.0,6.00000
256.0,6.00000
257.0,4.31174
258.0,4.93180
259.0,6.00000
260.0,6.00000
261.0,6.00000
262.0,4.80317
263.0,6.00000
264.0,6.00000
265.0,4.37325
266.0,6.00000
267.0,6.00000
268.0,4.53759
269.0,6.00000
270.0,6.00000
271.0,4.73232
272.0,6.00000
273.0,4.87453
274.0,6.00000
275.0,5.39316
276.0,6.00000
277.0,4.89265
278.0,6.00000
279.0,6.00000
280.0,6.00000
281.0,6.00000
282.0,6.00000
283.0,6.00000
284.0,6.00000
285.0,4.47081
286.0,3.80304
287.0,3.67408
288.0,3.46582
289.0,3.20346
290.0,3.09865
291.0,2.96754
292.0,2.86528
293.0,2.81439
294.0,2.76066
295.0,2.69859
296.0,2.65351
297.0,2.62028
298.0,2.55986
299.0,2.51914
300.0,2.49144
301.0,2.43751
302.0,2.38524
303.0,2.35474
304.0,2.32870
305.0,2.30153
306.0,2.27170
307.0,2.25450
308.0,2.23461
309.0,2.21882
310.0,2.21322
311.0,2.19109
312.0,2.18652
313.0,2.18242
314.0,2.17289
315.0,2.16547
316.0,2.16881
317.0,2.16010
318.0,2.15305
319.0,2.15236
320.0,2.14604
321.0,2.14763
322.0,2.14783
323.0,2.14460
324.0,2.15113
325.0,2.14179
326.0,2.14198
327.0,2.13370
328.0,2.13445
329.0,2.12668
330.0,2.12855
331.0,2.11498
332.0,2.11395
333.0,2.11008
334.0,2.10262
335.0,2.09592
336.0,2.08924
337.0,2.07212
338.0,2.07103
339.0,2.05658
340.0,2.04562
341.0,2.03655
342.0,2.02113
343.0,2.00845
344.0,1.99024
345.0,1.98047
346.0,1.96767
347.0,1.95113
348.0,1.93615
349.0,1.91749
350.0,1.90231
351.0,1.88572
352.0,1.86673
353.0,1.84931
354.0,1.82987
355.0,1.80827
356.0,1.78694
357.0,1.76698
358.0,1.74633
359.0,1.72471
360.0,1.70272
361.0,1.68026
362.0,1.65839
363.0,1.63711
364.0,1.61125
365.0,1.59024
366.0,1.56664
367.0,1.54353
368.0,1.52115
369.0,1.49977
370.0,1.47541
371.0,1.45395
372.0,1.43067
373.0,1.41098
374.0,1.38917
375.0,1.36860
376.0,1.34682
377.0,1.32717
378.0,1.30758
379.0,1.28653
380.0,1.26523
381.0,1.24346
382.0,1.22622
383.0,1.20563
384.0,1.18850
385.0,1.16990
386.0,1.15156
387.0,1.13520
388.0,1.11624
389.0,1.09947
390.0,1.08277
391.0,1.06525
392.0,1.04989
393.0,1.03279
394.0,1.01694
395.0,1.00171
396.0,0.98578
397.0,0.97044
398.0,0.95661
399.0,0.94288
400.0,0.92817
401.0,0.91463
402.0,0.90176
403.0,0.88800
404.0,0.87413
405.0,0.86160
406.0,0.84995
407.0,0.83637
408.0,0.82527
409.0,0.81421
410.0,0.80228
411.0,0.79162
412.0,0.78095
413.0,0.77010
414.0,0.76067
415.0,0.75077
416.0,0.74097
417.0,0.73122
418.0,0.72255
419.0,0.71391
420.0,0.70499
421.0,0.69690
422.0,0.68939
423.0,0.68150
424.0,0.67539
425.0,0.66826
426.0,0.66144
427.0,0.65564
428.0,0.65002
429.0,0.64396
430.0,0.63829
431.0,0.63347
432.0,0.62821
433.0,0.62406
434.0,0.62042
435.0,0.61656
436.0,0.61222
437.0,0.60914
438.0,0.60646
439.0,0.60267
440.0,0.60050
441.0,0.59756
442.0,0.59596
443.0,0.59417
444.0,0.59142
445.0,0.58989
446.0,0.58870
447.0,0.58709
448.0,0.58615
449.0,0.58477
450.0,0.58367
451.0,0.58372
452.0,0.58341
453.0,0.58329
454.0,0.58261
455.0,0.58297
456.0,0.58299
457.0,0.58397
458.0,0.58403
459.0,0.58500
460.0,0.58604
461.0,0.58639
462.0,0.58803
463.0,0.58899
464.0,0.58996
465.0,0.59172
466.0,0.59295
467.0,0.59459
468.0,0.59604
469.0,0.59846
470.0,0.60039
471.0,0.60196
472.0,0.60411
473.0,0.60566
474.0,0.60783
475.0,0.60996
476.0,0.61245
477.0,0.61503
478.0,0.61735
479.0,0.61997
480.0,0.62218
481.0,0.62568
482.0,0.62750
483.0,0.62994
484.0,0.63408
485.0,0.63706
486.0,0.63946
487.0,0.64295
488.0,0.64622
489.0,0.64972
490.0,0.65308
491.0,0.65597
492.0,0.65914
493.0,0.66240
494.0,0.66646
495.0,0.67018
496.0,0.67374
497.0,0.67685
498.0,0.68092
499.0,0.68384
500.0,0.68821
501.0,0.69206
502.0,0.69565
503.0,0.69934
504.0,0.70345
505.0,0.70809
506.0,0.71258
507.0,0.71627
508.0,0.72083
509.0,0.72444
510.0,0.72953
511.0,0.73376
512.0,0.73803
513.0,0.74242
514.0,0.74706
515.0,0.75147
516.0,0.75627
517.0,0.76027
518.0,0.76508
519.0,0.76970
520.0,0.77425
521.0,0.77959
522.0,0.78458
523.0,0.78867
524.0,0.79410
525.0,0.79774
526.0,0.80351
527.0,0.80830
528.0,0.81386
529.0,0.81829
530.0,0.82451
531.0,0.82945
532.0,0.83490
533.0,0.83979
534.0,0.84533
535.0,0.84979
536.0,0.85520
537.0,0.86101
538.0,0.86630
539.0,0.87213
540.0,0.87709
541.0,0.88193
542.0,0.88682
543.0,0.89274
544.0,0.89842
545.0,0.90343
546.0,0.90931
547.0,0.91463
548.0,0.91959
549.0,0.92600
550.0,0.93066
551.0,0.93596
552.0,0.94119
553.0,0.94645
554.0,0.95219
555.0,0.95778
556.0,0.96264
557.0,0.96814
558.0,0.97353
559.0,0.97903
560.0,0.98359
561.0,0.98938
562.0,0.99449
563.0,0.99989
564.0,1.00470
565.0,1.00996
566.0,1.01533
567.0,1.01990
568.0,1.02536
569.0,1.02994
570.0,1.03431
571.0,1.03963
572.0,1.04416
573.0,1.04854
574.0,1.05336
575.0,1.05860
576.0,1.06228
577.0,1.06758
578.0,1.07207
579.0,1.07619
580.0,1.07959
581.0,1.08413
582.0,1.08823
583.0,1.09194
584.0,1.09684
585.0,1.10028
586.0,1.10347
587.0,1.10807
588.0,1.11185
589.0,1.11436
590.0,1.11795
591.0,1.12181
592.0,1.12482
593.0,1.12828
594.0,1.13138
595.0,1.13349
596.0,1.13671
597.0,1.13952
598.0,1.14274
599.0,1.14441
600.0,1.14756
601.0,1.14958
602.0,1.15209
603.0,1.15404
604.0,1.15626
605.0,1.15782
606.0,1.16019
607.0,1.16155
608.0,1.16412
609.0,1.16556
610.0,1.16663
611.0,1.16775
612.0,1.16996
613.0,1.17026
614.0,1.17132
615.0,1.17174
616.0,1.17335
617.0,1.17352
618.0,1.17413
619.0,1.17498
620.0,1.17514
621.0,1.17602
622.0,1.17563
623.0,1.17572
624.0,1.17683
625.0,1.17590
626.0,1.17556
627.0,1.17523
628.0,1.17501
629.0,1.17255
630.0,1.17284
631.0,1.17186
632.0,1.17069
633.0,1.16928
634.0,1.16844
635.0,1.16686
636.0,1.16579
637.0,1.16291
638.0,1.16294
639.0,1.16023
640.0,1.15873
641.0,1.15710
642.0,1.15396
643.0,1.15257
644.0,1.14955
645.0,1.14682
646.0,1.14461
647.0,1.14092
648.0,1.13932
649.0,1.13551
650.0,1.13230
651.0,1.12933
652.0,1.12631
653.0,1.12205
654.0,1.11897
655.0,1.11372
656.0,1.11043
657.0,1.10600
658.0,1.10354
659.0,1.09845
660.0,1.09433
661.0,1.08942
662.0,1.08479
663.0,1.08015
664.0,1.07558
665.0,1.07203
666.0,1.06601
667.0,1.06184
668.0,1.05585
669.0,1.05059
670.0,1.04508
671.0,1.03919
672.0,1.03246
673.0,1.02763
674.0,1.02102
675.0,1.01463
676.0,1.00905
677.0,1.00164
678.0,0.99493
679.0,0.98852
680.0,0.98202
681.0,0.97549
682.0,0.96927
683.0,0.96147
684.0,0.95405
685.0,0.94704
686.0,0.93962
687.0,0.93226
688.0,0.92475
689.0,0.91748
690.0,0.91012
691.0,0.90191
692.0,0.89385
693.0,0.88642
694.0,0.87772
695.0,0.86927
696.0,0.86014
697.0,0.85237
698.0,0.84427
699.0,0.83525
700.0,0.82660
701.0,0.81878
702.0,0.80928
703.0,0.80180
704.0,0.79270
705.0,0.78379
706.0,0.77491
707.0,0.76678
708.0,0.75815
709.0,0.74941
710.0,0.74055
711.0,0.73182
712.0,0.72288
713.0,0.71544
714.0,0.70691
715.0,0.69772
716.0,0.68913
717.0,0.68008
718.0,0.67078
719.0,0.66359
720.0,0.65412
721.0,0.64574
722.0,0.63778
723.0,0.62877
724.0,0.62053
725.0,0.61191
726.0,0.60438
727.0,0.59627
728.0,0.58811
