"PANI base-H3PO4 sin agitar.spc"
"Wavelength nm.","Abs."
250.0,4.51393
251.0,6.00000
252.0,6.00000
253.0,5.30232
254.0,6.00000
255.0,6.00000
256.0,6.00000
257.0,6.00000
258.0,6.00000
259.0,6.00000
260.0,6.00000
261.0,6.00000
262.0,6.00000
263.0,6.00000
264.0,6.00000
265.0,6.00000
266.0,6.00000
267.0,6.00000
268.0,6.00000
269.0,6.00000
270.0,6.00000
271.0,6.00000
272.0,6.00000
273.0,6.00000
274.0,6.00000
275.0,6.00000
276.0,6.00000
277.0,6.00000
278.0,6.00000
279.0,6.00000
280.0,6.00000
281.0,6.00000
282.0,4.39469
283.0,6.00000
284.0,4.20275
285.0,6.00000
286.0,6.00000
287.0,6.00000
288.0,4.43273
289.0,3.53497
290.0,2.92035
291.0,2.61911
292.0,2.41534
293.0,2.26188
294.0,2.15368
295.0,2.06627
296.0,2.01004
297.0,1.95419
298.0,1.91094
299.0,1.86473
300.0,1.82401
301.0,1.78697
302.0,1.74828
303.0,1.71952
304.0,1.69094
305.0,1.66738
306.0,1.63994
307.0,1.61958
308.0,1.60139
309.0,1.58445
310.0,1.57194
311.0,1.55913
312.0,1.54516
313.0,1.53453
314.0,1.52356
315.0,1.51267
316.0,1.51130
317.0,1.50221
318.0,1.49427
319.0,1.49133
320.0,1.48494
321.0,1.47641
322.0,1.47322
323.0,1.46843
324.0,1.46428
325.0,1.45991
326.0,1.45603
327.0,1.44950
328.0,1.44322
329.0,1.43593
330.0,1.42979
331.0,1.42313
332.0,1.41363
333.0,1.40343
334.0,1.39359
335.0,1.38530
336.0,1.37559
337.0,1.36376
338.0,1.35105
339.0,1.33998
340.0,1.32536
341.0,1.31181
342.0,1.29924
343.0,1.28418
344.0,1.26844
345.0,1.25254
346.0,1.23778
347.0,1.22210
348.0,1.20528
349.0,1.18692
350.0,1.16993
351.0,1.15294
352.0,1.13481
353.0,1.11735
354.0,1.09836
355.0,1.08041
356.0,1.06042
357.0,1.04105
358.0,1.02180
359.0,1.00329
360.0,0.98449
361.0,0.96642
362.0,0.95032
363.0,0.93206
364.0,0.91296
365.0,0.89583
366.0,0.87587
367.0,0.85822
368.0,0.84218
369.0,0.82556
370.0,0.80941
