"PANI base-HCl (+ conc).spc"
"Wavelength nm.","Abs."
250.0,6.00000
251.0,6.00000
252.0,6.00000
253.0,4.73870
254.0,6.00000
255.0,5.38701
256.0,6.00000
257.0,6.00000
258.0,4.53047
259.0,4.39835
260.0,4.76512
261.0,3.81621
262.0,3.50372
263.0,3.30760
264.0,3.21984
265.0,3.14145
266.0,3.06899
267.0,3.02254
268.0,3.03655
269.0,3.04521
270.0,3.00833
271.0,3.00506
272.0,3.00033
273.0,3.00373
274.0,3.00018
275.0,2.97807
276.0,2.96275
277.0,2.89361
278.0,2.85528
279.0,2.78569
280.0,2.74878
281.0,2.72700
282.0,2.71963
283.0,2.68058
284.0,2.61457
285.0,2.51327
286.0,2.38869
287.0,2.25477
288.0,2.14684
289.0,2.05613
290.0,1.98295
291.0,1.93911
292.0,1.88611
293.0,1.84132
294.0,1.82030
295.0,1.78698
296.0,1.75797
297.0,1.72318
298.0,1.68854
299.0,1.65836
300.0,1.62828
301.0,1.59311
302.0,1.56432
303.0,1.54206
304.0,1.51916
305.0,1.49623
306.0,1.47793
307.0,1.46199
308.0,1.44914
309.0,1.44040
310.0,1.43483
311.0,1.42420
312.0,1.41746
313.0,1.41406
314.0,1.41052
315.0,1.40829
316.0,1.40515
317.0,1.40215
318.0,1.40005
319.0,1.39865
320.0,1.39730
321.0,1.39521
322.0,1.39309
323.0,1.39098
324.0,1.38787
325.0,1.38413
326.0,1.38121
327.0,1.37613
328.0,1.37095
329.0,1.36281
330.0,1.35566
331.0,1.34874
332.0,1.34150
333.0,1.32949
334.0,1.32036
335.0,1.30844
336.0,1.29662
337.0,1.28602
338.0,1.27285
339.0,1.25922
340.0,1.24402
341.0,1.22723
342.0,1.21246
343.0,1.19559
344.0,1.17795
345.0,1.15971
346.0,1.14260
347.0,1.12251
348.0,1.10472
349.0,1.08334
350.0,1.06488
351.0,1.04255
352.0,1.02202
353.0,1.00160
354.0,0.97915
355.0,0.95684
356.0,0.93547
357.0,0.91269
358.0,0.88964
359.0,0.86887
360.0,0.84737
361.0,0.82574
362.0,0.80479
363.0,0.78511
364.0,0.76363
365.0,0.74395
366.0,0.72414
367.0,0.70348
368.0,0.68468
369.0,0.66668
370.0,0.64876
371.0,0.63185
372.0,0.61565
373.0,0.59957
374.0,0.58402
375.0,0.56883
376.0,0.55436
377.0,0.54047
378.0,0.52735
379.0,0.51453
380.0,0.50168
381.0,0.48868
382.0,0.47776
383.0,0.46590
384.0,0.45418
385.0,0.44454
386.0,0.43590
387.0,0.42738
388.0,0.41766
389.0,0.40950
390.0,0.40107
391.0,0.39396
392.0,0.38650
393.0,0.37858
394.0,0.37257
395.0,0.36640
396.0,0.36024
397.0,0.35505
398.0,0.34949
399.0,0.34504
400.0,0.34019
401.0,0.33505
402.0,0.33120
403.0,0.32731
404.0,0.32255
405.0,0.31908
406.0,0.31588
407.0,0.31218
408.0,0.30942
409.0,0.30745
410.0,0.30406
411.0,0.30186
412.0,0.29984
413.0,0.29716
414.0,0.29623
415.0,0.29424
416.0,0.29319
417.0,0.29106
418.0,0.29043
419.0,0.28943
420.0,0.28888
421.0,0.28737
422.0,0.28647
423.0,0.28582
424.0,0.28617
425.0,0.28539
426.0,0.28561
427.0,0.28601
428.0,0.28611
429.0,0.28615
430.0,0.28598
431.0,0.28702
432.0,0.28695
433.0,0.28782
434.0,0.28901
435.0,0.29038
436.0,0.29013
437.0,0.29092
438.0,0.29292
439.0,0.29395
440.0,0.29523
441.0,0.29663
442.0,0.29876
443.0,0.30031
444.0,0.30122
445.0,0.30303
446.0,0.30523
447.0,0.30713
448.0,0.30856
449.0,0.31036
450.0,0.31198
451.0,0.31470
452.0,0.31693
453.0,0.31904
454.0,0.32078
455.0,0.32359
456.0,0.32605
457.0,0.32905
458.0,0.33096
459.0,0.33395
460.0,0.33669
461.0,0.33897
462.0,0.34277
463.0,0.34497
464.0,0.34759
465.0,0.35112
466.0,0.35396
467.0,0.35706
468.0,0.35969
469.0,0.36363
470.0,0.36722
471.0,0.36996
472.0,0.37329
473.0,0.37623
474.0,0.37971
475.0,0.38308
476.0,0.38698
477.0,0.39024
478.0,0.39416
479.0,0.39758
480.0,0.40115
481.0,0.40561
482.0,0.40867
483.0,0.41262
484.0,0.41712
485.0,0.42084
486.0,0.42486
487.0,0.42925
488.0,0.43324
489.0,0.43758
490.0,0.44173
491.0,0.44604
492.0,0.44993
493.0,0.45401
494.0,0.45847
495.0,0.46337
496.0,0.46818
497.0,0.47239
498.0,0.47657
499.0,0.48063
500.0,0.48579
501.0,0.49095
502.0,0.49496
503.0,0.49933
504.0,0.50453
505.0,0.50974
506.0,0.51463
507.0,0.51966
508.0,0.52397
509.0,0.52948
510.0,0.53404
511.0,0.53968
512.0,0.54435
513.0,0.54945
514.0,0.55486
515.0,0.55959
516.0,0.56538
517.0,0.56956
518.0,0.57547
519.0,0.58006
520.0,0.58479
521.0,0.59089
522.0,0.59583
523.0,0.60132
524.0,0.60659
525.0,0.61151
526.0,0.61732
527.0,0.62215
528.0,0.62845
529.0,0.63399
530.0,0.63942
531.0,0.64451
532.0,0.65079
533.0,0.65577
534.0,0.66151
535.0,0.66698
536.0,0.67286
537.0,0.67889
538.0,0.68350
539.0,0.68947
540.0,0.69512
541.0,0.70087
542.0,0.70588
543.0,0.71189
544.0,0.71793
545.0,0.72335
546.0,0.72859
547.0,0.73515
548.0,0.74013
549.0,0.74627
550.0,0.75137
551.0,0.75681
552.0,0.76214
553.0,0.76806
554.0,0.77414
555.0,0.77990
556.0,0.78381
557.0,0.78986
558.0,0.79631
559.0,0.80212
560.0,0.80675
561.0,0.81368
562.0,0.81849
563.0,0.82345
564.0,0.82854
565.0,0.83425
566.0,0.83970
567.0,0.84497
568.0,0.85033
569.0,0.85455
570.0,0.85950
571.0,0.86538
572.0,0.86993
573.0,0.87454
574.0,0.87903
575.0,0.88461
576.0,0.88912
577.0,0.89376
578.0,0.89964
579.0,0.90479
580.0,0.90820
581.0,0.91329
582.0,0.91709
583.0,0.92165
584.0,0.92679
585.0,0.93073
586.0,0.93478
587.0,0.93894
588.0,0.94344
589.0,0.94648
590.0,0.95095
591.0,0.95543
592.0,0.95844
593.0,0.96255
594.0,0.96634
595.0,0.96937
596.0,0.97282
597.0,0.97613
598.0,0.97932
599.0,0.98254
600.0,0.98669
601.0,0.98883
602.0,0.99180
603.0,0.99438
604.0,0.99722
605.0,0.99974
606.0,1.00298
607.0,1.00508
608.0,1.00778
609.0,1.00961
610.0,1.01193
611.0,1.01402
612.0,1.01619
613.0,1.01763
614.0,1.01945
615.0,1.02043
616.0,1.02287
617.0,1.02453
618.0,1.02501
619.0,1.02620
620.0,1.02692
621.0,1.02833
622.0,1.03004
623.0,1.03000
624.0,1.03200
625.0,1.03229
626.0,1.03237
627.0,1.03270
628.0,1.03381
629.0,1.03305
630.0,1.03317
631.0,1.03316
632.0,1.03283
633.0,1.03254
634.0,1.03275
635.0,1.03100
636.0,1.03141
637.0,1.03010
638.0,1.02891
639.0,1.02796
640.0,1.02765
641.0,1.02581
642.0,1.02448
643.0,1.02327
644.0,1.02146
645.0,1.01942
646.0,1.01867
647.0,1.01611
648.0,1.01429
649.0,1.01111
650.0,1.00910
651.0,1.00630
652.0,1.00422
653.0,1.00159
654.0,0.99861
655.0,0.99514
656.0,0.99262
657.0,0.98928
658.0,0.98647
659.0,0.98213
660.0,0.98003
661.0,0.97623
662.0,0.97233
663.0,0.96827
664.0,0.96456
665.0,0.96093
666.0,0.95584
667.0,0.95288
668.0,0.94765
669.0,0.94243
670.0,0.93785
671.0,0.93336
672.0,0.92698
673.0,0.92298
674.0,0.91675
675.0,0.91128
676.0,0.90600
677.0,0.89986
678.0,0.89327
679.0,0.88749
680.0,0.88151
681.0,0.87457
682.0,0.86930
683.0,0.86205
684.0,0.85476
685.0,0.84852
686.0,0.84104
687.0,0.83432
688.0,0.82688
689.0,0.81988
690.0,0.81200
691.0,0.80493
692.0,0.79765
693.0,0.78961
694.0,0.78099
695.0,0.77253
696.0,0.76385
697.0,0.75594
698.0,0.74706
699.0,0.73866
700.0,0.72943
701.0,0.72224
702.0,0.71276
703.0,0.70395
704.0,0.69447
705.0,0.68597
706.0,0.67708
707.0,0.66825
708.0,0.65938
709.0,0.64996
710.0,0.64068
711.0,0.63222
712.0,0.62333
713.0,0.61433
714.0,0.60556
715.0,0.59669
716.0,0.58735
717.0,0.57783
718.0,0.56873
719.0,0.56066
720.0,0.55064
721.0,0.54222
722.0,0.53318
723.0,0.52477
724.0,0.51600
725.0,0.50733
726.0,0.49886
727.0,0.49006
728.0,0.48128
