"agua PANI-PSS (- conc).spc"
"Wavelength nm.","Abs."
250.0,2.85514
251.0,2.85845
252.0,2.84075
253.0,2.84746
254.0,2.86021
255.0,2.90407
256.0,2.91526
257.0,2.98891
258.0,3.01057
259.0,3.07851
260.0,3.12243
261.0,3.22120
262.0,3.25941
263.0,3.37346
264.0,3.47955
265.0,3.46502
266.0,3.58486
267.0,3.61958
268.0,3.63833
269.0,3.73105
270.0,3.83251
271.0,3.75876
272.0,3.78521
273.0,3.64436
274.0,3.60226
275.0,3.52307
276.0,3.53972
277.0,3.45685
278.0,3.45551
279.0,3.23024
280.0,2.96178
281.0,2.66963
282.0,2.43479
283.0,2.23231
284.0,2.08988
285.0,1.99527
286.0,1.92441
287.0,1.88476
288.0,1.85886
289.0,1.83321
290.0,1.82203
291.0,1.80524
292.0,1.80667
293.0,1.80011
294.0,1.79477
295.0,1.79378
296.0,1.79270
297.0,1.78983
298.0,1.78930
299.0,1.79266
300.0,1.78962
301.0,1.79186
302.0,1.79298
303.0,1.79430
304.0,1.79471
305.0,1.80023
306.0,1.80655
307.0,1.81281
308.0,1.81305
309.0,1.81974
310.0,1.82605
311.0,1.82868
312.0,1.83129
313.0,1.84491
314.0,1.85342
315.0,1.85924
316.0,1.87034
317.0,1.88102
318.0,1.88832
319.0,1.89440
320.0,1.90493
321.0,1.91518
322.0,1.92266
323.0,1.93960
324.0,1.95040
325.0,1.96026
326.0,1.97432
327.0,1.98794
328.0,1.99431
329.0,2.00561
330.0,2.01556
331.0,2.03105
332.0,2.03980
333.0,2.05323
334.0,2.06576
335.0,2.07789
336.0,2.08525
337.0,2.09925
338.0,2.10737
339.0,2.11962
340.0,2.12577
341.0,2.13684
342.0,2.14806
343.0,2.15074
344.0,2.15280
345.0,2.16132
346.0,2.16966
347.0,2.17447
348.0,2.17585
349.0,2.18361
350.0,2.19426
351.0,2.18814
352.0,2.19618
353.0,2.20113
354.0,2.19608
355.0,2.20069
356.0,2.20286
357.0,2.20097
358.0,2.19939
359.0,2.20472
360.0,2.20282
361.0,2.20239
362.0,2.19954
363.0,2.19847
364.0,2.19837
365.0,2.19940
366.0,2.19775
367.0,2.19257
368.0,2.19661
369.0,2.20063
370.0,2.19152
371.0,2.19126
372.0,2.18785
373.0,2.19334
374.0,2.19160
375.0,2.19730
376.0,2.18425
