"agua PANI-PSS acetona (+ conc).spc"
"Wavelength nm.","Abs."
250.0,1.25941
251.0,1.24331
252.0,1.22735
253.0,1.21499
254.0,1.20407
255.0,1.19339
256.0,1.17889
257.0,1.16446
258.0,1.15106
259.0,1.14314
260.0,1.13703
261.0,1.13181
262.0,1.12358
263.0,1.11150
264.0,1.09868
265.0,1.08619
266.0,1.07936
267.0,1.07315
268.0,1.06398
269.0,1.05157
270.0,1.03924
271.0,1.02976
272.0,1.02194
273.0,1.01109
274.0,0.99802
275.0,0.98514
276.0,0.97496
277.0,0.96666
278.0,0.95808
279.0,0.94922
280.0,0.93996
281.0,0.93071
282.0,0.92342
283.0,0.91537
284.0,0.90997
285.0,0.90824
286.0,0.90168
287.0,0.89921
288.0,0.89716
289.0,0.89431
290.0,0.89306
291.0,0.89166
292.0,0.88958
293.0,0.88974
294.0,0.88754
295.0,0.88646
296.0,0.88583
297.0,0.88367
298.0,0.88270
299.0,0.88313
300.0,0.88141
301.0,0.88193
302.0,0.88281
303.0,0.88258
304.0,0.88139
305.0,0.88201
306.0,0.88314
307.0,0.88522
308.0,0.88511
309.0,0.88549
310.0,0.88753
311.0,0.88887
312.0,0.88907
313.0,0.89211
314.0,0.89425
315.0,0.89735
316.0,0.90005
317.0,0.90211
318.0,0.90537
319.0,0.90717
320.0,0.91117
321.0,0.91473
322.0,0.91580
323.0,0.92046
324.0,0.92356
325.0,0.92773
326.0,0.93044
327.0,0.93588
328.0,0.93879
329.0,0.94297
330.0,0.94726
331.0,0.95234
332.0,0.95551
333.0,0.95964
334.0,0.96333
335.0,0.96683
336.0,0.97165
337.0,0.97440
338.0,0.97810
339.0,0.98146
340.0,0.98346
341.0,0.98791
342.0,0.99154
343.0,0.99326
344.0,0.99593
345.0,0.99822
346.0,1.00100
347.0,1.00354
348.0,1.00551
349.0,1.00609
350.0,1.00844
351.0,1.00837
352.0,1.01023
353.0,1.01193
354.0,1.01154
355.0,1.01267
356.0,1.01262
357.0,1.01305
358.0,1.01318
359.0,1.01322
360.0,1.01325
361.0,1.01360
362.0,1.01383
363.0,1.01367
364.0,1.01422
365.0,1.01339
366.0,1.01350
367.0,1.01298
368.0,1.01230
369.0,1.01188
370.0,1.01219
371.0,1.01076
372.0,1.01057
373.0,1.01053
374.0,1.01100
375.0,1.01056
376.0,1.00903
377.0,1.00935
378.0,1.00871
379.0,1.00737
380.0,1.00778
381.0,1.00641
382.0,1.00694
383.0,1.00543
384.0,1.00516
385.0,1.00477
386.0,1.00511
387.0,1.00518
388.0,1.00448
389.0,1.00349
390.0,1.00429
391.0,1.00408
392.0,1.00388
393.0,1.00212
394.0,1.00315
395.0,1.00211
396.0,1.00236
397.0,1.00178
398.0,1.00223
399.0,1.00178
400.0,1.00050
401.0,1.00092
402.0,1.00030
403.0,1.00144
404.0,0.99944
405.0,1.00030
406.0,0.99880
407.0,0.99878
408.0,0.99929
409.0,0.99962
410.0,0.99902
411.0,0.99808
412.0,0.99742
413.0,0.99682
414.0,0.99692
415.0,0.99662
416.0,0.99624
417.0,0.99559
418.0,0.99414
419.0,0.99336
420.0,0.99297
421.0,0.99182
422.0,0.99061
423.0,0.98924
424.0,0.98775
425.0,0.98573
426.0,0.98415
427.0,0.98188
428.0,0.97983
429.0,0.97691
430.0,0.97375
431.0,0.97041
432.0,0.96606
433.0,0.96116
434.0,0.95625
435.0,0.95070
436.0,0.94281
437.0,0.93578
438.0,0.92827
439.0,0.91896
440.0,0.90946
441.0,0.89926
442.0,0.88891
443.0,0.87731
444.0,0.86500
445.0,0.85317
446.0,0.84087
447.0,0.82912
448.0,0.81652
449.0,0.80365
450.0,0.79016
451.0,0.77678
452.0,0.76373
453.0,0.74973
454.0,0.73547
455.0,0.72185
456.0,0.70755
457.0,0.69498
458.0,0.68063
459.0,0.66747
460.0,0.65449
461.0,0.64080
462.0,0.62815
463.0,0.61555
464.0,0.60354
465.0,0.59240
466.0,0.58129
467.0,0.57135
468.0,0.56080
469.0,0.55229
470.0,0.54376
471.0,0.53531
472.0,0.52800
473.0,0.52065
474.0,0.51408
475.0,0.50788
476.0,0.50191
477.0,0.49710
478.0,0.49222
479.0,0.48699
480.0,0.48178
481.0,0.47814
482.0,0.47360
483.0,0.46980
484.0,0.46684
485.0,0.46298
486.0,0.45990
487.0,0.45746
488.0,0.45454
489.0,0.45167
490.0,0.44934
491.0,0.44668
492.0,0.44419
493.0,0.44168
494.0,0.43959
495.0,0.43761
496.0,0.43585
497.0,0.43433
498.0,0.43184
499.0,0.42973
500.0,0.42869
501.0,0.42656
502.0,0.42518
503.0,0.42278
504.0,0.42135
505.0,0.42013
506.0,0.41866
507.0,0.41798
508.0,0.41613
509.0,0.41440
510.0,0.41358
511.0,0.41197
512.0,0.41052
513.0,0.40934
514.0,0.40857
515.0,0.40702
516.0,0.40703
517.0,0.40529
518.0,0.40425
519.0,0.40366
520.0,0.40205
521.0,0.40209
522.0,0.40118
523.0,0.39980
524.0,0.39958
525.0,0.39845
526.0,0.39790
527.0,0.39622
528.0,0.39588
529.0,0.39566
530.0,0.39499
531.0,0.39456
532.0,0.39427
533.0,0.39351
534.0,0.39309
535.0,0.39283
536.0,0.39224
537.0,0.39238
538.0,0.39142
539.0,0.39133
540.0,0.39078
541.0,0.39046
542.0,0.38977
543.0,0.38963
544.0,0.38957
545.0,0.38902
546.0,0.38892
547.0,0.38912
548.0,0.38882
549.0,0.38999
550.0,0.38895
551.0,0.38862
552.0,0.38803
553.0,0.38871
554.0,0.38898
555.0,0.38894
556.0,0.38872
557.0,0.38904
558.0,0.38939
559.0,0.38965
560.0,0.38942
561.0,0.39044
562.0,0.39010
563.0,0.39031
564.0,0.39069
565.0,0.39101
566.0,0.39186
567.0,0.39204
568.0,0.39261
569.0,0.39290
570.0,0.39310
571.0,0.39464
572.0,0.39420
573.0,0.39481
574.0,0.39577
575.0,0.39726
576.0,0.39688
577.0,0.39869
578.0,0.39919
579.0,0.40007
580.0,0.40031
581.0,0.40180
582.0,0.40244
583.0,0.40338
584.0,0.40487
585.0,0.40587
586.0,0.40634
587.0,0.40770
588.0,0.40884
589.0,0.40951
590.0,0.41104
591.0,0.41272
592.0,0.41337
593.0,0.41485
594.0,0.41595
595.0,0.41709
596.0,0.41882
597.0,0.42039
598.0,0.42242
599.0,0.42309
600.0,0.42589
601.0,0.42656
602.0,0.42812
603.0,0.43017
604.0,0.43160
605.0,0.43385
606.0,0.43588
607.0,0.43729
608.0,0.44022
609.0,0.44221
610.0,0.44392
611.0,0.44577
612.0,0.44845
613.0,0.45080
614.0,0.45295
615.0,0.45468
616.0,0.45766
617.0,0.45963
618.0,0.46193
619.0,0.46477
620.0,0.46703
621.0,0.46964
622.0,0.47213
623.0,0.47523
624.0,0.47866
625.0,0.48182
626.0,0.48455
627.0,0.48740
628.0,0.49080
629.0,0.49354
630.0,0.49678
631.0,0.50013
632.0,0.50359
633.0,0.50691
634.0,0.51050
635.0,0.51406
636.0,0.51819
637.0,0.52164
638.0,0.52558
639.0,0.52917
640.0,0.53325
641.0,0.53765
642.0,0.54144
643.0,0.54605
644.0,0.54961
645.0,0.55409
646.0,0.55861
647.0,0.56321
648.0,0.56849
649.0,0.57204
650.0,0.57805
651.0,0.58246
652.0,0.58816
653.0,0.59329
654.0,0.59843
655.0,0.60332
656.0,0.60858
657.0,0.61466
658.0,0.62077
659.0,0.62642
660.0,0.63202
661.0,0.63797
662.0,0.64360
663.0,0.64994
664.0,0.65573
665.0,0.66266
666.0,0.66826
667.0,0.67531
668.0,0.68101
669.0,0.68777
670.0,0.69428
671.0,0.70143
672.0,0.70816
673.0,0.71562
674.0,0.72226
675.0,0.72934
676.0,0.73793
677.0,0.74446
678.0,0.75200
679.0,0.75953
680.0,0.76745
681.0,0.77624
682.0,0.78354
683.0,0.79182
684.0,0.80022
685.0,0.80823
686.0,0.81646
687.0,0.82496
688.0,0.83400
689.0,0.84296
690.0,0.85171
691.0,0.86095
692.0,0.87007
693.0,0.87964
694.0,0.88721
695.0,0.89794
696.0,0.90699
697.0,0.91663
698.0,0.92584
699.0,0.93621
700.0,0.94608
701.0,0.95634
702.0,0.96590
703.0,0.97536
704.0,0.98608
705.0,0.99622
706.0,1.00642
707.0,1.01619
708.0,1.02607
709.0,1.03612
710.0,1.04612
711.0,1.05623
712.0,1.06607
713.0,1.07615
714.0,1.08615
715.0,1.09629
716.0,1.10714
717.0,1.11643
