"agua PANI-PSS acetona.spc"
"Wavelength nm.","Abs."
250.0,0.64831
251.0,0.63857
252.0,0.62971
253.0,0.62305
254.0,0.61743
255.0,0.61087
256.0,0.60412
257.0,0.59558
258.0,0.58844
259.0,0.58363
260.0,0.57953
261.0,0.57722
262.0,0.57303
263.0,0.56594
264.0,0.55921
265.0,0.55273
266.0,0.54911
267.0,0.54547
268.0,0.53991
269.0,0.53342
270.0,0.52755
271.0,0.52300
272.0,0.51907
273.0,0.51328
274.0,0.50613
275.0,0.49952
276.0,0.49392
277.0,0.48919
278.0,0.48484
279.0,0.48030
280.0,0.47604
281.0,0.47184
282.0,0.46813
283.0,0.46434
284.0,0.46063
285.0,0.45983
286.0,0.45448
287.0,0.45313
288.0,0.45261
289.0,0.45121
290.0,0.44936
291.0,0.44826
292.0,0.44906
293.0,0.44718
294.0,0.44789
295.0,0.44645
296.0,0.44588
297.0,0.44555
298.0,0.44418
299.0,0.44458
300.0,0.44476
301.0,0.44429
302.0,0.44380
303.0,0.44482
304.0,0.44403
305.0,0.44426
306.0,0.44444
307.0,0.44609
308.0,0.44590
309.0,0.44583
310.0,0.44696
311.0,0.44609
312.0,0.44693
313.0,0.44993
314.0,0.45042
315.0,0.45059
316.0,0.45305
317.0,0.45296
318.0,0.45438
319.0,0.45622
320.0,0.45844
321.0,0.45914
322.0,0.45939
323.0,0.46291
324.0,0.46469
325.0,0.46608
326.0,0.46855
327.0,0.46968
328.0,0.47197
329.0,0.47367
330.0,0.47560
331.0,0.47842
332.0,0.47970
333.0,0.48225
334.0,0.48438
335.0,0.48575
336.0,0.48832
337.0,0.48973
338.0,0.49177
339.0,0.49277
340.0,0.49463
341.0,0.49604
342.0,0.49800
343.0,0.49887
344.0,0.50074
345.0,0.50145
346.0,0.50271
347.0,0.50358
348.0,0.50488
349.0,0.50492
350.0,0.50547
351.0,0.50630
352.0,0.50677
353.0,0.50758
354.0,0.50734
355.0,0.50775
356.0,0.50755
357.0,0.50744
358.0,0.50807
359.0,0.50738
360.0,0.50757
361.0,0.50792
362.0,0.50771
363.0,0.50807
364.0,0.50780
365.0,0.50762
366.0,0.50643
367.0,0.50573
368.0,0.50531
369.0,0.50503
370.0,0.50545
371.0,0.50537
372.0,0.50572
373.0,0.50487
374.0,0.50453
375.0,0.50440
376.0,0.50396
377.0,0.50368
378.0,0.50314
379.0,0.50317
380.0,0.50214
381.0,0.50141
382.0,0.50293
383.0,0.50182
384.0,0.50061
385.0,0.50090
386.0,0.50043
387.0,0.50085
388.0,0.50060
389.0,0.49992
390.0,0.50071
391.0,0.50043
