"agua PANI-PSS.spc"
"Wavelength nm.","Abs."
250.0,4.08995
251.0,4.15158
252.0,4.16729
253.0,3.96836
254.0,4.31074
255.0,4.15829
256.0,4.21240
257.0,4.27884
258.0,4.00994
259.0,3.99987
260.0,3.76756
261.0,4.02989
262.0,3.69514
263.0,3.72046
264.0,3.68682
265.0,3.71645
266.0,3.67790
267.0,3.67588
268.0,3.69590
269.0,3.61446
270.0,3.64091
271.0,3.54910
272.0,3.50247
273.0,3.51997
274.0,3.47188
275.0,3.41225
276.0,3.37367
277.0,3.39301
278.0,3.36997
279.0,3.37952
280.0,3.35445
281.0,3.36249
282.0,3.28177
283.0,3.26927
284.0,3.25520
285.0,3.31365
286.0,3.22367
287.0,3.28352
288.0,3.26176
289.0,3.15526
290.0,3.25043
291.0,3.18610
292.0,3.34846
293.0,3.19114
294.0,3.16534
295.0,3.19699
296.0,3.19220
297.0,3.24042
298.0,3.20762
299.0,3.17602
300.0,3.20622
301.0,3.20866
302.0,3.26749
303.0,3.13515
304.0,3.28815
305.0,3.17531
306.0,3.24914
307.0,3.24131
308.0,3.24465
309.0,3.29037
310.0,3.27223
311.0,3.25445
312.0,3.36510
313.0,3.23983
314.0,3.29296
315.0,3.35718
316.0,3.43060
317.0,3.42428
318.0,3.44260
319.0,3.49212
320.0,3.47879
321.0,3.62101
322.0,3.49505
323.0,3.55461
324.0,3.55473
325.0,3.62993
326.0,3.44175
327.0,3.66529
328.0,3.57602
329.0,3.50622
330.0,3.86972
331.0,3.78389
332.0,3.65914
333.0,3.65717
334.0,4.03452
335.0,3.90375
336.0,3.85589
337.0,3.99630
338.0,3.87270
339.0,3.75263
340.0,3.96947
341.0,4.22424
342.0,3.90869
343.0,3.87881
344.0,3.66942
345.0,3.94183
346.0,4.76617
347.0,3.87060
348.0,3.98770
349.0,3.99151
350.0,4.04326
351.0,4.01103
352.0,4.00177
353.0,4.02603
354.0,4.17038
355.0,4.05311
356.0,4.03569
357.0,4.11055
358.0,4.25653
359.0,3.87239
360.0,4.19357
361.0,3.94054
362.0,6.00000
363.0,6.00000
364.0,3.86683
365.0,3.95816
366.0,4.19248
367.0,3.95102
368.0,4.10992
369.0,4.55955
370.0,3.97004
371.0,4.29212
372.0,6.00000
373.0,3.88867
374.0,4.48982
375.0,4.36540
376.0,3.91806
377.0,3.92172
378.0,6.00000
379.0,3.85936
380.0,3.77781
381.0,4.80867
382.0,4.45712
383.0,3.92469
384.0,4.15389
385.0,3.85765
386.0,4.23984
387.0,4.58700
388.0,4.40911
389.0,3.83957
390.0,4.42583
391.0,3.70488
392.0,3.66133
393.0,4.07999
394.0,4.13195
395.0,3.77129
396.0,4.17091
397.0,4.13947
398.0,4.42485
399.0,3.65459
400.0,4.10645
401.0,3.81489
402.0,3.92600
403.0,3.75000
404.0,3.67412
405.0,4.14548
406.0,4.02485
407.0,4.01081
408.0,3.96519
409.0,4.10367
410.0,4.31618
411.0,4.31840
412.0,3.70840
413.0,3.92128
414.0,4.26511
415.0,3.72171
416.0,3.90399
417.0,4.10418
418.0,4.06790
419.0,3.96497
420.0,4.09326
421.0,3.88014
422.0,3.95809
423.0,3.81498
424.0,3.87661
425.0,3.99629
426.0,3.77735
427.0,4.07047
428.0,3.69712
429.0,3.98086
430.0,3.86389
431.0,3.63886
432.0,3.61564
433.0,3.71646
434.0,3.49893
435.0,3.92377
436.0,3.70899
437.0,3.57474
438.0,3.60118
439.0,3.45386
440.0,3.37588
441.0,3.34689
442.0,3.42795
443.0,3.25294
444.0,3.24045
445.0,3.14630
446.0,3.10111
447.0,3.00539
448.0,2.90277
449.0,2.89431
450.0,2.82717
451.0,2.73989
452.0,2.67480
453.0,2.61567
454.0,2.53656
455.0,2.46030
456.0,2.39724
457.0,2.32485
458.0,2.25992
459.0,2.19289
460.0,2.12921
461.0,2.06263
462.0,1.99795
463.0,1.93758
464.0,1.87850
465.0,1.82124
466.0,1.76837
467.0,1.71706
468.0,1.66706
469.0,1.62206
470.0,1.57965
471.0,1.54087
472.0,1.50410
473.0,1.46985
474.0,1.43759
475.0,1.40778
476.0,1.37999
477.0,1.35457
478.0,1.33146
479.0,1.30860
480.0,1.28704
481.0,1.26840
482.0,1.24865
483.0,1.23356
484.0,1.21876
485.0,1.20421
486.0,1.18876
487.0,1.17723
488.0,1.16371
489.0,1.15175
490.0,1.14293
491.0,1.13199
492.0,1.12198
493.0,1.11245
494.0,1.10452
495.0,1.09527
496.0,1.08829
497.0,1.08033
498.0,1.07297
499.0,1.06623
500.0,1.05995
501.0,1.05352
502.0,1.04703
503.0,1.04073
504.0,1.03523
505.0,1.02988
506.0,1.02525
507.0,1.01979
508.0,1.01556
509.0,1.01101
510.0,1.00687
511.0,1.00208
512.0,0.99800
513.0,0.99461
514.0,0.99072
515.0,0.98813
516.0,0.98443
517.0,0.98159
518.0,0.97854
519.0,0.97657
520.0,0.97292
521.0,0.97214
522.0,0.96932
523.0,0.96586
524.0,0.96557
525.0,0.96338
526.0,0.96193
527.0,0.95964
528.0,0.95930
529.0,0.95730
530.0,0.95615
531.0,0.95537
532.0,0.95513
533.0,0.95388
534.0,0.95367
535.0,0.95331
536.0,0.95348
537.0,0.95315
538.0,0.95333
539.0,0.95372
540.0,0.95342
541.0,0.95410
542.0,0.95404
543.0,0.95424
544.0,0.95637
545.0,0.95681
546.0,0.95749
547.0,0.95925
