"pss (- conc).spc"
"Wavelength nm.","Abs."
250.0,4.99486
251.0,4.36089
252.0,4.94062
253.0,5.01166
254.0,5.51932
255.0,4.54205
256.0,6.00000
257.0,4.35826
258.0,4.33032
259.0,4.44223
260.0,4.15610
261.0,4.15581
262.0,5.08987
263.0,4.42139
264.0,4.14811
265.0,3.86626
266.0,3.66430
267.0,3.47624
268.0,3.17770
269.0,2.75451
270.0,2.27177
271.0,1.89041
272.0,1.61394
273.0,1.36727
274.0,1.14130
275.0,0.95735
276.0,0.80399
277.0,0.68280
278.0,0.59265
279.0,0.53524
280.0,0.50693
281.0,0.50188
282.0,0.50635
283.0,0.51150
284.0,0.49317
285.0,0.44637
286.0,0.39177
287.0,0.35167
288.0,0.31765
289.0,0.29593
290.0,0.28241
291.0,0.28669
292.0,0.30576
293.0,0.32775
294.0,0.30644
295.0,0.24753
296.0,0.19132
297.0,0.15282
298.0,0.12876
299.0,0.11540
300.0,0.10624
301.0,0.09728
302.0,0.09361
303.0,0.08975
304.0,0.08768
305.0,0.08508
306.0,0.08425
307.0,0.08231
308.0,0.08218
309.0,0.08009
310.0,0.07890
311.0,0.07807
312.0,0.07767
313.0,0.07776
314.0,0.07629
315.0,0.07603
316.0,0.07621
317.0,0.07552
318.0,0.07565
319.0,0.07369
320.0,0.07395
321.0,0.07489
322.0,0.07436
323.0,0.07276
324.0,0.07249
325.0,0.07241
326.0,0.07179
327.0,0.07202
328.0,0.07228
329.0,0.07072
330.0,0.07002
331.0,0.07050
332.0,0.07117
333.0,0.06952
334.0,0.06878
335.0,0.06971
336.0,0.06855
337.0,0.06860
338.0,0.06856
339.0,0.06832
340.0,0.06760
341.0,0.06752
342.0,0.06653
343.0,0.06624
344.0,0.06720
345.0,0.06591
346.0,0.06656
347.0,0.06600
348.0,0.06523
349.0,0.06553
350.0,0.06453
351.0,0.06460
352.0,0.06382
353.0,0.06367
354.0,0.06362
355.0,0.06317
356.0,0.06346
357.0,0.06300
358.0,0.06227
359.0,0.06242
360.0,0.06164
361.0,0.06212
362.0,0.06211
363.0,0.06178
364.0,0.06164
365.0,0.06164
366.0,0.06121
367.0,0.06115
368.0,0.06071
369.0,0.05991
370.0,0.05975
371.0,0.06008
372.0,0.05919
373.0,0.05857
374.0,0.05873
375.0,0.05851
376.0,0.05787
377.0,0.05730
378.0,0.05801
379.0,0.05685
380.0,0.05687
381.0,0.05642
382.0,0.05693
383.0,0.05663
384.0,0.05566
385.0,0.05556
386.0,0.05535
387.0,0.05508
388.0,0.05467
389.0,0.05490
390.0,0.05385
391.0,0.05378
392.0,0.05457
393.0,0.05355
394.0,0.05355
395.0,0.05363
396.0,0.05326
397.0,0.05401
398.0,0.05335
399.0,0.05293
400.0,0.05251
401.0,0.05284
402.0,0.05298
403.0,0.05301
404.0,0.05308
405.0,0.05225
406.0,0.05282
407.0,0.05188
408.0,0.05157
409.0,0.05222
410.0,0.05166
411.0,0.05189
412.0,0.05227
413.0,0.05174
414.0,0.05164
415.0,0.05108
416.0,0.05087
417.0,0.05090
418.0,0.05054
419.0,0.05133
420.0,0.05060
421.0,0.05041
422.0,0.05025
423.0,0.04935
424.0,0.04972
425.0,0.04968
426.0,0.05010
427.0,0.04995
428.0,0.04914
429.0,0.04942
430.0,0.04939
431.0,0.04866
432.0,0.04968
433.0,0.04884
434.0,0.04917
435.0,0.04882
436.0,0.04860
437.0,0.04897
438.0,0.04759
439.0,0.04832
440.0,0.04788
441.0,0.04751
442.0,0.04747
443.0,0.04793
444.0,0.04736
445.0,0.04691
446.0,0.04758
447.0,0.04714
448.0,0.04681
449.0,0.04656
450.0,0.04622
451.0,0.04601
452.0,0.04627
453.0,0.04606
454.0,0.04575
455.0,0.04480
456.0,0.04514
457.0,0.04491
458.0,0.04536
459.0,0.04505
460.0,0.04502
461.0,0.04427
462.0,0.04443
463.0,0.04390
464.0,0.04400
465.0,0.04432
466.0,0.04391
467.0,0.04446
468.0,0.04401
469.0,0.04326
470.0,0.04348
471.0,0.04407
472.0,0.04315
473.0,0.04303
474.0,0.04327
475.0,0.04311
476.0,0.04288
477.0,0.04261
478.0,0.04230
479.0,0.04195
480.0,0.04232
481.0,0.04241
482.0,0.04230
483.0,0.04284
484.0,0.04234
485.0,0.04191
486.0,0.04166
487.0,0.04221
488.0,0.04197
489.0,0.04202
490.0,0.04193
491.0,0.04183
492.0,0.04209
493.0,0.04163
494.0,0.04177
495.0,0.04162
496.0,0.04158
497.0,0.04142
498.0,0.04120
499.0,0.04107
500.0,0.04174
501.0,0.04191
502.0,0.04176
503.0,0.04119
504.0,0.04104
505.0,0.04121
506.0,0.04100
507.0,0.04132
508.0,0.04076
509.0,0.04111
510.0,0.04100
511.0,0.04091
512.0,0.04076
513.0,0.04127
514.0,0.04040
515.0,0.04057
516.0,0.04077
517.0,0.04106
518.0,0.04113
519.0,0.04057
520.0,0.04074
521.0,0.04068
522.0,0.04017
523.0,0.04118
524.0,0.04088
525.0,0.04075
526.0,0.04062
527.0,0.04087
528.0,0.04106
529.0,0.04073
530.0,0.04056
531.0,0.03944
532.0,0.04020
533.0,0.03960
534.0,0.03950
535.0,0.03958
536.0,0.04003
537.0,0.04005
538.0,0.03936
539.0,0.03980
540.0,0.03978
541.0,0.03958
542.0,0.03937
543.0,0.03928
544.0,0.03880
545.0,0.03952
546.0,0.03933
547.0,0.03950
548.0,0.03931
549.0,0.03947
550.0,0.03928
551.0,0.03935
552.0,0.03923
553.0,0.03951
554.0,0.03947
555.0,0.03895
556.0,0.03922
557.0,0.03898
558.0,0.03931
559.0,0.03903
560.0,0.03898
561.0,0.03906
562.0,0.03899
563.0,0.03855
564.0,0.03885
565.0,0.03869
566.0,0.03896
567.0,0.03934
568.0,0.03887
569.0,0.03883
570.0,0.03939
571.0,0.03960
572.0,0.03914
573.0,0.03910
574.0,0.03921
575.0,0.03943
576.0,0.03852
577.0,0.03887
578.0,0.03869
579.0,0.03911
580.0,0.03876
581.0,0.03930
582.0,0.03975
583.0,0.03920
584.0,0.03950
585.0,0.03952
586.0,0.03907
587.0,0.03887
588.0,0.03926
589.0,0.03952
590.0,0.03946
591.0,0.03906
592.0,0.03914
593.0,0.03935
594.0,0.03897
595.0,0.03918
596.0,0.03933
597.0,0.03987
598.0,0.03889
599.0,0.03979
600.0,0.03993
601.0,0.03934
602.0,0.03943
603.0,0.03944
604.0,0.03984
605.0,0.03927
606.0,0.03974
607.0,0.03965
608.0,0.03964
609.0,0.04003
610.0,0.03966
611.0,0.03986
612.0,0.03974
613.0,0.03917
614.0,0.03956
615.0,0.03999
616.0,0.03952
617.0,0.03968
618.0,0.04011
619.0,0.03971
620.0,0.03952
621.0,0.03948
622.0,0.04014
623.0,0.03959
624.0,0.04000
625.0,0.03943
626.0,0.03995
627.0,0.03965
628.0,0.03988
629.0,0.03998
630.0,0.04003
631.0,0.03968
632.0,0.04025
633.0,0.03999
634.0,0.03938
635.0,0.03953
636.0,0.03985
637.0,0.04038
638.0,0.04005
639.0,0.03927
640.0,0.04062
641.0,0.03991
642.0,0.04024
643.0,0.03975
644.0,0.03977
