"pss (-- conc).spc"
"Wavelength nm.","Abs."
250.0,2.43514
251.0,2.45240
252.0,2.46464
253.0,2.49199
254.0,2.51461
255.0,2.53881
256.0,2.54851
257.0,2.48748
258.0,2.40959
259.0,2.30992
260.0,2.21193
261.0,2.11345
262.0,1.99849
263.0,1.88075
264.0,1.77417
265.0,1.69135
266.0,1.62344
267.0,1.53568
268.0,1.39303
269.0,1.19404
270.0,0.98922
271.0,0.82635
272.0,0.70913
273.0,0.60745
274.0,0.51313
275.0,0.43607
276.0,0.37343
277.0,0.32083
278.0,0.28321
279.0,0.25876
280.0,0.24767
281.0,0.24535
282.0,0.24781
283.0,0.24920
284.0,0.24130
285.0,0.22143
286.0,0.19799
287.0,0.18061
288.0,0.16629
289.0,0.15809
290.0,0.15388
291.0,0.15490
292.0,0.16274
293.0,0.17114
294.0,0.16151
295.0,0.13823
296.0,0.11413
297.0,0.09760
298.0,0.08811
299.0,0.08247
300.0,0.07872
301.0,0.07458
302.0,0.07374
303.0,0.07092
304.0,0.07095
305.0,0.06920
306.0,0.06848
307.0,0.06951
308.0,0.06769
309.0,0.06641
310.0,0.06618
311.0,0.06583
312.0,0.06571
313.0,0.06583
314.0,0.06608
315.0,0.06453
316.0,0.06495
317.0,0.06436
318.0,0.06431
319.0,0.06324
320.0,0.06387
321.0,0.06412
322.0,0.06419
323.0,0.06319
324.0,0.06336
325.0,0.06382
326.0,0.06297
327.0,0.06309
328.0,0.06322
329.0,0.06261
330.0,0.06173
331.0,0.06221
332.0,0.06244
333.0,0.06205
334.0,0.06100
335.0,0.06131
336.0,0.06127
337.0,0.06111
338.0,0.06116
339.0,0.06066
340.0,0.06043
341.0,0.06088
342.0,0.06005
343.0,0.05938
344.0,0.06011
345.0,0.05966
346.0,0.05943
347.0,0.05898
348.0,0.05986
349.0,0.05883
350.0,0.05873
351.0,0.05893
352.0,0.05838
353.0,0.05779
354.0,0.05789
355.0,0.05812
356.0,0.05769
357.0,0.05753
358.0,0.05687
359.0,0.05743
360.0,0.05643
361.0,0.05693
362.0,0.05694
363.0,0.05713
364.0,0.05720
365.0,0.05667
366.0,0.05641
367.0,0.05627
368.0,0.05625
369.0,0.05568
370.0,0.05624
371.0,0.05577
372.0,0.05559
373.0,0.05585
374.0,0.05510
375.0,0.05477
376.0,0.05461
377.0,0.05449
378.0,0.05449
379.0,0.05357
380.0,0.05377
381.0,0.05398
382.0,0.05412
383.0,0.05396
384.0,0.05288
385.0,0.05317
386.0,0.05313
387.0,0.05277
388.0,0.05214
389.0,0.05303
390.0,0.05227
391.0,0.05196
392.0,0.05263
393.0,0.05191
394.0,0.05207
395.0,0.05145
396.0,0.05141
397.0,0.05203
398.0,0.05198
399.0,0.05151
400.0,0.05106
401.0,0.05113
402.0,0.05154
403.0,0.05105
404.0,0.05133
405.0,0.05059
406.0,0.05092
407.0,0.05023
408.0,0.05039
409.0,0.05079
410.0,0.05044
411.0,0.05041
412.0,0.05035
413.0,0.05050
414.0,0.05023
415.0,0.04959
416.0,0.04957
417.0,0.04971
418.0,0.04917
419.0,0.04956
420.0,0.04963
421.0,0.04907
422.0,0.04884
423.0,0.04773
424.0,0.04875
425.0,0.04863
426.0,0.04853
427.0,0.04904
428.0,0.04817
429.0,0.04881
430.0,0.04783
431.0,0.04809
432.0,0.04809
433.0,0.04790
434.0,0.04800
435.0,0.04754
436.0,0.04738
437.0,0.04752
438.0,0.04666
439.0,0.04748
440.0,0.04708
441.0,0.04655
442.0,0.04664
443.0,0.04685
444.0,0.04642
445.0,0.04584
446.0,0.04583
447.0,0.04635
448.0,0.04590
449.0,0.04563
450.0,0.04512
451.0,0.04505
452.0,0.04493
453.0,0.04514
454.0,0.04503
455.0,0.04429
456.0,0.04421
457.0,0.04414
458.0,0.04405
459.0,0.04388
460.0,0.04409
461.0,0.04335
462.0,0.04331
463.0,0.04325
464.0,0.04268
465.0,0.04333
466.0,0.04281
467.0,0.04349
468.0,0.04254
469.0,0.04252
470.0,0.04263
471.0,0.04303
472.0,0.04253
473.0,0.04212
474.0,0.04274
475.0,0.04211
476.0,0.04184
477.0,0.04192
478.0,0.04157
479.0,0.04097
480.0,0.04140
481.0,0.04119
482.0,0.04152
483.0,0.04169
484.0,0.04137
485.0,0.04106
486.0,0.04122
487.0,0.04090
488.0,0.04076
489.0,0.04096
490.0,0.04102
491.0,0.04080
492.0,0.04097
493.0,0.04065
494.0,0.04091
495.0,0.04056
496.0,0.04070
497.0,0.04064
498.0,0.04012
499.0,0.04009
500.0,0.04065
501.0,0.04080
502.0,0.04034
503.0,0.04035
504.0,0.04008
505.0,0.04044
506.0,0.04016
507.0,0.04029
508.0,0.04004
509.0,0.04006
510.0,0.04006
511.0,0.03986
512.0,0.03980
513.0,0.04012
514.0,0.03934
515.0,0.03956
516.0,0.03998
517.0,0.04000
518.0,0.03988
519.0,0.03995
520.0,0.04029
521.0,0.03937
522.0,0.03963
523.0,0.04028
524.0,0.03992
525.0,0.03966
526.0,0.03981
527.0,0.03975
528.0,0.04005
529.0,0.03986
530.0,0.03930
531.0,0.03893
532.0,0.03894
533.0,0.03910
534.0,0.03845
535.0,0.03863
536.0,0.03878
537.0,0.03882
538.0,0.03857
539.0,0.03915
540.0,0.03910
541.0,0.03864
542.0,0.03828
543.0,0.03861
544.0,0.03824
545.0,0.03876
546.0,0.03854
547.0,0.03837
548.0,0.03835
549.0,0.03860
550.0,0.03857
551.0,0.03795
552.0,0.03815
553.0,0.03831
554.0,0.03857
555.0,0.03786
556.0,0.03819
557.0,0.03783
558.0,0.03809
559.0,0.03765
560.0,0.03796
561.0,0.03789
562.0,0.03803
563.0,0.03766
564.0,0.03804
565.0,0.03783
566.0,0.03810
567.0,0.03838
568.0,0.03772
569.0,0.03785
570.0,0.03821
571.0,0.03795
572.0,0.03803
573.0,0.03807
574.0,0.03802
575.0,0.03785
576.0,0.03756
577.0,0.03799
