"blanco_agua.spc"
"Wavelength nm.","Abs."
250.0,0.06946
251.0,0.06903
252.0,0.06819
253.0,0.06813
254.0,0.06779
255.0,0.06737
256.0,0.06699
257.0,0.06669
258.0,0.06657
259.0,0.06719
260.0,0.06644
261.0,0.06597
262.0,0.06585
263.0,0.06600
264.0,0.06560
265.0,0.06473
266.0,0.06501
267.0,0.06440
268.0,0.06484
269.0,0.06430
270.0,0.06457
271.0,0.06505
272.0,0.06371
273.0,0.06364
274.0,0.06365
275.0,0.06305
276.0,0.06419
277.0,0.06294
278.0,0.06286
279.0,0.06265
280.0,0.06321
281.0,0.06271
282.0,0.06224
283.0,0.06266
284.0,0.06259
285.0,0.06145
286.0,0.05864
287.0,0.05863
288.0,0.05971
289.0,0.06042
290.0,0.06038
291.0,0.06035
292.0,0.05893
293.0,0.05905
294.0,0.05893
295.0,0.05989
296.0,0.06001
297.0,0.05850
298.0,0.05818
299.0,0.05874
300.0,0.05917
301.0,0.05692
302.0,0.05748
303.0,0.05764
304.0,0.05813
305.0,0.05844
306.0,0.05786
307.0,0.05728
308.0,0.05801
309.0,0.05706
310.0,0.05745
311.0,0.05741
312.0,0.05647
313.0,0.05739
314.0,0.05665
315.0,0.05641
316.0,0.05662
317.0,0.05674
318.0,0.05764
319.0,0.05617
320.0,0.05701
321.0,0.05722
322.0,0.05713
323.0,0.05621
324.0,0.05691
325.0,0.05610
326.0,0.05545
327.0,0.05597
328.0,0.05669
329.0,0.05602
330.0,0.05585
331.0,0.05553
332.0,0.05681
333.0,0.05551
334.0,0.05463
335.0,0.05565
336.0,0.05581
337.0,0.05520
338.0,0.05589
339.0,0.05566
340.0,0.05448
341.0,0.05523
342.0,0.05372
343.0,0.05469
344.0,0.05500
345.0,0.05476
346.0,0.05466
347.0,0.05449
348.0,0.05471
349.0,0.05441
350.0,0.05388
351.0,0.05459
352.0,0.05403
353.0,0.05366
354.0,0.05369
355.0,0.05409
356.0,0.05366
357.0,0.05372
358.0,0.05320
359.0,0.05343
360.0,0.05312
361.0,0.05368
362.0,0.05346
363.0,0.05377
364.0,0.05347
365.0,0.05331
366.0,0.05291
367.0,0.05288
368.0,0.05290
369.0,0.05344
370.0,0.05292
371.0,0.05240
372.0,0.05310
373.0,0.05273
374.0,0.05197
375.0,0.05236
376.0,0.05207
377.0,0.05246
378.0,0.05233
379.0,0.05114
380.0,0.05192
381.0,0.05178
382.0,0.05227
383.0,0.05185
384.0,0.05131
385.0,0.05191
386.0,0.05134
387.0,0.05117
388.0,0.05054
389.0,0.05103
390.0,0.05031
391.0,0.05081
392.0,0.05118
393.0,0.05020
394.0,0.05053
395.0,0.05035
396.0,0.05049
397.0,0.05099
398.0,0.05062
399.0,0.05014
400.0,0.04968
401.0,0.05045
402.0,0.04971
403.0,0.05016
404.0,0.05035
405.0,0.04967
406.0,0.04975
407.0,0.04939
408.0,0.04936
409.0,0.04988
410.0,0.04903
411.0,0.04916
412.0,0.04965
413.0,0.04964
414.0,0.04930
415.0,0.04910
416.0,0.04910
417.0,0.04896
418.0,0.04835
419.0,0.04901
420.0,0.04885
421.0,0.04823
422.0,0.04785
423.0,0.04738
424.0,0.04803
425.0,0.04776
426.0,0.04755
427.0,0.04817
428.0,0.04731
429.0,0.04816
430.0,0.04707
431.0,0.04712
432.0,0.04766
433.0,0.04696
434.0,0.04730
435.0,0.04676
436.0,0.04633
437.0,0.04726
438.0,0.04642
439.0,0.04675
440.0,0.04635
441.0,0.04577
442.0,0.04604
443.0,0.04636
444.0,0.04598
445.0,0.04520
446.0,0.04596
447.0,0.04590
448.0,0.04520
449.0,0.04512
450.0,0.04452
451.0,0.04448
452.0,0.04416
453.0,0.04447
454.0,0.04411
455.0,0.04326
456.0,0.04394
457.0,0.04313
458.0,0.04396
459.0,0.04329
460.0,0.04361
461.0,0.04304
462.0,0.04321
463.0,0.04269
464.0,0.04256
465.0,0.04324
466.0,0.04237
467.0,0.04275
468.0,0.04269
