"m-cresol PANI base-Cit.spc"
"Wavelength nm.","Abs."
250.0,6.00000
251.0,5.18554
252.0,5.26187
253.0,6.00000
254.0,6.00000
255.0,4.76772
256.0,6.00000
257.0,6.00000
258.0,6.00000
259.0,6.00000
260.0,6.00000
261.0,6.00000
262.0,6.00000
263.0,6.00000
264.0,6.00000
265.0,5.01245
266.0,6.00000
267.0,4.80957
268.0,6.00000
269.0,4.94758
270.0,6.00000
271.0,6.00000
272.0,6.00000
273.0,6.00000
274.0,4.19638
275.0,6.00000
276.0,6.00000
277.0,6.00000
278.0,6.00000
279.0,5.90344
280.0,6.00000
281.0,6.00000
282.0,6.00000
283.0,4.50867
284.0,6.00000
285.0,4.97546
286.0,4.70177
287.0,6.00000
288.0,6.00000
289.0,4.67208
290.0,6.00000
291.0,6.00000
292.0,6.00000
293.0,6.00000
294.0,4.92816
295.0,6.00000
296.0,6.00000
297.0,4.14234
298.0,4.61020
299.0,6.00000
300.0,6.00000
301.0,4.72856
302.0,4.38965
303.0,4.35211
304.0,6.00000
305.0,4.64505
306.0,6.00000
307.0,6.00000
308.0,6.00000
309.0,4.74070
310.0,6.00000
311.0,6.00000
312.0,6.00000
313.0,4.24015
314.0,6.00000
315.0,4.72606
316.0,6.00000
317.0,6.00000
318.0,4.41590
319.0,6.00000
320.0,6.00000
321.0,4.21077
322.0,6.00000
323.0,4.34177
324.0,5.07244
325.0,4.61739
326.0,4.21284
327.0,4.48638
328.0,6.00000
329.0,6.00000
330.0,4.41051
331.0,4.45199
332.0,6.00000
333.0,4.36049
334.0,4.01816
335.0,4.15972
336.0,4.10535
337.0,3.96581
338.0,4.11162
339.0,3.84465
340.0,4.33592
341.0,4.14755
342.0,3.78435
343.0,3.83824
344.0,3.71162
345.0,3.66876
346.0,3.79249
347.0,3.92179
348.0,3.63065
349.0,3.54242
350.0,3.71928
351.0,3.62592
352.0,3.61420
353.0,3.57617
354.0,3.69409
355.0,3.47209
356.0,3.50036
357.0,3.41405
358.0,3.42141
359.0,3.41990
360.0,3.37257
361.0,3.35654
362.0,3.26080
363.0,3.38963
364.0,3.31044
365.0,3.30622
366.0,3.31671
367.0,3.20854
368.0,3.21367
369.0,3.17637
370.0,3.20127
371.0,3.15734
372.0,3.15060
373.0,3.13080
374.0,3.09652
375.0,3.13159
376.0,3.07318
377.0,3.02934
378.0,3.03904
379.0,3.07212
380.0,3.01472
381.0,2.97929
382.0,3.01062
383.0,2.98480
384.0,2.99968
385.0,2.96461
386.0,2.94927
387.0,2.93158
388.0,2.89988
389.0,2.91992
390.0,2.87099
391.0,2.90223
392.0,2.88343
393.0,2.85855
394.0,2.86329
395.0,2.82498
