"m-cresol PANI base-H3PO4 (+ conc).spc"
"Wavelength nm.","Abs."
250.0,6.00000
251.0,6.00000
252.0,6.00000
253.0,4.24828
254.0,6.00000
255.0,6.00000
256.0,4.50954
257.0,6.00000
258.0,4.56334
259.0,6.00000
260.0,6.00000
261.0,6.00000
262.0,6.00000
263.0,4.49812
264.0,5.94613
265.0,6.00000
266.0,5.01181
267.0,6.00000
268.0,6.00000
269.0,5.15107
270.0,6.00000
271.0,4.59795
272.0,6.00000
273.0,6.00000
274.0,4.47418
275.0,6.00000
276.0,6.00000
277.0,6.00000
278.0,6.00000
279.0,4.36890
280.0,6.00000
281.0,4.33626
282.0,6.00000
283.0,4.79521
284.0,6.00000
285.0,6.00000
286.0,4.16415
287.0,6.00000
288.0,6.00000
289.0,6.00000
290.0,6.00000
291.0,6.00000
292.0,6.00000
293.0,4.09471
294.0,6.00000
295.0,6.00000
296.0,4.42268
297.0,6.00000
298.0,3.97783
299.0,6.00000
300.0,6.00000
301.0,6.00000
302.0,4.35002
303.0,6.00000
304.0,5.37404
305.0,6.00000
306.0,6.00000
307.0,4.61526
308.0,5.05500
309.0,4.65303
310.0,6.00000
311.0,6.00000
312.0,4.68010
313.0,4.10181
314.0,4.53779
315.0,4.15481
316.0,4.26074
317.0,4.71161
318.0,4.33043
319.0,4.00585
320.0,3.92298
321.0,3.91767
322.0,6.00000
323.0,3.79626
324.0,3.73750
325.0,3.63636
326.0,3.73598
327.0,3.62210
328.0,3.53824
329.0,3.59563
330.0,3.37683
331.0,3.37060
332.0,3.30844
333.0,3.27994
334.0,3.25255
335.0,3.24436
336.0,3.20127
337.0,3.12333
338.0,3.09948
339.0,3.09873
340.0,3.04597
341.0,3.01157
342.0,2.97565
343.0,2.95391
344.0,2.91453
345.0,2.88562
346.0,2.82437
347.0,2.79981
348.0,2.77369
349.0,2.72875
350.0,2.70713
351.0,2.68540
352.0,2.63843
353.0,2.60452
354.0,2.57371
355.0,2.54508
356.0,2.50674
357.0,2.46111
358.0,2.43624
359.0,2.40095
360.0,2.37235
361.0,2.34014
362.0,2.29721
363.0,2.27945
364.0,2.23945
365.0,2.20703
366.0,2.18132
367.0,2.14625
368.0,2.11773
369.0,2.08562
370.0,2.06245
371.0,2.03477
372.0,2.00815
373.0,1.98329
374.0,1.95366
375.0,1.92853
376.0,1.90752
377.0,1.88408
378.0,1.86495
379.0,1.84534
380.0,1.82465
381.0,1.80295
382.0,1.78323
383.0,1.76181
384.0,1.73992
385.0,1.72556
386.0,1.70650
387.0,1.68791
388.0,1.66764
389.0,1.65044
390.0,1.63134
391.0,1.61503
392.0,1.59763
393.0,1.57971
394.0,1.56330
395.0,1.55120
396.0,1.53550
397.0,1.52173
398.0,1.51139
399.0,1.49926
400.0,1.49006
401.0,1.47984
402.0,1.47057
403.0,1.46350
404.0,1.45342
405.0,1.44895
406.0,1.44280
407.0,1.43832
408.0,1.43408
409.0,1.42953
410.0,1.42429
411.0,1.42140
412.0,1.41936
413.0,1.41571
414.0,1.41216
415.0,1.40974
416.0,1.40626
417.0,1.40306
418.0,1.40161
419.0,1.39786
420.0,1.39564
421.0,1.39360
422.0,1.39075
423.0,1.38704
424.0,1.38635
425.0,1.38449
426.0,1.38284
427.0,1.38123
428.0,1.38047
429.0,1.37964
430.0,1.37596
431.0,1.37495
432.0,1.37185
433.0,1.37066
434.0,1.36987
435.0,1.36798
436.0,1.36481
437.0,1.36059
438.0,1.35779
439.0,1.35292
440.0,1.34844
441.0,1.34384
442.0,1.33753
443.0,1.32949
444.0,1.32196
445.0,1.31345
446.0,1.30499
447.0,1.29408
448.0,1.28249
449.0,1.27043
450.0,1.25763
451.0,1.24565
452.0,1.23179
453.0,1.21732
454.0,1.20251
455.0,1.18844
456.0,1.17172
457.0,1.15901
458.0,1.14308
459.0,1.12924
460.0,1.11674
461.0,1.10140
462.0,1.08806
463.0,1.07447
464.0,1.06275
465.0,1.05150
466.0,1.04041
467.0,1.03026
468.0,1.02061
469.0,1.01159
470.0,1.00307
471.0,0.99404
472.0,0.98591
473.0,0.97813
474.0,0.96972
475.0,0.96203
476.0,0.95548
477.0,0.94807
478.0,0.94093
479.0,0.93456
480.0,0.92796
481.0,0.92179
482.0,0.91567
483.0,0.90982
484.0,0.90577
485.0,0.90056
486.0,0.89470
487.0,0.89031
488.0,0.88589
489.0,0.88210
490.0,0.87895
491.0,0.87445
492.0,0.87079
493.0,0.86767
494.0,0.86520
495.0,0.86178
496.0,0.85990
497.0,0.85794
498.0,0.85532
499.0,0.85248
500.0,0.85148
501.0,0.84924
502.0,0.84701
503.0,0.84489
504.0,0.84368
505.0,0.84152
506.0,0.84090
507.0,0.83944
508.0,0.83785
509.0,0.83743
510.0,0.83659
511.0,0.83567
512.0,0.83451
513.0,0.83363
514.0,0.83349
515.0,0.83268
516.0,0.83321
517.0,0.83246
518.0,0.83159
519.0,0.83190
520.0,0.83178
521.0,0.83240
522.0,0.83225
523.0,0.83248
524.0,0.83299
525.0,0.83309
526.0,0.83370
527.0,0.83316
528.0,0.83436
529.0,0.83556
530.0,0.83650
531.0,0.83742
532.0,0.83825
533.0,0.83970
534.0,0.84033
535.0,0.84174
536.0,0.84368
537.0,0.84550
538.0,0.84705
539.0,0.84856
540.0,0.85012
541.0,0.85206
542.0,0.85373
543.0,0.85577
544.0,0.85842
545.0,0.85954
546.0,0.86239
547.0,0.86519
548.0,0.86717
549.0,0.87031
550.0,0.87209
551.0,0.87501
552.0,0.87729
553.0,0.88035
554.0,0.88321
555.0,0.88558
556.0,0.88830
557.0,0.89187
558.0,0.89530
559.0,0.89825
560.0,0.90104
561.0,0.90455
562.0,0.90779
563.0,0.91131
564.0,0.91522
565.0,0.91806
566.0,0.92177
567.0,0.92537
568.0,0.92873
569.0,0.93211
570.0,0.93588
571.0,0.94051
572.0,0.94348
573.0,0.94699
574.0,0.95110
575.0,0.95566
576.0,0.95904
577.0,0.96332
578.0,0.96782
579.0,0.97210
580.0,0.97567
581.0,0.98032
582.0,0.98426
583.0,0.98868
584.0,0.99394
585.0,0.99753
586.0,1.00192
587.0,1.00598
588.0,1.01108
589.0,1.01428
590.0,1.01947
591.0,1.02365
592.0,1.02794
593.0,1.03261
594.0,1.03683
595.0,1.04082
596.0,1.04568
597.0,1.05035
598.0,1.05498
599.0,1.05865
600.0,1.06357
601.0,1.06756
602.0,1.07282
603.0,1.07709
604.0,1.08151
605.0,1.08588
606.0,1.09041
607.0,1.09459
608.0,1.09935
609.0,1.10414
610.0,1.10767
611.0,1.11191
612.0,1.11553
613.0,1.12025
614.0,1.12401
615.0,1.12823
616.0,1.13214
617.0,1.13654
618.0,1.13992
619.0,1.14381
620.0,1.14760
621.0,1.15157
622.0,1.15563
623.0,1.15844
624.0,1.16381
625.0,1.16699
626.0,1.17103
627.0,1.17459
628.0,1.17805
629.0,1.18163
630.0,1.18484
631.0,1.18821
632.0,1.19120
633.0,1.19475
634.0,1.19810
635.0,1.20084
636.0,1.20461
637.0,1.20636
638.0,1.21028
639.0,1.21299
640.0,1.21562
641.0,1.21925
642.0,1.22179
643.0,1.22512
644.0,1.22731
645.0,1.22909
646.0,1.23125
647.0,1.23308
648.0,1.23691
649.0,1.23799
650.0,1.24096
651.0,1.24256
652.0,1.24496
653.0,1.24689
654.0,1.24900
655.0,1.25040
656.0,1.25160
657.0,1.25320
658.0,1.25561
659.0,1.25625
660.0,1.25811
661.0,1.26030
662.0,1.26061
663.0,1.26110
664.0,1.26270
665.0,1.26476
666.0,1.26512
667.0,1.26580
668.0,1.26636
669.0,1.26598
670.0,1.26638
671.0,1.26652
672.0,1.26711
673.0,1.26708
674.0,1.26775
675.0,1.26760
676.0,1.26821
677.0,1.26736
678.0,1.26632
679.0,1.26617
680.0,1.26575
681.0,1.26537
682.0,1.26559
683.0,1.26282
684.0,1.26227
685.0,1.26204
686.0,1.26002
687.0,1.25937
688.0,1.25800
689.0,1.25766
690.0,1.25551
691.0,1.25275
692.0,1.25176
693.0,1.25034
694.0,1.24744
695.0,1.24451
696.0,1.24331
697.0,1.24060
698.0,1.23813
699.0,1.23561
700.0,1.23286
701.0,1.23089
702.0,1.22762
703.0,1.22529
704.0,1.22204
705.0,1.21862
706.0,1.21634
707.0,1.21321
708.0,1.20977
709.0,1.20760
710.0,1.20343
711.0,1.20012
712.0,1.19630
713.0,1.19262
714.0,1.18911
715.0,1.18470
716.0,1.18043
717.0,1.17596
718.0,1.17049
719.0,1.16726
720.0,1.16249
721.0,1.15653
722.0,1.15335
723.0,1.14771
724.0,1.14363
725.0,1.13776
726.0,1.13430
727.0,1.12851
