"m-cresol PANI base-HCL.spc"
"Wavelength nm.","Abs."
250.0,5.73682
251.0,6.00000
252.0,6.00000
253.0,5.22394
254.0,6.00000
255.0,4.87209
256.0,6.00000
257.0,6.00000
258.0,4.50725
259.0,6.00000
260.0,6.00000
261.0,4.64857
262.0,6.00000
263.0,6.00000
264.0,6.00000
265.0,6.00000
266.0,6.00000
267.0,6.00000
268.0,6.00000
269.0,6.00000
270.0,6.00000
271.0,6.00000
272.0,6.00000
273.0,4.92134
274.0,4.88466
275.0,6.00000
276.0,6.00000
277.0,6.00000
278.0,6.00000
279.0,4.77852
280.0,6.00000
281.0,4.68722
282.0,6.00000
283.0,6.00000
284.0,6.00000
285.0,6.00000
286.0,6.00000
287.0,6.00000
288.0,6.00000
289.0,6.00000
290.0,6.00000
291.0,6.00000
292.0,6.00000
293.0,6.00000
294.0,6.00000
295.0,4.45512
296.0,6.00000
297.0,6.00000
298.0,4.39806
299.0,6.00000
300.0,6.00000
301.0,6.00000
302.0,6.00000
303.0,5.52237
304.0,6.00000
305.0,6.00000
306.0,6.00000
307.0,5.22527
308.0,6.00000
309.0,6.00000
310.0,4.41330
311.0,3.98566
312.0,3.86414
313.0,4.14117
314.0,6.00000
315.0,3.77828
316.0,3.71921
317.0,4.16770
318.0,3.95198
319.0,3.67551
320.0,3.53988
321.0,3.56215
322.0,3.59500
323.0,3.37999
324.0,3.48655
325.0,3.29425
326.0,3.30612
327.0,3.45486
328.0,3.18336
329.0,3.19116
330.0,3.14506
331.0,3.07031
332.0,3.02809
333.0,2.98975
334.0,2.91256
335.0,2.92510
336.0,2.88687
337.0,2.83990
338.0,2.82648
339.0,2.79780
340.0,2.78757
341.0,2.74970
342.0,2.70814
343.0,2.68121
344.0,2.64436
345.0,2.64141
346.0,2.61384
347.0,2.57214
348.0,2.53956
349.0,2.51518
350.0,2.48069
351.0,2.45420
352.0,2.42265
353.0,2.38863
354.0,2.36450
355.0,2.33025
356.0,2.30446
357.0,2.27340
358.0,2.24445
359.0,2.21823
360.0,2.18875
361.0,2.16108
362.0,2.12785
363.0,2.10204
364.0,2.07816
365.0,2.04342
366.0,2.01578
367.0,1.99456
368.0,1.96611
369.0,1.94197
370.0,1.91130
371.0,1.89014
372.0,1.86815
373.0,1.84408
374.0,1.82371
375.0,1.79861
376.0,1.77885
377.0,1.75880
378.0,1.73849
379.0,1.71889
380.0,1.70004
381.0,1.67995
382.0,1.66053
383.0,1.64139
384.0,1.62190
385.0,1.60467
386.0,1.58675
387.0,1.56964
388.0,1.55212
389.0,1.53534
390.0,1.51662
391.0,1.50131
392.0,1.48416
393.0,1.46814
394.0,1.45268
395.0,1.43815
396.0,1.42483
397.0,1.41156
398.0,1.39950
399.0,1.38961
400.0,1.37861
401.0,1.36952
402.0,1.36042
403.0,1.35368
404.0,1.34607
405.0,1.34103
406.0,1.33395
407.0,1.32867
408.0,1.32435
409.0,1.32021
410.0,1.31533
411.0,1.31176
412.0,1.30782
413.0,1.30441
414.0,1.30288
415.0,1.29784
416.0,1.29611
417.0,1.29180
418.0,1.28900
419.0,1.28627
420.0,1.28261
421.0,1.27994
422.0,1.27775
423.0,1.27417
424.0,1.27248
425.0,1.26994
426.0,1.26810
427.0,1.26538
428.0,1.26409
429.0,1.26229
430.0,1.25991
431.0,1.25899
432.0,1.25619
433.0,1.25460
434.0,1.25175
435.0,1.24978
436.0,1.24602
437.0,1.24338
438.0,1.24011
439.0,1.23564
440.0,1.22991
441.0,1.22557
442.0,1.21942
443.0,1.21141
444.0,1.20403
445.0,1.19523
446.0,1.18585
447.0,1.17633
448.0,1.16528
449.0,1.15356
450.0,1.14158
451.0,1.12886
452.0,1.11620
453.0,1.10280
454.0,1.08774
455.0,1.07416
456.0,1.06019
457.0,1.04683
458.0,1.03343
459.0,1.02020
460.0,1.00782
461.0,0.99435
462.0,0.98241
463.0,0.97087
464.0,0.95909
465.0,0.94969
466.0,0.93931
467.0,0.92967
468.0,0.92030
469.0,0.91213
470.0,0.90376
471.0,0.89570
472.0,0.88784
473.0,0.88008
474.0,0.87283
475.0,0.86502
476.0,0.85820
477.0,0.85202
478.0,0.84507
479.0,0.83778
480.0,0.83124
481.0,0.82549
482.0,0.81860
483.0,0.81360
484.0,0.80922
