Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
300.000000E+0,467.611000E+3,36.271000E+3,-1.034530E+6,25.780000E+3,100.000000E+0
400.000000E+0,261.224500E+3,6.904500E+3,-809.714500E+3,8.835500E+3,100.000000E+0
500.000000E+0,214.474500E+3,7.477500E+3,-761.866000E+3,2.936000E+3,100.000000E+0
600.000000E+0,124.671000E+3,21.664000E+3,-624.671000E+3,15.971000E+3,100.000000E+0
750.000000E+0,99.097750E+3,5.742250E+3,-505.595000E+3,19.041000E+3,100.000000E+0
1.000000E+3,71.139950E+3,3.887950E+3,-383.222500E+3,1.121500E+3,100.000000E+0
1.200000E+3,42.411350E+3,647.950000E+0,-334.486500E+3,2.190500E+3,100.000000E+0
1.500000E+3,37.185800E+3,2.297800E+3,-268.284500E+3,2.855500E+3,100.000000E+0
2.000000E+3,22.562300E+3,365.500000E+0,-204.716500E+3,1.096500E+3,100.000000E+0
2.500000E+3,15.224100E+3,1.032000E+3,-164.458000E+3,858.000000E+0,100.000000E+0
3.000000E+3,9.845735E+3,524.165000E+0,-138.031500E+3,95.500000E+0,100.000000E+0
4.000000E+3,7.037705E+3,35.865000E+0,-104.561000E+3,247.000000E+0,100.000000E+0
5.000000E+3,4.748405E+3,119.325000E+0,-84.339800E+3,75.300000E+0,100.000000E+0
6.000000E+3,3.431180E+3,67.340000E+0,-70.427600E+3,116.500000E+0,100.000000E+0
7.500000E+3,2.170120E+3,52.190000E+0,-56.404300E+3,6.100000E+0,100.000000E+0
10.000000E+3,1.527080E+3,9.570000E+0,-42.551300E+3,33.600000E+0,100.000000E+0
12.000000E+3,1.027570E+3,18.640000E+0,-35.484900E+3,8.700000E+0,100.000000E+0
15.000000E+3,719.351500E+0,4.193500E+0,-28.472800E+3,10.500000E+0,100.000000E+0
20.000000E+3,463.569000E+0,14.720000E+0,-21.402350E+3,7.750000E+0,100.000000E+0
25.000000E+3,340.468000E+0,11.094000E+0,-17.140100E+3,2.300000E+0,100.000000E+0
30.000000E+3,265.363000E+0,10.676000E+0,-14.304250E+3,650.000011E-3,100.000000E+0
40.000000E+3,171.236500E+0,239.500000E-3,-10.744600E+3,600.000000E-3,100.000000E+0
50.000000E+3,130.763500E+0,2.172500E+0,-8.609685E+3,2.095000E+0,100.000000E+0
60.000000E+3,102.958500E+0,1.218500E+0,-7.181275E+3,1.805000E+0,100.000000E+0
75.000000E+3,80.331300E+0,288.600000E-3,-5.752230E+3,410.000008E-3,100.000000E+0
100.000000E+3,56.958350E+0,283.550000E-3,-4.320720E+3,840.000001E-3,100.000000E+0
120.000000E+3,47.280650E+0,121.350000E-3,-3.603805E+3,234.999996E-3,100.000000E+0
150.000000E+3,37.536750E+0,243.750000E-3,-2.885975E+3,114.999993E-3,100.000000E+0
200.000000E+3,28.849450E+0,42.650000E-3,-2.166900E+3,20.000006E-3,100.000000E+0
