Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
150.000000E+0,224.003500E+3,71.002500E+3,-257.554500E+3,23.295500E+3,100.000000E+0
200.000000E+0,29.124250E+3,7.046950E+3,-218.278500E+3,1.084500E+3,100.000000E+0
250.000000E+0,32.570750E+3,8.272750E+3,-163.170500E+3,1.663500E+3,100.000000E+0
300.000000E+0,6.050870E+3,1.652940E+3,-156.391500E+3,4.611500E+3,100.000000E+0
400.000000E+0,-6.682440E+3,5.400560E+3,-104.499000E+3,2.353000E+3,100.000000E+0
500.000000E+0,-15.733850E+3,322.250000E+0,-78.940000E+3,2.362400E+3,100.000000E+0
600.000000E+0,-22.808550E+3,5.079750E+3,-64.136000E+3,1.608100E+3,100.000000E+0
750.000000E+0,-21.432150E+3,1.020650E+3,-44.426800E+3,846.100000E+0,100.000000E+0
1.000000E+3,-17.069000E+3,444.000000E+0,-28.452950E+3,703.750000E+0,100.000000E+0
1.200000E+3,-13.456900E+3,184.600000E+0,-20.493200E+3,455.500000E+0,100.000000E+0
1.500000E+3,-10.112765E+3,166.235000E+0,-13.943800E+3,139.200000E+0,100.000000E+0
2.000000E+3,-6.680985E+3,96.035000E+0,-8.475925E+3,92.085000E+0,100.000000E+0
2.500000E+3,-4.686785E+3,9.125000E+0,-5.857610E+3,56.080000E+0,100.000000E+0
3.000000E+3,-3.332805E+3,46.125000E+0,-4.520040E+3,100.570000E+0,100.000000E+0
4.000000E+3,-1.948505E+3,20.655000E+0,-3.057490E+3,14.540000E+0,100.000000E+0
5.000000E+3,-1.321170E+3,18.130000E+0,-2.286955E+3,10.205000E+0,100.000000E+0
6.000000E+3,-965.070500E+0,9.674500E+0,-1.833795E+3,10.675000E+0,100.000000E+0
7.500000E+3,-589.967000E+0,1.363000E+0,-1.405255E+3,10.865000E+0,100.000000E+0
10.000000E+3,-346.033000E+0,6.010000E+0,-1.026005E+3,5.735000E+0,100.000000E+0
12.000000E+3,-246.882000E+0,1.945000E+0,-844.764500E+0,6.708500E+0,100.000000E+0
15.000000E+3,-160.790500E+0,2.620500E+0,-664.191000E+0,41.999999E-3,100.000000E+0
20.000000E+3,-94.265750E+0,197.150000E-3,-496.690000E+0,1.283000E+0,100.000000E+0
25.000000E+3,-61.526550E+0,1.166450E+0,-395.958500E+0,930.500000E-3,100.000000E+0
30.000000E+3,-44.098850E+0,553.950000E-3,-328.323000E+0,163.000000E-3,100.000000E+0
40.000000E+3,-27.226700E+0,134.800000E-3,-246.128500E+0,337.500000E-3,100.000000E+0
50.000000E+3,-19.647450E+0,89.150000E-3,-197.244500E+0,182.500000E-3,100.000000E+0
60.000000E+3,-15.330750E+0,83.950000E-3,-163.432000E+0,98.000000E-3,100.000000E+0
75.000000E+3,-11.469700E+0,126.300000E-3,-131.033000E+0,19.000000E-3,100.000000E+0
100.000000E+3,-9.102805E+0,10.605000E-3,-97.857950E+0,71.250000E-3,100.000000E+0
120.000000E+3,-7.867035E+0,138.925000E-3,-81.422400E+0,178.200000E-3,100.000000E+0
150.000000E+3,-6.965005E+0,325.000009E-6,-64.781600E+0,45.700000E-3,100.000000E+0
200.000000E+3,-6.188175E+0,75.235000E-3,-48.443850E+0,84.850000E-3,100.000000E+0
