Tiempo (min),Vdc (V),Freq (Hz),R_ch1 (Ohm),X_ch1 (Ohm),|Z|_ch1 (Ohm),Theta_ch1 (Deg),Vm_ch1 (V),Im_ch1 (A),R_ch2 (Ohm),X_ch2 (Ohm),|Z|_ch2 (Ohm),Theta_ch2 (Deg),Vm_ch2 (V),Im_ch2 (A),Status
0.2362,0.0,20.0,528522.0,17227.3,528802.6894308405,1.8669085504898657,0.0999811,1.89071e-07,399918.0,-3645.5,399934.6151488391,-0.5222720136081046,0.099975,2.49978e-07,0
0.4177,0.0,23.0,284240.0,-324527.0,431404.85779485607,-48.78620091957244,0.0999847,2.31765e-07,252200.0,-233416.0,343639.1553010221,-42.78485955087821,0.0999786,2.90941e-07,0
0.5805,0.0,26.0,445891.0,-408280.0,604575.340450634,-42.478771247208385,0.0999878,1.65385e-07,340238.0,-6006.97,340291.02299734694,-1.0114633726026898,0.0999706,2.93779e-07,0
0.7243,0.0,30.0,405335.0,-276627.0,490733.083614708,-34.3121731448199,0.0999832,2.03743e-07,334982.0,-124912.0,357513.56347417086,-20.450066815571454,0.0999738,2.79636e-07,0
0.8536,0.0,34.0,575608.0,38340.1,576883.4656427674,3.8107285736035643,0.0999827,1.73315e-07,261105.0,35637.7,263525.8368477178,7.7721614968033075,0.0999624,3.79327e-07,0
0.9686,0.0,39.0,404534.0,-275463.0,489415.59182866255,-34.25247759985654,0.0999831,2.04291e-07,280494.0,-127550.0,308132.90401383623,-24.45288035375612,0.0999705,3.24439e-07,0
1.0711,0.0,45.0,231692.0,-244256.0,336663.2982669777,-46.5121337460769,0.0999796,2.96972e-07,424691.0,-277325.0,507219.4802114761,-33.14470471593587,0.0999835,1.97121e-07,0
1.1675,0.0,51.0,694857.0,-380163.0,792054.3901892091,-28.683496640373786,0.0999889,1.2624e-07,295466.0,-47102.7,299196.9610528991,-9.057779321558193,0.099967,3.34118e-07,0
1.2545,0.0,58.0,271920.0,-286710.0,395149.47867863876,-46.516579248849006,0.0999826,2.53025e-07,235360.0,-132310.0,270000.4920365887,-29.342957243723088,0.0999677,3.7025e-07,0
1.3337,0.0,66.0,303180.0,174493.0,349808.40391419985,29.922259559711154,0.0999752,2.858e-07,286836.0,180417.0,338858.65015519375,32.1694857961455,0.099975,2.95035e-07,0
1.4051,0.0,76.0,154364.0,-158651.0,221355.7866806287,-45.78466415542919,0.0999685,4.51619e-07,170333.0,-57233.6,179691.446257077,-18.572865964347038,0.0999473,5.56217e-07,0
1.4698,0.0,87.0,-113630.0,-57018.8,127133.47495227211,-153.35279797760379,0.10007,7.87129e-07,-82585.0,1282.83,82594.96278713914,179.11007042355666,0.100121,1.2122e-06,0
1.5310,0.0,99.0,407630.0,-137601.0,430228.13959688874,-18.652803729036247,0.099978,2.32384e-07,230844.0,-188646.0,298121.22643649514,-39.25573606362712,0.099974,3.35347e-07,0
1.5957,0.0,113.0,184649.0,-208785.0,278722.8541508572,-48.51052533557465,0.0999762,3.58694e-07,169117.0,-116884.0,205578.2798473613,-34.65001109184104,0.09996,4.86237e-07,0
1.6535,0.0,130.0,374957.0,-1025230.0,1091645.2284277158,-69.91103591913065,0.0999968,9.16022e-08,-46791.6,-34548.4,58163.955961746615,-143.55983490559507,0.100138,1.72166e-06,0
1.7062,0.0,148.0,159415.0,-180947.0,241153.393162941,-48.619825018557705,0.0999726,4.14561e-07,83645.9,-48273.6,96576.27578121865,-29.990041334264333,0.0999104,1.03452e-06,0
1.7646,0.0,169.0,241511.0,-138063.0,278188.7041020897,-29.755023142008937,0.0999688,3.59356e-07,91715.2,-35883.5,98485.04192662965,-21.36788279551533,0.0999055,1.01442e-06,0
1.8174,0.0,193.0,-25594.4,-52048.9,58001.39052272799,-116.18507938612123,0.100076,1.72541e-06,47408.2,-20830.1,51782.53077293538,-23.719609734418025,0.0998235,1.92774e-06,0
1.8737,0.0,221.0,75279.7,-110289.0,133531.6320318523,-55.683820514367795,0.0999578,7.48569e-07,91314.1,-91516.9,129281.11944294108,-45.063553660592504,0.0999454,7.73086e-07,0
1.9316,0.0,253.0,107096.0,-146065.0,181120.2292428982,-53.75083907892499,0.0999674,5.51937e-07,115442.0,-96110.1,150213.20410007238,-39.77874000473899,0.0999488,6.65379e-07,0
1.9841,0.0,289.0,96282.5,-137674.0,168001.3395251657,-55.0329296679496,0.0999659,5.9503e-07,108256.0,-95749.7,144524.6227675063,-41.49194809897116,0.0999482,6.91564e-07,0
2.0384,0.0,330.0,89931.6,-131214.0,159074.84551166472,-55.57399610220844,0.0999645,6.28413e-07,102918.0,-95306.7,140269.31877246,-42.80107506195207,0.0999477,7.12541e-07,0
2.0935,0.0,377.0,73263.4,-122240.0,142513.6603261596,-59.064029833317534,0.0999639,7.01433e-07,92146.2,-95653.8,132817.81367301603,-46.070006986668126,0.0999478,7.52518e-07,0
2.1478,0.0,431.0,63023.9,-113581.0,129894.78639348848,-60.97495315901946,0.0999626,7.69564e-07,82229.6,-92394.8,123687.1302246115,-48.33153055019378,0.0999463,8.08057e-07,0
2.2019,0.0,492.0,67504.7,-115655.0,133914.01549908807,-59.72904481187258,0.0999623,7.46469e-07,69337.8,-86351.7,110744.51048124237,-51.23659061278905,0.0999435,9.02469e-07,0
2.2523,0.0,563.0,50924.6,-102965.0,114869.9530345512,-63.68384539178782,0.0999614,8.70215e-07,60925.8,-84989.4,104571.27338805815,-54.364641975168816,0.0999443,9.55753e-07,0
