Tiempo (min),Vdc (V),Freq (Hz),R_ch1 (Ohm),X_ch1 (Ohm),|Z|_ch1 (Ohm),Theta_ch1 (Deg),Vm_ch1 (V),Im_ch1 (A),R_ch2 (Ohm),X_ch2 (Ohm),|Z|_ch2 (Ohm),Theta_ch2 (Deg),Vm_ch2 (V),Im_ch2 (A),Status
0.3360,0.0,20.0,391141.0,-20571.1,391681.5696917714,-3.010557103243314,0.299924,7.65733e-07,nan,nan,nan,nan,nan,nan,0
0.5856,0.0,25.0,515380.0,-5935.89,515414.18217787927,-0.6598750579690328,0.299942,5.81943e-07,nan,nan,nan,nan,nan,nan,0
0.7981,0.0,30.0,533015.0,-21529.8,533449.6438400161,-2.3130614586039937,0.299944,5.62272e-07,nan,nan,nan,nan,nan,nan,0
0.9639,0.0,40.0,365630.0,-257059.0,446950.36232337926,-35.109432151553044,0.299945,6.71093e-07,nan,nan,nan,nan,nan,nan,0
1.1083,0.0,50.0,458758.0,183600.0,494133.44610944926,21.811830854706646,0.299944,6.07009e-07,nan,nan,nan,nan,nan,nan,0
1.2331,0.0,60.0,401952.0,-84606.1,410759.7868112335,-11.886559604273744,0.299929,7.3018e-07,nan,nan,nan,nan,nan,nan,0
1.3380,0.0,75.0,547371.0,-29069.6,548142.3658915263,-3.039989640072929,0.299945,5.47204e-07,nan,nan,nan,nan,nan,nan,0
1.4475,0.0,100.0,490700.0,13952.4,490898.31886630045,1.628690245858901,0.299939,6.11e-07,nan,nan,nan,nan,nan,nan,0
1.5420,0.0,120.0,483983.0,21383.0,484455.1341228618,2.5297570839743577,0.299938,6.19124e-07,nan,nan,nan,nan,nan,nan,0
1.6416,0.0,150.0,488219.0,34872.4,489462.84459881124,4.085571743587161,0.299939,6.12792e-07,nan,nan,nan,nan,nan,nan,0
1.7363,0.0,200.0,475769.0,51260.7,478522.5185145313,6.14948735250636,0.299938,6.268e-07,nan,nan,nan,nan,nan,nan,0
1.8282,0.0,250.0,474385.0,56451.6,477732.04975965346,6.786258711072118,0.299938,6.27837e-07,nan,nan,nan,nan,nan,nan,0
1.9181,0.0,300.0,464756.0,84760.2,472421.8782402441,10.335764581814205,0.299938,6.34893e-07,nan,nan,nan,nan,nan,nan,0
2.0056,0.0,400.0,451565.0,114055.0,465746.1671876646,14.175132833067316,0.299938,6.43994e-07,nan,nan,nan,nan,nan,nan,0
2.0882,0.0,500.0,435646.0,139797.0,457526.6533492885,17.7912209058288,0.299938,6.55563e-07,nan,nan,nan,nan,nan,nan,0
2.1697,0.0,600.0,417699.0,163447.0,448539.1581679352,21.37057054948191,0.299938,6.68699e-07,nan,nan,nan,nan,nan,nan,0
2.2501,0.0,750.0,402916.0,186079.0,443809.3028508979,24.78894519007395,0.299939,6.75827e-07,nan,nan,nan,nan,nan,nan,0
2.3278,0.0,1000.0,340187.0,228903.0,410028.9969965539,33.93558608908648,0.299939,7.31508e-07,nan,nan,nan,nan,nan,nan,0
2.4052,0.0,1200.0,300041.0,245297.0,387550.280466935,39.26754175512622,0.29994,7.73938e-07,nan,nan,nan,nan,nan,nan,0
2.4819,0.0,1500.0,247956.0,256382.0,356670.58732113027,45.957154383562205,0.299942,8.40948e-07,nan,nan,nan,nan,nan,nan,0
2.5584,0.0,2000.0,177699.0,251455.0,307906.7255290147,54.75179681336541,0.299944,9.74139e-07,nan,nan,nan,nan,nan,nan,0
2.6346,0.0,2500.0,127684.0,235118.0,267551.2619667491,61.49523073113769,0.299946,1.12108e-06,nan,nan,nan,nan,nan,nan,0
2.7109,0.0,3000.0,94958.7,215803.0,235771.26524385877,66.24930880895762,0.299949,1.2722e-06,nan,nan,nan,nan,nan,nan,0
