Tiempo (min),I pulso (mA),I bias (mA),Vinst 1 (V),Rinst 1 (Ohm),Rrem 1 (Ohm),Vbias 1 (V),Vinst 2 (V),Rinst 2 (Ohm),Rrem 2 (Ohm),Vbias 2 (V),Tiempo de Pulso (s),Vcc (V),Vrange,NPLC,Ch2?
0.0981,0.02,0.001,4.5040944,225204.71999999997,297205.9,0.2972059,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.1094,0.02,0.001,4.5040944,225204.71999999997,281758.60000000003,0.2817586,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.1206,0.02,0.001,4.5040944,225204.71999999997,277095.3,0.2770953,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.1320,0.02,0.001,4.5040944,225204.71999999997,274021.2,0.2740212,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.1433,0.02,0.001,4.5040944,225204.71999999997,272778.39999999997,0.2727784,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.1546,0.02,0.001,4.5040944,225204.71999999997,271695.00000000006,0.271695,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.1661,0.02,0.001,4.5040944,225204.71999999997,270386.2,0.2703862,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.1773,0.02,0.001,4.5040944,225204.71999999997,269385.4,0.2693854,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.1886,0.02,0.001,4.5040944,225204.71999999997,268626.5,0.2686265,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.1999,0.02,0.001,4.5040944,225204.71999999997,267829.1,0.2678291,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.2112,0.02,0.001,4.5040944,225204.71999999997,266542.30000000005,0.2665423,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.2225,0.02,0.001,4.5040944,225204.71999999997,266030.80000000005,0.2660308,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.2338,0.02,0.001,4.5040944,225204.71999999997,265491.9,0.2654919,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.2452,0.02,0.001,4.5040944,225204.71999999997,264870.5,0.2648705,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.2565,0.02,0.001,4.5040944,225204.71999999997,264650.5,0.2646505,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.2678,0.02,0.001,4.5040944,225204.71999999997,264353.60000000003,0.2643536,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.2791,0.02,0.001,4.5040944,225204.71999999997,264232.6,0.2642326,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.2905,0.02,0.001,4.5040944,225204.71999999997,263688.2,0.2636882,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.3018,0.02,0.001,4.5040944,225204.71999999997,263517.7,0.2635177,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.3131,0.02,0.001,4.5040944,225204.71999999997,263308.7,0.2633087,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
