Tiempo (min),I pulso (mA),I bias (mA),Vinst 1 (V),Rinst 1 (Ohm),Rrem 1 (Ohm),Vbias 1 (V),Vinst 2 (V),Rinst 2 (Ohm),Rrem 2 (Ohm),Vbias 2 (V),Tiempo de Pulso (s),Vcc (V),Vrange,NPLC,Ch2?
0.0983,0.03,0.001,7.4026993,246756.64333333334,290903.8,0.2909038,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.1155,0.03,0.001,7.4026993,246756.64333333334,262478.3,0.2624783,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.1327,0.03,0.001,7.4026993,246756.64333333334,256814.1,0.2568141,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.1499,0.03,0.001,7.4026993,246756.64333333334,254411.0,0.254411,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.1671,0.03,0.001,7.4026993,246756.64333333334,252343.2,0.2523432,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.1844,0.03,0.001,7.4026993,246756.64333333334,251006.9,0.2510069,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.2016,0.03,0.001,7.4026993,246756.64333333334,250715.5,0.2507155,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.2188,0.03,0.001,7.4026993,246756.64333333334,249874.1,0.2498741,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.2359,0.03,0.001,7.4026993,246756.64333333334,249214.2,0.2492142,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.2530,0.03,0.001,7.4026993,246756.64333333334,248059.30000000002,0.2480593,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.2702,0.03,0.001,7.4026993,246756.64333333334,246816.5,0.2468165,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.2874,0.03,0.001,7.4026993,246756.64333333334,247031.0,0.247031,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.3046,0.03,0.001,7.4026993,246756.64333333334,246503.1,0.2465031,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.3219,0.03,0.001,7.4026993,246756.64333333334,245881.7,0.2458817,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.3391,0.03,0.001,7.4026993,246756.64333333334,245612.2,0.2456122,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.3564,0.03,0.001,7.4026993,246756.64333333334,245491.2,0.2454912,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.3735,0.03,0.001,7.4026993,246756.64333333334,244919.30000000002,0.2449193,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.3907,0.03,0.001,7.4026993,246756.64333333334,244737.80000000002,0.2447378,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
