Tiempo (min),I pulso (mA),I bias (mA),Vinst 1 (V),Rinst 1 (Ohm),Rrem 1 (Ohm),Vbias 1 (V),Vinst 2 (V),Rinst 2 (Ohm),Rrem 2 (Ohm),Vbias 2 (V),Tiempo de Pulso (s),Vcc (V),Vrange,NPLC,Ch2?
0.0086,-0.03,nan,-7.4019452,246731.50666666665,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0157,-0.03,nan,-7.5461023,251536.74333333335,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0229,-0.03,nan,-7.642914,254763.8,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0300,-0.03,nan,-7.7221862,257406.20666666667,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0372,-0.03,nan,-7.7960141,259867.13666666666,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0443,-0.03,nan,-7.8718117,262393.7233333333,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0514,-0.03,nan,-7.9476053,264920.1766666667,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0586,-0.03,nan,-8.0284514,267615.04666666663,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0657,-0.03,nan,-8.1103146,270343.82,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0728,-0.03,nan,-8.1908669,273028.89666666667,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0799,-0.03,nan,-8.2672127,275573.75666666665,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0871,-0.03,nan,-8.3450032,278166.7733333334,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0942,-0.03,nan,-8.4182072,280606.9066666666,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1013,-0.03,nan,-8.4886619,282955.39666666667,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1084,-0.03,nan,-8.5579698,285265.66000000003,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1155,-0.03,nan,-8.6267426,287558.08666666667,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1227,-0.03,nan,-8.6963639,289878.79666666663,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1298,-0.03,nan,-8.7636421,292121.4033333333,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1370,-0.03,nan,-8.8272831,294242.77,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1441,-0.03,nan,-8.8905737,296352.4566666666,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1512,-0.03,nan,-8.9560029,298533.43,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1584,-0.03,nan,-9.0222801,300742.67,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1655,-0.03,nan,-9.088548,302951.6,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1726,-0.03,nan,-9.1536617,305122.0566666667,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1797,-0.03,nan,-9.2223212,307410.70666666667,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1868,-0.03,nan,-9.2920184,309733.94666666666,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1939,-0.03,nan,-9.365856,312195.2,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.2011,-0.03,nan,-9.4379636,314598.7866666666,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.2082,-0.03,nan,-9.5130248,317100.82666666666,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.2153,-0.03,nan,-9.5863444,319544.8133333333,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.2225,-0.03,nan,-9.6625103,322083.67666666664,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.2297,-0.03,nan,-9.7384106,324613.68666666665,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.2368,-0.03,nan,-9.8159865,327199.55,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.2439,-0.03,nan,-9.8902674,329675.58,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.2510,-0.03,nan,-9.9678112,332260.3733333333,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.2582,-0.03,nan,-10.049196,334973.2,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.2653,-0.03,nan,-10.132138,337737.9333333333,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.2724,-0.03,nan,-10.213198,340439.93333333335,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.2796,-0.03,nan,-10.295684,343189.4666666666,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.2867,-0.03,nan,-10.375551,345851.7,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.2938,-0.03,nan,-10.461609,348720.3,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
