Tiempo (min),I pulso (mA),I bias (mA),Vinst 1 (V),Rinst 1 (Ohm),Rrem 1 (Ohm),Vbias 1 (V),Vinst 2 (V),Rinst 2 (Ohm),Rrem 2 (Ohm),Vbias 2 (V),Tiempo de Pulso (s),Vcc (V),Vrange,NPLC,Ch2?
0.0085,0.01,nan,3.2637811,326378.11,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0157,0.01,nan,3.2466903,324669.02999999997,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0229,0.01,nan,3.2380378,323803.77999999997,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0300,0.01,nan,3.2328201,323282.01,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0371,0.01,nan,3.2289663,322896.63,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0443,0.01,nan,3.2257437,322574.37,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0515,0.01,nan,3.2241104,322411.04,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0586,0.01,nan,3.2218832,322188.32,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0658,0.01,nan,3.2205491,322054.91,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0729,0.01,nan,3.2191622,321916.22,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0801,0.01,nan,3.2187212,321872.12,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0872,0.01,nan,3.2174531,321745.31,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0943,0.01,nan,3.2170208,321702.07999999996,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1015,0.01,nan,3.2166282,321662.82,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1086,0.01,nan,3.2154755,321547.55,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1158,0.01,nan,3.2144978,321449.77999999997,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1229,0.01,nan,3.2133396,321333.95999999996,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1300,0.01,nan,3.213608,321360.79999999993,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1372,0.01,nan,3.2129778,321297.77999999997,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1443,0.01,nan,3.2126566,321265.66,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1515,0.01,nan,3.212165,321216.5,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1586,0.01,nan,3.211537,321153.69999999995,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1658,0.01,nan,3.2115997,321159.97,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1729,0.01,nan,3.2106813,321068.13,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1800,0.01,nan,3.2107836,321078.36,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1872,0.01,nan,3.2097981,320979.81,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1943,0.01,nan,3.2095342,320953.4199999999,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.2014,0.01,nan,3.2087236,320872.36,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.2086,0.01,nan,3.2082606,320826.06,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.2157,0.01,nan,3.2077942,320779.42,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.2228,0.01,nan,3.208001,320800.1,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
