Tiempo (min),I pulso (mA),I bias (mA),Vinst 1 (V),Rinst 1 (Ohm),Rrem 1 (Ohm),Vbias 1 (V),Vinst 2 (V),Rinst 2 (Ohm),Rrem 2 (Ohm),Vbias 2 (V),Tiempo de Pulso (s),Vcc (V),Vrange,NPLC,Ch2?
0.0086,-0.01,nan,-2.0788074,207880.74,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0157,-0.01,nan,-2.1000564,210005.63999999998,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0228,-0.01,nan,-2.1087187,210871.86999999997,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0299,-0.01,nan,-2.1140794,211407.94,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0370,-0.01,nan,-2.1182313,211823.13,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0442,-0.01,nan,-2.1215517,212155.16999999998,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0513,-0.01,nan,-2.1242508,212425.08,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0584,-0.01,nan,-2.1267188,212671.87999999998,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0655,-0.01,nan,-2.1296895,212968.94999999998,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0726,-0.01,nan,-2.1320652,213206.52,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0797,-0.01,nan,-2.1347796,213477.95999999996,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0869,-0.01,nan,-2.1368759,213687.59,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0940,-0.01,nan,-2.139234,213923.4,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1012,-0.01,nan,-2.1412335,214123.34999999995,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
