Tiempo (min),I pulso (mA),I bias (mA),Vinst 1 (V),Rinst 1 (Ohm),Rrem 1 (Ohm),Vbias 1 (V),Vinst 2 (V),Rinst 2 (Ohm),Rrem 2 (Ohm),Vbias 2 (V),Tiempo de Pulso (s),Vcc (V),Vrange,NPLC,Ch2?
0.0085,0.03,nan,6.4163372,213877.90666666668,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0157,0.03,nan,6.6068386,220227.9533333333,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0228,0.03,nan,6.7647239,225490.79666666666,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0299,0.03,nan,6.87805,229268.3333333333,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0371,0.03,nan,6.9646475,232154.91666666666,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0443,0.03,nan,7.0436552,234788.50666666665,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0514,0.03,nan,7.1006239,236687.46333333335,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0585,0.03,nan,7.1649816,238832.72,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0656,0.03,nan,7.2280489,240934.96333333332,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0728,0.03,nan,7.3067254,243557.51333333334,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0799,0.03,nan,7.3989631,246632.1033333333,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0871,0.03,nan,7.4809976,249366.58666666667,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0942,0.03,nan,7.5462305,251541.01666666666,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1014,0.03,nan,7.5872261,252907.53666666665,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1085,0.03,nan,7.6160344,253867.81333333332,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1157,0.03,nan,7.6387319,254624.39666666667,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1228,0.03,nan,7.6596854,255322.84666666665,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1299,0.03,nan,7.6795431,255984.77,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1370,0.03,nan,7.6930415,256434.71666666665,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1442,0.03,nan,7.7025584,256751.94666666666,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
