Tiempo (min),I pulso (mA),I bias (mA),Vinst 1 (V),Rinst 1 (Ohm),Rrem 1 (Ohm),Vbias 1 (V),Vinst 2 (V),Rinst 2 (Ohm),Rrem 2 (Ohm),Vbias 2 (V),Tiempo de Pulso (s),Vcc (V),Vrange,NPLC,Ch2?
0.0230,0.02,0.001,4.12714,206356.99999999997,472127.4,0.4721274,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0247,0.02,0.001,4.12714,206356.99999999997,264036.4,0.2640364,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0263,0.02,0.001,4.12714,206356.99999999997,202958.2,0.2029582,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0279,0.02,0.001,4.12714,206356.99999999997,102945.5,0.1029455,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0295,0.02,0.001,4.12714,206356.99999999997,277307.9,0.2773079,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0311,0.02,0.001,4.12714,206356.99999999997,329880.50000000006,0.3298805,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0327,0.02,0.001,4.12714,206356.99999999997,391911.8,0.3919118,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0343,0.02,0.001,4.12714,206356.99999999997,194379.40000000002,0.1943794,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0359,0.02,0.001,4.12714,206356.99999999997,92753.6,0.0927536,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0376,0.02,0.001,4.12714,206356.99999999997,93926.8,0.0939268,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0392,0.02,0.001,4.12714,206356.99999999997,109911.20000000001,0.1099112,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0409,0.02,0.001,4.12714,206356.99999999997,122156.20000000001,0.1221562,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0425,0.02,0.001,4.12714,206356.99999999997,164096.9,0.1640969,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0441,0.02,0.001,4.12714,206356.99999999997,290579.4,0.2905794,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0458,0.02,0.001,4.12714,206356.99999999997,311916.4,0.3119164,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0474,0.02,0.001,4.12714,206356.99999999997,388245.70000000007,0.3882457,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0490,0.02,0.001,4.12714,206356.99999999997,273788.4,0.2737884,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0506,0.02,0.001,4.12714,206356.99999999997,186607.1,0.1866071,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0523,0.02,0.001,4.12714,206356.99999999997,113430.7,0.1134307,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0539,0.02,0.001,4.12714,206356.99999999997,148552.5,0.1485525,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0555,0.02,0.001,4.12714,206356.99999999997,238593.30000000002,0.2385933,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0571,0.02,0.001,4.12714,206356.99999999997,295418.7,0.2954187,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0587,0.02,0.001,4.12714,206356.99999999997,358256.5,0.3582565,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0603,0.02,0.001,4.12714,206356.99999999997,194599.30000000002,0.1945993,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0619,0.02,0.001,4.12714,206356.99999999997,152585.2,0.1525852,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0635,0.02,0.001,4.12714,206356.99999999997,211830.40000000002,0.2118304,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0652,0.02,0.001,4.12714,206356.99999999997,254431.10000000003,0.2544311,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0667,0.02,0.001,4.12714,206356.99999999997,384139.60000000003,0.3841396,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0684,0.02,0.001,4.12714,206356.99999999997,384579.50000000006,0.3845795,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0700,0.02,0.001,4.12714,206356.99999999997,320568.5,0.3205685,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0717,0.02,0.001,4.12714,206356.99999999997,192619.6,0.1926196,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0733,0.02,0.001,4.12714,206356.99999999997,109398.0,0.109398,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0749,0.02,0.001,4.12714,206356.99999999997,199218.7,0.1992187,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0765,0.02,0.001,4.12714,206356.99999999997,291459.3,0.2914593,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
