Tiempo (min),I pulso (mA),I bias (mA),Vinst 1 (V),Rinst 1 (Ohm),Rrem 1 (Ohm),Vbias 1 (V),Vinst 2 (V),Rinst 2 (Ohm),Rrem 2 (Ohm),Vbias 2 (V),Tiempo de Pulso (s),Vcc (V),Vrange,NPLC,Ch2?
0.0984,0.02,0.001,4.5137293,225686.46499999997,297030.00000000006,0.29703,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.1156,0.02,0.001,4.5137293,225686.46499999997,275868.89999999997,0.2758689,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.1328,0.02,0.001,4.5137293,225686.46499999997,271618.00000000006,0.271618,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.1499,0.02,0.001,4.5137293,225686.46499999997,269121.4,0.2691214,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.1671,0.02,0.001,4.5137293,225686.46499999997,267944.6,0.2679446,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.1843,0.02,0.001,4.5137293,225686.46499999997,266905.2,0.2669052,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.2015,0.02,0.001,4.5137293,225686.46499999997,266261.8,0.2662618,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.2187,0.02,0.001,4.5137293,225686.46499999997,265590.9,0.2655909,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.2358,0.02,0.001,4.5137293,225686.46499999997,265354.4,0.2653544,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.2530,0.02,0.001,4.5137293,225686.46499999997,264892.5,0.2648925,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.2702,0.02,0.001,4.5137293,225686.46499999997,264546.0,0.264546,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.2873,0.02,0.001,4.5137293,225686.46499999997,264150.10000000003,0.2641501,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.3045,0.02,0.001,4.5137293,225686.46499999997,264254.60000000003,0.2642546,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.3217,0.02,0.001,4.5137293,225686.46499999997,263737.60000000003,0.2637376,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.3389,0.02,0.001,4.5137293,225686.46499999997,263303.2,0.2633032,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.3561,0.02,0.001,4.5137293,225686.46499999997,263490.2,0.2634902,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.3733,0.02,0.001,4.5137293,225686.46499999997,263484.7,0.2634847,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.3905,0.02,0.001,4.5137293,225686.46499999997,263121.7,0.2631217,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.4077,0.02,0.001,4.5137293,225686.46499999997,262813.8,0.2628138,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.4249,0.02,0.001,4.5137293,225686.46499999997,263094.2,0.2630942,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.4421,0.02,0.001,4.5137293,225686.46499999997,262868.80000000005,0.2628688,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.4593,0.02,0.001,4.5137293,225686.46499999997,262714.80000000005,0.2627148,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.4765,0.02,0.001,4.5137293,225686.46499999997,262742.3,0.2627423,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.4937,0.02,0.001,4.5137293,225686.46499999997,262269.4,0.2622694,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.5109,0.02,0.001,4.5137293,225686.46499999997,262219.9,0.2622199,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.5281,0.02,0.001,4.5137293,225686.46499999997,262291.4,0.2622914,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.5452,0.02,0.001,4.5137293,225686.46499999997,262170.4,0.2621704,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.5624,0.02,0.001,4.5137293,225686.46499999997,261889.90000000002,0.2618899,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.5797,0.02,0.001,4.5137293,225686.46499999997,261928.40000000002,0.2619284,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.5969,0.02,0.001,4.5137293,225686.46499999997,261906.4,0.2619064,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.6141,0.02,0.001,4.5137293,225686.46499999997,261862.4,0.2618624,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.6312,0.02,0.001,4.5137293,225686.46499999997,261823.90000000002,0.2618239,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.6484,0.02,0.001,4.5137293,225686.46499999997,261818.40000000002,0.2618184,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.6656,0.02,0.001,4.5137293,225686.46499999997,261856.90000000002,0.2618569,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.6829,0.02,0.001,4.5137293,225686.46499999997,261735.90000000002,0.2617359,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.7000,0.02,0.001,4.5137293,225686.46499999997,261642.40000000002,0.2616424,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.7173,0.02,0.001,4.5137293,225686.46499999997,261581.9,0.2615819,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.7344,0.02,0.001,4.5137293,225686.46499999997,261543.5,0.2615435,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.7516,0.02,0.001,4.5137293,225686.46499999997,261884.40000000002,0.2618844,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.7688,0.02,0.001,4.5137293,225686.46499999997,261653.4,0.2616534,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.7860,0.02,0.001,4.5137293,225686.46499999997,261724.9,0.2617249,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.8031,0.02,0.001,4.5137293,225686.46499999997,261483.00000000003,0.261483,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.8203,0.02,0.001,4.5137293,225686.46499999997,261290.5,0.2612905,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.8375,0.02,0.001,4.5137293,225686.46499999997,261439.0,0.261439,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.8547,0.02,0.001,4.5137293,225686.46499999997,261713.90000000002,0.2617139,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.8719,0.02,0.001,4.5137293,225686.46499999997,261592.90000000002,0.2615929,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.8890,0.02,0.001,4.5137293,225686.46499999997,261422.5,0.2614225,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.9062,0.02,0.001,4.5137293,225686.46499999997,261389.5,0.2613895,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.9234,0.02,0.001,4.5137293,225686.46499999997,261384.00000000003,0.261384,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.9406,0.02,0.001,4.5137293,225686.46499999997,261505.0,0.261505,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.9578,0.02,0.001,4.5137293,225686.46499999997,261527.00000000003,0.261527,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.9750,0.02,0.001,4.5137293,225686.46499999997,261219.0,0.261219,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
0.9922,0.02,0.001,4.5137293,225686.46499999997,261334.50000000003,0.2613345,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
1.0093,0.02,0.001,4.5137293,225686.46499999997,261472.0,0.261472,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
1.0265,0.02,0.001,4.5137293,225686.46499999997,261521.50000000003,0.2615215,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
1.0437,0.02,0.001,4.5137293,225686.46499999997,261697.40000000002,0.2616974,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
1.0609,0.02,0.001,4.5137293,225686.46499999997,261713.90000000002,0.2617139,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
1.0781,0.02,0.001,4.5137293,225686.46499999997,261801.9,0.2618019,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
1.0953,0.02,0.001,4.5137293,225686.46499999997,261576.5,0.2615765,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
1.1124,0.02,0.001,4.5137293,225686.46499999997,262016.4,0.2620164,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
1.1296,0.02,0.001,4.5137293,225686.46499999997,261741.40000000002,0.2617414,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
1.1469,0.02,0.001,4.5137293,225686.46499999997,261389.5,0.2613895,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
1.1641,0.02,0.001,4.5137293,225686.46499999997,261488.50000000003,0.2614885,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
1.1813,0.02,0.001,4.5137293,225686.46499999997,261191.50000000003,0.2611915,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
1.1986,0.02,0.001,4.5137293,225686.46499999997,261290.5,0.2612905,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
1.2158,0.02,0.001,4.5137293,225686.46499999997,261087.00000000003,0.261087,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
1.2331,0.02,0.001,4.5137293,225686.46499999997,261263.00000000003,0.261263,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
1.2503,0.02,0.001,4.5137293,225686.46499999997,261323.5,0.2613235,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
1.2675,0.02,0.001,4.5137293,225686.46499999997,260850.6,0.2608506,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
1.2846,0.02,0.001,4.5137293,225686.46499999997,260993.5,0.2609935,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
1.3018,0.02,0.001,4.5137293,225686.46499999997,260922.0,0.260922,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
1.3190,0.02,0.001,4.5137293,225686.46499999997,261114.50000000003,0.2611145,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
1.3363,0.02,0.001,4.5137293,225686.46499999997,261323.5,0.2613235,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
1.3534,0.02,0.001,4.5137293,225686.46499999997,261246.5,0.2612465,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
1.3706,0.02,0.001,4.5137293,225686.46499999997,261488.50000000003,0.2614885,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
1.3878,0.02,0.001,4.5137293,225686.46499999997,261136.5,0.2611365,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
1.4050,0.02,0.001,4.5137293,225686.46499999997,260993.5,0.2609935,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
1.4221,0.02,0.001,4.5137293,225686.46499999997,261136.5,0.2611365,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
1.4393,0.02,0.001,4.5137293,225686.46499999997,260828.60000000003,0.2608286,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
1.4565,0.02,0.001,4.5137293,225686.46499999997,261186.0,0.261186,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
1.4737,0.02,0.001,4.5137293,225686.46499999997,261131.0,0.261131,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
1.4909,0.02,0.001,4.5137293,225686.46499999997,261015.50000000003,0.2610155,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
1.5081,0.02,0.001,4.5137293,225686.46499999997,260988.0,0.260988,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
1.5252,0.02,0.001,4.5137293,225686.46499999997,260977.00000000003,0.260977,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
1.5424,0.02,0.001,4.5137293,225686.46499999997,261312.50000000003,0.2613125,nan,nan,nan,nan,5.0,20.0,10 V,2.0,False
