Tiempo (min),I pulso (mA),I bias (mA),Vinst 1 (V),Rinst 1 (Ohm),Rrem 1 (Ohm),Vbias 1 (V),Vinst 2 (V),Rinst 2 (Ohm),Rrem 2 (Ohm),Vbias 2 (V),Ancho pulso (s),Periodo (s),Vcc (V),Vrange,NPLC,Ch2?,N bias
0.0214,1e-05,0.001,0.0021557,215570.0,211192.50000000003,0.2111925,nan,nan,nan,nan,0.3,0.3,25.0,10 V,1.0,False,1
0.0468,0.00101,0.001,0.2137332,211617.0297029703,211599.5,0.2115995,nan,nan,nan,nan,0.3,0.3,25.0,10 V,1.0,False,1
0.0723,0.00201,0.001,0.4204603,209184.22885572136,211610.50000000003,0.2116105,nan,nan,nan,nan,0.3,0.3,25.0,10 V,1.0,False,1
0.0977,0.00301,0.001,0.622051,206661.46179401994,211687.5,0.2116875,nan,nan,nan,nan,0.3,0.3,25.0,10 V,1.0,False,1
0.1232,0.00401,0.001,0.8190556,204253.26683291772,212182.4,0.2121824,nan,nan,nan,nan,0.3,0.3,25.0,10 V,1.0,False,1
0.1487,0.00501,0.001,1.0118478,201965.628742515,212127.4,0.2121274,nan,nan,nan,nan,0.3,0.3,25.0,10 V,1.0,False,1
0.1742,0.00601,0.001,1.2015824,199930.51580698835,212556.30000000002,0.2125563,nan,nan,nan,nan,0.3,0.3,25.0,10 V,1.0,False,1
0.1997,0.00701,0.001,1.3882927,198044.60770328104,212017.4,0.2120174,nan,nan,nan,nan,0.3,0.3,25.0,10 V,1.0,False,1
0.2253,0.00801,0.001,1.5723519,196298.61423220974,211940.40000000002,0.2119404,nan,nan,nan,nan,0.3,0.3,25.0,10 V,1.0,False,1
0.2508,0.00901,0.001,1.7546846,194748.5682574917,212094.4,0.2120944,nan,nan,nan,nan,0.3,0.3,25.0,10 V,1.0,False,1
0.2763,0.01,0.001,1.9330578,193305.78,212072.4,0.2120724,nan,nan,nan,nan,0.3,0.3,25.0,10 V,1.0,False,1
0.3018,0.009000000000000001,0.001,1.7538047,194867.18888888886,212105.40000000002,0.2121054,nan,nan,nan,nan,0.3,0.3,25.0,10 V,1.0,False,1
0.3273,0.008,0.001,1.5727918,196598.975,212160.4,0.2121604,nan,nan,nan,nan,0.3,0.3,25.0,10 V,1.0,False,1
0.3527,0.007,0.001,1.3891725,198453.2142857143,212204.4,0.2122044,nan,nan,nan,nan,0.3,0.3,25.0,10 V,1.0,False,1
0.3655,0.007,0.001,1.3891725,198453.2142857143,212006.40000000002,0.2120064,nan,nan,nan,nan,0.3,0.3,25.0,10 V,1.0,False,1
0.3782,0.007,0.001,1.3891725,198453.2142857143,211830.40000000002,0.2118304,nan,nan,nan,nan,0.3,0.3,25.0,10 V,1.0,False,1
0.3910,0.007,0.001,1.3891725,198453.2142857143,211720.50000000003,0.2117205,nan,nan,nan,nan,0.3,0.3,25.0,10 V,1.0,False,1
0.4037,0.007,0.001,1.3891725,198453.2142857143,211940.40000000002,0.2119404,nan,nan,nan,nan,0.3,0.3,25.0,10 V,1.0,False,1
