Tiempo (min),I pulso (mA),I bias (mA),Vinst 1 (V),Rinst 1 (Ohm),Rrem 1 (Ohm),Vbias 1 (V),Vinst 2 (V),Rinst 2 (Ohm),Rrem 2 (Ohm),Vbias 2 (V),Ancho pulso (s),Periodo (s),Vcc (V),Vrange,NPLC,Ch2?,N bias
0.0203,1e-05,0.001,0.2191829,21918290.0,1206603.2,1.2066032,nan,nan,nan,nan,0.35,0.7,10.0,10 V,2.0,True,1
0.0439,0.00011,0.001,0.6193124,5630112.727272727,1187839.8,1.1878398,nan,nan,nan,nan,0.35,0.7,10.0,10 V,2.0,True,1
0.0673,0.00021,0.001,0.6970828,3319441.904761905,1174036.8,1.1740368,nan,nan,nan,nan,0.35,0.7,10.0,10 V,2.0,True,1
0.0907,0.00031,0.001,0.7680613,2477617.0967741935,1175868.0,1.175868,nan,nan,nan,nan,0.35,0.7,10.0,10 V,2.0,True,1
0.1142,0.00041,0.001,0.8334471,2032797.8048780488,1163516.7,1.1635167,nan,nan,nan,nan,0.35,0.7,10.0,10 V,2.0,True,1
0.1378,0.00051,0.001,0.8826709,1730727.2549019605,1152369.8,1.1523698,nan,nan,nan,nan,0.35,0.7,10.0,10 V,2.0,True,1
0.1613,0.0006100000000000001,0.001,0.9534186,1562981.3114754097,1151088.5,1.1510885,nan,nan,nan,nan,0.35,0.7,10.0,10 V,2.0,True,1
0.1848,0.0007100000000000001,0.001,0.9990841,1407160.7042253518,1158254.0,1.158254,nan,nan,nan,nan,0.35,0.7,10.0,10 V,2.0,True,1
0.2083,0.0008100000000000002,0.001,1.0497982,1296047.1604938267,1148520.3,1.1485203,nan,nan,nan,nan,0.35,0.7,10.0,10 V,2.0,True,1
0.2318,0.0009100000000000002,0.001,1.108101,1217693.406593406,1155416.4000000001,1.1554164,nan,nan,nan,nan,0.35,0.7,10.0,10 V,2.0,True,1
0.2551,0.0010100000000000003,0.001,1.1555374,1144096.435643564,1137708.9000000001,1.1377089,nan,nan,nan,nan,0.35,0.7,10.0,10 V,2.0,True,1
