Tiempo (min),I pulso (mA),I bias (mA),Vinst 1 (V),Rinst 1 (Ohm),Rrem 1 (Ohm),Vbias 1 (V),Vinst 2 (V),Rinst 2 (Ohm),Rrem 2 (Ohm),Vbias 2 (V),Ancho pulso (s),Periodo (s),Vcc (V),Vrange,NPLC,Ch2?,N bias
0.0248,1e-05,0.0001,0.0003959,39590.0,39208.99999999999,0.0039209,0.000169733,16973.3,18950.481999999996,0.0018950482,0.33,1.0,3.0,10 V,2.0,True,1
0.0585,0.00011,0.0001,0.0043169,39244.545454545456,39264.0,0.0039264,0.0020847861,18952.600909090906,18909.881999999998,0.0018909882,0.33,1.0,3.0,10 V,2.0,True,1
0.0921,0.00021,0.0001,0.0082433,39253.80952380953,39264.0,0.0039264,0.004002702,19060.485714285714,18932.150999999998,0.0018932151,0.33,1.0,3.0,10 V,2.0,True,1
0.1256,0.00031,0.0001,0.0121643,39239.67741935484,39208.99999999999,0.0039209,0.0059204923,19098.362258064517,18929.469999999998,0.001892947,0.33,1.0,3.0,10 V,2.0,True,1
0.1588,0.00041,0.0001,0.0160962,39259.0243902439,39208.99999999999,0.0039209,0.0078366572,19113.798048780485,18923.67,0.001892367,0.33,1.0,3.0,10 V,2.0,True,1
0.1924,0.00051,0.0001,0.0200282,39270.98039215685,39208.99999999999,0.0039209,0.0097555031,19128.43745098039,18878.363999999998,0.0018878364,0.33,1.0,3.0,10 V,2.0,True,1
0.2275,0.0006100000000000001,0.0001,0.0239381,39242.7868852459,39319.0,0.0039319,0.011666633,19125.627868852454,18896.311999999998,0.0018896312,0.33,1.0,3.0,10 V,2.0,True,1
0.2610,0.0007100000000000001,0.0001,0.0278481,39222.676056338016,39264.0,0.0039264,0.013583066,19131.078873239432,18924.381999999998,0.0018924382,0.33,1.0,3.0,10 V,2.0,True,1
0.2945,0.0008100000000000002,0.0001,0.03178,39234.567901234564,39319.0,0.0039319,0.015495955,19130.808641975305,18921.7,0.00189217,0.33,1.0,3.0,10 V,2.0,True,1
0.3280,0.0009100000000000002,0.0001,0.0356955,39225.824175824164,39208.99999999999,0.0039209,0.017408954,19130.718681318674,18931.385,0.0018931385,0.33,1.0,3.0,10 V,2.0,True,1
0.3614,0.0010100000000000003,0.0001,0.0396164,39224.15841584158,39264.0,0.0039264,0.019330982,19139.586138613857,18920.222999999998,0.0018920223,0.33,1.0,3.0,10 V,2.0,True,1
0.3949,0.0011100000000000003,0.0001,0.0435484,39232.79279279278,39264.0,0.0039264,0.021240548,19135.628828828823,18903.425,0.0018903425,0.33,1.0,3.0,10 V,2.0,True,1
0.4283,0.0012100000000000004,0.0001,0.0474748,39235.37190082643,39154.0,0.0039154,0.023154879,19136.26363636363,18922.630999999998,0.0018922631,0.33,1.0,3.0,10 V,2.0,True,1
0.4617,0.0013100000000000004,0.0001,0.0514013,39237.633587786244,39319.0,0.0039319,0.025078621,19143.9854961832,18932.916999999998,0.0018932917,0.33,1.0,3.0,10 V,2.0,True,1
0.4953,0.0014100000000000004,0.0001,0.0553222,39235.60283687942,39154.0,0.0039154,0.027002255,19150.5354609929,18920.113999999998,0.0018920114,0.33,1.0,3.0,10 V,2.0,True,1
0.5288,0.0015100000000000005,0.0001,0.0592597,39244.83443708608,39264.0,0.0039264,0.028930764,19159.44635761589,18938.225,0.0018938225,0.33,1.0,3.0,10 V,2.0,True,1
0.5624,0.0016100000000000005,0.0001,0.0631861,39246.02484472048,39264.0,0.0039264,0.030843488,19157.445962732912,18902.878,0.0018902878,0.33,1.0,3.0,10 V,2.0,True,1
0.5957,0.0017100000000000006,0.0001,0.0671071,39243.91812865496,39208.99999999999,0.0039209,0.03275311,19153.865497076018,18946.213999999996,0.0018946214,0.33,1.0,3.0,10 V,2.0,True,1
0.6293,0.0018100000000000006,0.0001,0.071017,39235.911602209926,39264.0,0.0039264,0.034664614,19151.720441988946,18942.657,0.0018942657,0.33,1.0,3.0,10 V,2.0,True,1
0.6629,0.0019100000000000007,0.0001,0.074916,39223.03664921464,39208.99999999999,0.0039209,0.036574844,19149.13298429319,18958.033,0.0018958033,0.33,1.0,3.0,10 V,2.0,True,1
0.6965,0.0020100000000000005,0.0001,0.0788479,39227.81094527362,39373.99999999999,0.0039374,0.03848225,19145.398009950244,18945.501999999997,0.0018945502,0.33,1.0,3.0,10 V,2.0,True,1
0.7298,0.0021100000000000003,0.0001,0.0827964,39239.99999999999,39264.0,0.0039264,0.040398187,19146.060189573454,18907.036,0.0018907036,0.33,1.0,3.0,10 V,2.0,True,1
0.7633,0.00221,0.0001,0.0866953,39228.642533936654,39319.0,0.0039319,0.042285102,19133.53031674208,18941.781999999996,0.0018941782,0.33,1.0,3.0,10 V,2.0,True,1
0.7968,0.00231,0.0001,0.0906218,39230.21645021645,39319.0,0.0039319,0.044214551,19140.498268398267,18925.476,0.0018925476,0.33,1.0,3.0,10 V,2.0,True,1
0.8301,0.00241,0.0001,0.0945427,39229.33609958506,39264.0,0.0039264,0.046128713,19140.54481327801,18926.186999999998,0.0018926187,0.33,1.0,3.0,10 V,2.0,True,1
0.8636,0.0025099999999999996,0.0001,0.0984582,39226.37450199203,39319.0,0.0039319,0.048037117,19138.29362549801,18947.636,0.0018947636,0.33,1.0,3.0,10 V,2.0,True,1
0.8970,0.0026099999999999995,0.0001,0.1023791,39225.70881226054,39319.0,0.0039319,0.049944302,19135.747892720312,18928.320999999996,0.0018928321,0.33,1.0,3.0,10 V,2.0,True,1
0.9303,0.0027099999999999993,0.0001,0.1062836,39219.040590405915,39373.99999999999,0.0039374,0.051852761,19133.860147601477,18933.792999999998,0.0018933793,0.33,1.0,3.0,10 V,2.0,True,1
0.9639,0.002809999999999999,0.0001,0.11021,39220.64056939503,39319.0,0.0039319,0.053766537,19133.998932384347,18935.161,0.0018935161,0.33,1.0,3.0,10 V,2.0,True,1
0.9973,0.002909999999999999,0.0001,0.1141475,39225.945017182145,39319.0,0.0039319,0.055712992,19145.358075601383,18946.98,0.001894698,0.33,1.0,3.0,10 V,2.0,True,1
1.0310,0.003009999999999999,0.0001,0.1180849,39230.863787375434,39429.0,0.0039429,0.057622003,19143.522591362133,18938.335,0.0018938335,0.33,1.0,3.0,10 V,2.0,True,1
1.0645,0.0031099999999999986,0.0001,0.1219784,39221.35048231513,39319.0,0.0039319,0.059535503,19143.24855305467,18939.921,0.0018939921,0.33,1.0,3.0,10 V,2.0,True,1
1.0980,0.0032099999999999984,0.0001,0.1258938,39219.25233644862,39319.0,0.0039319,0.061449556,19143.16386292836,18942.821,0.0018942821,0.33,1.0,3.0,10 V,2.0,True,1
1.1316,0.0033099999999999983,0.0001,0.1298093,39217.31117824775,39319.0,0.0039319,0.063329934,19132.910574018137,18931.331,0.0018931331,0.33,1.0,3.0,10 V,2.0,True,1
1.1653,0.003409999999999998,0.0001,0.1337302,39217.06744868037,39373.99999999999,0.0039374,0.0652796,19143.57771260998,18929.524999999998,0.0018929525,0.33,1.0,3.0,10 V,2.0,True,1
1.1990,0.003509999999999998,0.0001,0.1376622,39220.00000000002,39373.99999999999,0.0039374,0.067184627,19140.91937321938,18931.986999999997,0.0018931987,0.33,1.0,3.0,10 V,2.0,True,1
1.2325,0.0036099999999999978,0.0001,0.1415666,39215.12465373964,39373.99999999999,0.0039374,0.069093471,19139.46565096954,18946.98,0.001894698,0.33,1.0,3.0,10 V,2.0,True,1
1.2659,0.0037099999999999976,0.0001,0.1455096,39220.91644204854,39319.0,0.0039319,0.071018047,19142.330727762816,18955.68,0.001895568,0.33,1.0,3.0,10 V,2.0,True,1
1.2994,0.0038099999999999974,0.0001,0.14937,39204.72440944885,39264.0,0.0039264,0.072913268,19137.340682414713,18934.996999999996,0.0018934997,0.33,1.0,3.0,10 V,2.0,True,1
1.3329,0.003909999999999998,0.0001,0.153324,39213.29923273659,39319.0,0.0039319,0.074822615,19136.218670076734,18946.761,0.0018946761,0.33,1.0,3.0,10 V,2.0,True,1
1.3665,0.004009999999999998,0.0001,0.1572779,39221.42144638406,39429.0,0.0039429,0.076771227,19144.94438902744,18956.282,0.0018956282,0.33,1.0,3.0,10 V,2.0,True,1
1.4000,0.004109999999999998,0.0001,0.1612208,39226.47201946474,39429.0,0.0039429,0.07870101,19148.664233576652,18941.727,0.0018941727,0.33,1.0,3.0,10 V,2.0,True,1
1.4334,0.0042099999999999985,0.0001,0.1651253,39222.161520190035,39429.0,0.0039429,0.080581387,19140.471971496445,18962.847999999998,0.0018962848,0.33,1.0,3.0,10 V,2.0,True,1
1.4669,0.004309999999999999,0.0001,0.1690023,39211.670533642704,39429.0,0.0039429,0.08245296,19130.617169373556,18945.119,0.0018945119,0.33,1.0,3.0,10 V,2.0,True,1
1.5005,0.004409999999999999,0.0001,0.1729342,39214.10430839003,39429.0,0.0039429,0.084368009,19131.067800453515,18946.652,0.0018946652,0.33,1.0,3.0,10 V,2.0,True,1
1.5339,0.004509999999999999,0.0001,0.1768717,39217.67184035477,39319.0,0.0039319,0.086336007,19143.23880266076,18955.242,0.0018955242,0.33,1.0,3.0,10 V,2.0,True,1
1.5674,0.0046099999999999995,0.0001,0.1807541,39209.132321041216,39373.99999999999,0.0039374,0.088215222,19135.62299349241,18967.826999999997,0.0018967827,0.33,1.0,3.0,10 V,2.0,True,1
1.6009,0.00471,0.0001,0.184708,39216.13588110404,39429.0,0.0039429,0.090135918,19137.137579617833,18980.084,0.0018980084,0.33,1.0,3.0,10 V,2.0,True,1
1.6343,0.00481,0.0001,0.1886235,39214.86486486486,39373.99999999999,0.0039374,0.092042216,19135.59584199584,18960.057,0.0018960057,0.33,1.0,3.0,10 V,2.0,True,1
1.6679,0.00491,0.0001,0.192528,39211.40529531568,39429.0,0.0039429,0.093976484,19139.813441955193,18986.594999999998,0.0018986595,0.33,1.0,3.0,10 V,2.0,True,1
1.7013,0.005,0.0001,0.1960695,39213.9,39429.0,0.0039429,0.095714746,19142.9492,18967.444,0.0018967444,0.33,1.0,3.0,10 V,2.0,True,1
1.7348,0.0049,0.0001,0.1921485,39213.97959183674,39429.0,0.0039429,0.093764526,19135.61755102041,18964.654,0.0018964654,0.33,1.0,3.0,10 V,2.0,True,1
1.7683,0.0048,0.0001,0.1882276,39214.083333333336,39373.99999999999,0.0039374,0.091864597,19138.457708333335,18977.128999999997,0.0018977129,0.33,1.0,3.0,10 V,2.0,True,1
1.8019,0.004699999999999999,0.0001,0.1843011,39213.00000000001,39373.99999999999,0.0039374,0.089930219,19134.089148936175,18987.963,0.0018987963,0.33,1.0,3.0,10 V,2.0,True,1
1.8354,0.004599999999999999,0.0001,0.1803747,39211.89130434783,39373.99999999999,0.0039374,0.088023808,19135.61043478261,19007.004999999997,0.0019007005,0.33,1.0,3.0,10 V,2.0,True,1
1.8691,0.004499999999999999,0.0001,0.1764702,39215.600000000006,39373.99999999999,0.0039374,0.086118842,19137.520444444446,19005.253999999997,0.0019005254,0.33,1.0,3.0,10 V,2.0,True,1
1.9025,0.0043999999999999985,0.0001,0.1725713,39220.750000000015,39264.0,0.0039264,0.084219466,19140.787727272735,18976.746,0.0018976746,0.33,1.0,3.0,10 V,2.0,True,1
1.9362,0.004299999999999998,0.0001,0.1686393,39218.44186046513,39373.99999999999,0.0039374,0.082295058,19138.385581395356,18998.852,0.0018998852,0.33,1.0,3.0,10 V,2.0,True,1
1.9697,0.004199999999999998,0.0001,0.1647679,39230.452380952396,39373.99999999999,0.0039374,0.080399891,19142.8311904762,19012.147999999997,0.0019012148,0.33,1.0,3.0,10 V,2.0,True,1
2.0032,0.004099999999999998,0.0001,0.1608414,39229.609756097576,39484.0,0.0039484,0.078501955,19146.818292682936,19010.998999999996,0.0019010999,0.33,1.0,3.0,10 V,2.0,True,1
2.0367,0.0039999999999999975,0.0001,0.1569095,39227.37500000003,39484.0,0.0039484,0.076601639,19150.409750000013,18982.546,0.0018982546,0.33,1.0,3.0,10 V,2.0,True,1
2.0702,0.0038999999999999977,0.0001,0.152972,39223.58974358977,39429.0,0.0039429,0.07465059,19141.176923076935,18999.179999999997,0.001899918,0.33,1.0,3.0,10 V,2.0,True,1
2.1036,0.003799999999999998,0.0001,0.1490456,39222.526315789495,39373.99999999999,0.0039374,0.072750159,19144.778684210534,19008.755999999998,0.0019008756,0.33,1.0,3.0,10 V,2.0,True,1
2.1372,0.003699999999999998,0.0001,0.1451191,39221.3783783784,39484.0,0.0039484,0.070834834,19144.54972972974,19002.19,0.001900219,0.33,1.0,3.0,10 V,2.0,True,1
2.1707,0.003599999999999998,0.0001,0.1411817,39217.138888888905,39429.0,0.0039429,0.068907212,19140.89222222223,19016.909,0.0019016909,0.33,1.0,3.0,10 V,2.0,True,1
