Tiempo (min),I pulso (mA),I bias (mA),Vinst 1 (V),Rinst 1 (Ohm),Rrem 1 (Ohm),Vbias 1 (V),Vinst 2 (V),Rinst 2 (Ohm),Rrem 2 (Ohm),Vbias 2 (V),Ancho pulso (s),Periodo (s),Vcc (V),Vrange,NPLC,Ch2?,N bias
0.0268,1e-05,0.0001,0.000209,20900.0,20952.0,0.0020952,0.00026437873,26437.873,26264.664,0.0026264664,0.33,1.0,3.0,10 V,2.0,True,1
0.0599,0.00051,0.0001,0.010707,20994.117647058818,21007.0,0.0021007,0.013398689,26271.93921568627,26268.986999999997,0.0026268987,0.33,1.0,3.0,10 V,2.0,True,1
0.0935,0.00101,0.0001,0.0211995,20989.603960396038,20952.0,0.0020952,0.026528326,26265.669306930693,26270.628,0.0026270628,0.33,1.0,3.0,10 V,2.0,True,1
0.1271,0.00151,0.0001,0.0316865,20984.437086092712,20896.999999999996,0.0020897,0.039668045,26270.22847682119,26270.846999999994,0.0026270847,0.33,1.0,3.0,10 V,2.0,True,1
0.1606,0.00201,0.0001,0.0421791,20984.62686567164,21007.0,0.0021007,0.052797908,26267.615920398006,26275.552999999996,0.0026275553,0.33,1.0,3.0,10 V,2.0,True,1
0.1942,0.00251,0.0001,0.0526661,20982.50996015936,20952.0,0.0020952,0.065932977,26268.118326693228,26264.554999999997,0.0026264555,0.33,1.0,3.0,10 V,2.0,True,1
0.2276,0.00301,0.0001,0.0631586,20982.923588039866,21007.0,0.0021007,0.07907087,26269.392026578073,26262.256999999998,0.0026262257,0.33,1.0,3.0,10 V,2.0,True,1
0.2611,0.00351,0.0001,0.0736567,20984.814814814814,20952.0,0.0020952,0.092201836,26268.32934472934,26273.309999999998,0.002627331,0.33,1.0,3.0,10 V,2.0,True,1
0.2945,0.00401,0.0001,0.0841602,20987.581047381547,21007.0,0.0021007,0.10534448,26270.443890274317,26275.060999999998,0.0026275061,0.33,1.0,3.0,10 V,2.0,True,1
0.3281,0.00451,0.0001,0.0946417,20984.855875831483,21007.0,0.0021007,0.11847356,26269.08203991131,26263.131999999998,0.0026263132,0.33,1.0,3.0,10 V,2.0,True,1
0.3627,0.0050100000000000006,0.0001,0.1051342,20984.870259481035,20896.999999999996,0.0020897,0.13162111,26271.67864271457,26264.227,0.0026264227,0.33,1.0,3.0,10 V,2.0,True,1
0.3960,0.005510000000000001,0.0001,0.1156707,20992.86751361161,20677.0,0.0020677,0.14479919,26279.3448275862,26344.387,0.0026344387,0.33,1.0,3.0,10 V,2.0,True,1
0.4296,0.0060100000000000015,0.0001,0.1261413,20988.569051580696,20952.0,0.0020952,0.15793681,26279.003327787017,26267.399999999994,0.00262674,0.33,1.0,3.0,10 V,2.0,True,1
0.4631,0.006510000000000002,0.0001,0.1366393,20989.13978494623,21007.0,0.0021007,0.17107441,26278.711213517658,26276.045,0.0026276045,0.33,1.0,3.0,10 V,2.0,True,1
