Tiempo (min),I pulso (mA),I bias (mA),Vinst 1 (V),Rinst 1 (Ohm),Rrem 1 (Ohm),Vbias 1 (V),Vinst 2 (V),Rinst 2 (Ohm),Rrem 2 (Ohm),Vbias 2 (V),Ancho pulso (s),Periodo (s),Vcc (V),Vrange,NPLC,Ch2?,N bias
0.0333,0.0,5e-05,0.0201107,nan,14014025.999999998,0.7007013,0.026775675,nan,-7954239.199999999,-0.39771196,0.5,0.2,12.0,10 V,2.0,True,1
0.0680,2e-05,5e-05,0.2371104,11855520.0,12647687.999999998,0.6323844,-0.17610357,-8805178.5,-4931125.399999999,-0.24655627,0.5,0.2,12.0,10 V,2.0,True,1
0.1054,4e-05,5e-05,0.6173602,15434005.0,15059427.999999998,0.7529714,-0.36907465,-9226866.25,-9501758.999999998,-0.47508795,0.5,0.2,12.0,10 V,2.0,True,1
0.1374,6.000000000000001e-05,5e-05,0.9016927,15028211.666666664,15300733.999999998,0.7650367,-0.27007119,-4501186.5,-2836718.9999999995,-0.14183595,0.5,0.2,12.0,10 V,2.0,True,1
0.1695,8e-05,5e-05,1.0627104,13283880.0,12996118.0,0.6498059,-0.39713861,-4964232.625,-5349867.2,-0.26749336,0.5,0.2,12.0,10 V,2.0,True,1
0.2042,0.0001,5e-05,1.2463901,12463900.999999998,15085824.0,0.7542912,-0.27950534,-2795053.3999999994,-9298504.399999999,-0.46492522,0.5,0.2,12.0,10 V,2.0,True,1
0.2388,0.00012,5e-05,1.5269448,12724540.0,13854547.999999998,0.6927274,-0.37862632,-3155219.333333333,-9386557.799999999,-0.46932789,0.5,0.2,12.0,10 V,2.0,True,1
0.2735,0.00014000000000000001,5e-05,1.7643357,12602397.857142856,14604972.0,0.7302486,-0.48147182,-3439084.428571428,-9264713.6,-0.46323568,0.5,0.2,12.0,10 V,2.0,True,1
0.3056,0.00016,5e-05,2.1351493,13344683.125,15620789.999999998,0.7810395,-0.69055492,-4315968.25,-5616711.199999999,-0.28083556,0.5,0.2,12.0,10 V,2.0,True,1
0.3405,0.00018,5e-05,2.2164613,12313673.888888888,14951973.999999998,0.7475987,-0.70418648,-3912147.11111111,-9126811.399999999,-0.45634057,0.5,0.2,12.0,10 V,2.0,True,1
0.3727,0.0002,5e-05,2.6025955,13012977.5,13143388.0,0.6571694,-0.97317128,-4865856.399999999,-3169070.8,-0.15845354,0.5,0.2,12.0,10 V,2.0,True,1
0.4074,0.00022,5e-05,2.709572,12316236.363636363,15615619.999999998,0.780781,-0.90503723,-4113805.590909091,-9481952.399999999,-0.47409762,0.5,0.2,12.0,10 V,2.0,True,1
0.4396,0.00024,5e-05,3.0268508,12611878.333333332,13972012.0,0.6986006,-1.1674042,-4864184.166666666,-5781528.199999999,-0.28907641,0.5,0.2,12.0,10 V,2.0,True,1
0.4749,0.00026000000000000003,5e-05,3.2241907,12400733.461538458,16831064.0,0.8415532,-2.1484452,-8263250.769230767,-9072271.6,-0.45361358,0.5,0.2,12.0,10 V,2.0,True,1
0.5102,0.00028000000000000003,5e-05,3.4741257,12407591.785714285,17215350.0,0.8607675,-2.3076478,-8241599.2857142845,-9013318.0,-0.4506659,0.5,0.2,12.0,10 V,2.0,True,1
