Tiempo (min),I pulso (mA),I bias (mA),Vinst 1 (V),Rinst 1 (Ohm),Rrem 1 (Ohm),Vbias 1 (V),Vinst 2 (V),Rinst 2 (Ohm),Rrem 2 (Ohm),Vbias 2 (V),Ancho pulso (s),Periodo (s),Vcc (V),Vrange,NPLC,Ch2?,N bias
0.0355,0.0,5e-05,0.0062196,nan,24053643.999999996,1.2026822,-0.003304714,nan,13639904.399999999,0.68199522,0.5,0.2,12.0,10 V,2.0,True,1
0.0678,-2e-05,5e-05,-0.4202351,21011755.0,24018559.999999996,1.200928,-0.29403635,14701817.5,15280694.2,0.76403471,0.5,0.2,12.0,10 V,2.0,True,1
0.1001,-4e-05,5e-05,-0.8783375,21958437.5,23640211.999999996,1.1820106,-0.58627291,14656822.75,15145176.199999997,0.75725881,0.5,0.2,12.0,10 V,2.0,True,1
0.1323,-6.000000000000001e-05,5e-05,-1.3184134,21973556.666666664,23249437.999999996,1.1624719,-0.83008796,13834799.33333333,14833107.399999999,0.74165537,0.5,0.2,12.0,10 V,2.0,True,1
0.1645,-8e-05,5e-05,-1.72457,21557125.0,23139343.999999996,1.1569672,-1.0386103,12982628.75,14858857.999999998,0.7429429,0.5,0.2,12.0,10 V,2.0,True,1
0.1997,-0.0001,5e-05,-2.1221314,21221313.999999996,22514300.0,1.125715,-1.1073144,11073143.999999998,13360605.599999998,0.66803028,0.5,0.2,12.0,10 V,2.0,True,1
0.2348,-0.00012,5e-05,-2.5105254,20921045.0,22234829.999999996,1.1117415,-1.2573664,10478053.333333332,13203816.799999997,0.66019084,0.5,0.2,12.0,10 V,2.0,True,1
0.2699,-0.00014000000000000001,5e-05,-2.8837907,20598505.0,21990883.999999996,1.0995442,-1.3924387,9945990.714285715,13046374.399999999,0.65231872,0.5,0.2,12.0,10 V,2.0,True,1
0.3051,-0.00016,5e-05,-3.2255071,20159419.375,21508161.999999996,1.0754081,-1.5054037,9408773.125,12492113.199999997,0.62460566,0.5,0.2,12.0,10 V,2.0,True,1
0.3404,-0.00018,5e-05,-3.571271,19840394.44444444,20980126.0,1.0490063,-1.6315452,9064139.999999998,12654080.999999998,0.63270405,0.5,0.2,12.0,10 V,2.0,True,1
0.3755,-0.0002,5e-05,-3.9029732,19514865.999999996,20828454.0,1.0414227,-1.7739311,8869655.5,12397272.8,0.61986364,0.5,0.2,12.0,10 V,2.0,True,1
0.4107,-0.00022,5e-05,-4.1807113,19003233.18181818,20337702.0,1.0168851,-1.9731957,8969071.363636363,12535008.799999999,0.62675044,0.5,0.2,12.0,10 V,2.0,True,1
