Tiempo (min),I pulso (mA),I bias (mA),Vinst 1 (V),Rinst 1 (Ohm),Rrem 1 (Ohm),Vbias 1 (V),Vinst 2 (V),Rinst 2 (Ohm),Rrem 2 (Ohm),Vbias 2 (V),Ancho pulso (s),Periodo (s),Vcc (V),Vrange,NPLC,Ch2?,N bias
0.0356,0.0,1e-05,0.0019797,nan,31134450.0,0.3113445,-0.004628084,nan,17868429.0,0.17868429,0.5,0.2,12.0,10 V,2.0,True,1
0.0677,1e-05,1e-05,0.3376198,33761980.0,33556310.0,0.3355631,0.21172764,21172764.0,21368500.0,0.213685,0.5,0.2,12.0,10 V,2.0,True,1
0.0999,2e-05,1e-05,0.6084789,30423945.0,36238830.0,0.3623883,0.39029226,19514613.0,22255359.0,0.22255359,0.5,0.2,12.0,10 V,2.0,True,1
0.1320,3.0000000000000004e-05,1e-05,0.8649359,28831196.66666666,36996070.0,0.3699607,0.54000493,18000164.333333332,23212414.0,0.23212414,0.5,0.2,12.0,10 V,2.0,True,1
0.1641,4e-05,1e-05,1.1062423,27656057.499999996,39221610.0,0.3922161,0.68525896,17131474.0,24280145.0,0.24280145,0.5,0.2,12.0,10 V,2.0,True,1
0.1963,5e-05,1e-05,1.3335202,26670403.999999996,39965110.0,0.3996511,0.80827388,16165477.599999998,24927958.0,0.24927958,0.5,0.2,12.0,10 V,2.0,True,1
0.2285,6e-05,1e-05,1.5657748,26096246.666666664,42125770.0,0.4212577,0.92812926,15468820.999999998,25700035.999999996,0.25700036,0.5,0.2,12.0,10 V,2.0,True,1
0.2605,7.000000000000001e-05,1e-05,1.7770939,25387055.714285713,42712540.0,0.4271254,1.0346424,14780605.714285715,26030679.0,0.26030679,0.5,0.2,12.0,10 V,2.0,True,1
0.2927,8e-05,1e-05,1.9813465,24766831.25,44103840.0,0.4410384,1.1377869,14222336.25,26938883.0,0.26938883,0.5,0.2,12.0,10 V,2.0,True,1
0.3279,9e-05,1e-05,2.1863966,24293295.555555552,45408260.0,0.4540826,1.1154425,12393805.555555552,23249343.0,0.23249343,0.5,0.2,12.0,10 V,2.0,True,1
0.3630,0.0001,1e-05,2.3844353,23844352.999999996,46146260.0,0.4614626,1.2156824,12156823.999999998,23916452.999999996,0.23916453,0.5,0.2,12.0,10 V,2.0,True,1
0.3981,9e-05,1e-05,2.2040495,24489438.888888884,46316180.0,0.4631618,1.1344918,12605464.444444442,23810600.0,0.238106,0.5,0.2,12.0,10 V,2.0,True,1
0.4302,8e-05,1e-05,2.011862,25148274.999999996,44355160.0,0.4435516,1.1713338,14641672.5,27489941.0,0.27489941,0.5,0.2,12.0,10 V,2.0,True,1
0.4624,7.000000000000001e-05,1e-05,1.8153469,25933527.14285714,44449200.0,0.444492,1.0744295,15348992.857142854,26932340.0,0.2693234,0.5,0.2,12.0,10 V,2.0,True,1
0.4945,6.000000000000001e-05,1e-05,1.5986494,26644156.666666664,42661950.0,0.4266195,0.97068719,16178119.833333332,26336759.999999996,0.2633676,0.5,0.2,12.0,10 V,2.0,True,1
0.5266,5.000000000000001e-05,1e-05,1.3785645,27571289.999999993,42198910.0,0.4219891,0.84871861,16974372.199999996,25760752.999999996,0.25760753,0.5,0.2,12.0,10 V,2.0,True,1
0.5589,4.000000000000001e-05,1e-05,1.1433951,28584877.49999999,41341010.0,0.4134101,0.71882466,17970616.499999993,25400000.0,0.254,0.5,0.2,12.0,10 V,2.0,True,1
0.5910,3.000000000000001e-05,1e-05,0.8983107,29943689.99999999,38844910.0,0.3884491,0.57079708,19026569.333333325,24146013.0,0.24146013,0.5,0.2,12.0,10 V,2.0,True,1
0.6232,2.0000000000000012e-05,1e-05,0.6465174,32325869.999999978,38163010.0,0.3816301,0.41167518,20583758.999999985,23671589.0,0.23671589,0.5,0.2,12.0,10 V,2.0,True,1
0.6554,1.0000000000000011e-05,1e-05,0.3625698,36256979.999999955,36179990.0,0.3617999,0.23379371,23379370.99999997,22781461.0,0.22781461,0.5,0.2,12.0,10 V,2.0,True,1
0.6877,1.0164395367051604e-20,1e-05,0.3551623,nan,35643810.0,0.3564381,0.22542919,nan,22808354.0,0.22808354,0.5,0.2,12.0,10 V,2.0,True,1
0.7199,-9.99999999999999e-06,1e-05,-0.1993747,nan,31723410.0,0.3172341,-0.15709836,nan,20486856.0,0.20486856,0.5,0.2,12.0,10 V,2.0,True,1
0.7520,-1.999999999999999e-05,1e-05,-0.4666265,23331325.00000001,29865770.000000004,0.2986577,-0.32283888,16141944.000000007,19557690.0,0.1955769,0.5,0.2,12.0,10 V,2.0,True,1
