Tiempo (min),I pulso (mA),I bias (mA),Vinst 1 (V),Rinst 1 (Ohm),Rrem 1 (Ohm),Vbias 1 (V),Vinst 2 (V),Rinst 2 (Ohm),Rrem 2 (Ohm),Vbias 2 (V),Ancho pulso (s),Periodo (s),Vcc (V),Vrange,NPLC,Ch2?,N bias
0.0127,0.0,nan,-0.000111,nan,nan,nan,nan,nan,nan,nan,0.5,0.2,30.0,100 V,2.0,False,1
0.0273,nan,0.0001,nan,nan,2168950.0,0.216895,nan,nan,nan,nan,0.5,0.2,30.0,100 V,2.0,False,1
0.0420,0.0001,nan,0.217725,2177250.0,nan,nan,nan,nan,nan,nan,0.5,0.2,30.0,100 V,2.0,False,1
0.0566,nan,0.0001,nan,nan,2181670.0,0.218167,nan,nan,nan,nan,0.5,0.2,30.0,100 V,2.0,False,1
0.0713,0.0002,nan,0.438436,2192180.0,nan,nan,nan,nan,nan,nan,0.5,0.2,30.0,100 V,2.0,False,1
0.0860,nan,0.0001,nan,nan,2193290.0,0.219329,nan,nan,nan,nan,0.5,0.2,30.0,100 V,2.0,False,1
0.1006,0.00030000000000000003,nan,0.654834,2182780.0,nan,nan,nan,nan,nan,nan,0.5,0.2,30.0,100 V,2.0,False,1
0.1153,nan,0.0001,nan,nan,2206559.9999999995,0.220656,nan,nan,nan,nan,0.5,0.2,30.0,100 V,2.0,False,1
0.1299,0.0004,nan,0.859452,2148630.0,nan,nan,nan,nan,nan,nan,0.5,0.2,30.0,100 V,2.0,False,1
0.1446,nan,0.0001,nan,nan,2225360.0,0.222536,nan,nan,nan,nan,0.5,0.2,30.0,100 V,2.0,False,1
0.1592,0.0005,nan,1.049139,2098278.0,nan,nan,nan,nan,nan,nan,0.5,0.2,30.0,100 V,2.0,False,1
0.1738,nan,0.0001,nan,nan,2234210.0,0.223421,nan,nan,nan,nan,0.5,0.2,30.0,100 V,2.0,False,1
0.1884,0.0006000000000000001,nan,1.225277,2042128.333333333,nan,nan,nan,nan,nan,nan,0.5,0.2,30.0,100 V,2.0,False,1
0.2030,nan,0.0001,nan,nan,2244720.0,0.224472,nan,nan,nan,nan,0.5,0.2,30.0,100 V,2.0,False,1
0.2176,0.0007000000000000001,nan,1.397045,1995778.5714285714,nan,nan,nan,nan,nan,nan,0.5,0.2,30.0,100 V,2.0,False,1
0.2323,nan,0.0001,nan,nan,2254120.0,0.225412,nan,nan,nan,nan,0.5,0.2,30.0,100 V,2.0,False,1
