Tiempo (min),I pulso (mA),I bias (mA),Vinst 1 (V),Rinst 1 (Ohm),Rrem 1 (Ohm),Vbias 1 (V),Vinst 2 (V),Rinst 2 (Ohm),Rrem 2 (Ohm),Vbias 2 (V),Ancho pulso (s),Periodo (s),Vcc (V),Vrange,NPLC,Ch2?,N bias
0.0267,0.0,0.0001,0.0016993,nan,3263353.9999999995,0.3263354,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.0559,0.0001,0.0001,0.32903,3290299.9999999995,3298879.0,0.3298879,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.0852,0.0002,0.0001,0.656592,3282959.9999999995,3337482.9999999995,0.3337483,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.1144,0.00030000000000000003,0.0001,0.9781321,3260440.3333333326,3340233.0,0.3340233,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.1436,0.0004,0.0001,1.2944261,3236065.2499999995,3383016.9999999995,0.3383017,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.1728,0.0005,0.0001,1.6097578,3219515.6,3401438.9999999995,0.3401439,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.2022,0.0006000000000000001,0.0001,1.9280535,3213422.4999999995,3434983.9999999995,0.3434984,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.2315,0.0007000000000000001,0.0001,2.2436055,3205150.714285714,3471333.9999999995,0.3471334,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.2608,0.0008000000000000001,0.0001,2.5627536,3203441.9999999995,3504109.9999999995,0.350411,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.2901,0.0009000000000000002,0.0001,2.8715193,3190576.9999999995,3523906.9999999995,0.3523907,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.3193,0.001,0.0001,3.1700068,3170006.8,3564600.9999999995,0.3564601,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.3485,0.0009,0.0001,2.8766611,3196290.1111111115,3557177.0,0.3557177,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.3778,0.0007999999999999999,0.0001,2.5761002,3220125.25,3535400.0,0.35354,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.4070,0.0006999999999999999,0.0001,2.2691934,3241704.8571428573,3520056.9999999995,0.3520057,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.4362,0.0005999999999999998,0.0001,1.9586457,3264409.5000000005,3496630.9999999995,0.3496631,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.4654,0.0004999999999999998,0.0001,1.6422968,3284593.6000000015,3472214.0,0.3472214,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.4946,0.0003999999999999998,0.0001,1.3199591,3299897.7500000014,3456541.0,0.3456541,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.5237,0.0002999999999999998,0.0001,0.9944483,3314827.6666666684,3423985.9999999995,0.3423986,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.5528,0.00019999999999999982,0.0001,0.6691907,3345953.500000003,3389011.0,0.3389011,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.5820,9.999999999999982e-05,0.0001,0.3367619,3367619.000000006,3368058.9999999995,0.3368059,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.6114,-1.8973538018496328e-19,0.0001,0.3356455,-1.7690190394263654e+21,3354915.9999999995,0.3354916,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.6407,-0.0001000000000000002,0.0001,-0.3206658,3206657.999999994,3311471.9999999995,0.3311472,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.6701,-0.0002000000000000002,0.0001,-0.6462424,3231211.9999999967,3266433.0,0.3266433,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.6994,-0.0003000000000000002,0.0001,-0.9616562,3205520.6666666646,3233768.0,0.3233768,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.7288,-0.0004000000000000002,0.0001,-1.278258,3195644.999999998,3201432.0,0.3201432,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.7581,-0.0005000000000000002,0.0001,-1.5887062,3177412.399999999,3173826.0,0.3173826,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.7874,-0.0006000000000000003,0.0001,-1.8921041,3153506.833333332,3138191.0,0.3138191,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.8168,-0.0007000000000000003,0.0001,-2.1958156,3136879.4285714272,3104701.0,0.3104701,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.8461,-0.0008000000000000004,0.0001,-2.5020124,3127515.4999999986,3076214.9999999995,0.3076215,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.8755,-0.0009000000000000004,0.0001,-2.8020889,3113432.11111111,3058726.9999999995,0.3058727,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.9049,-0.001,0.0001,-3.0969848,3096984.8000000003,3048938.9999999995,0.3048939,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.9342,-0.0009,0.0001,-2.8043986,3115998.4444444445,3052458.0,0.3052458,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.9635,-0.0007999999999999999,0.0001,-2.5097278,3137159.75,3061587.0,0.3061587,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
0.9928,-0.0006999999999999999,0.0001,-2.2064621,3152088.714285715,3076709.9999999995,0.307671,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
1.0222,-0.0005999999999999998,0.0001,-1.9021787,3170297.833333334,3089412.9999999995,0.3089413,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
1.0515,-0.0004999999999999998,0.0001,-1.5927316,3185463.2000000016,3108879.9999999995,0.310888,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
1.0808,-0.0003999999999999998,0.0001,-1.2807712,3201928.0000000014,3133132.0,0.3133132,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
1.1100,-0.0002999999999999998,0.0001,-0.9665725,3221908.333333335,3143854.9999999995,0.3143855,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
1.1393,-0.00019999999999999982,0.0001,-0.6477052,3238526.000000003,3169427.0,0.3169427,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
1.1685,-9.999999999999982e-05,0.0001,-0.3252412,3252412.000000006,3196373.0,0.3196373,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
1.1978,1.8973538018496328e-19,0.0001,0.3241687,1.7085305844591797e+21,3248120.9999999995,0.3248121,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
1.2269,0.0001000000000000002,0.0001,0.3231238,3231237.999999994,3243005.9999999995,0.3243006,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
1.2561,0.0002000000000000002,0.0001,0.6460389,3230194.4999999967,3291620.0,0.329162,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
1.2854,0.0003000000000000002,0.0001,0.9664957,3221652.333333331,3319941.0,0.3319941,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
1.3146,0.0004000000000000002,0.0001,1.2857704,3214425.9999999986,3330829.0,0.3330829,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
1.3437,0.0005000000000000002,0.0001,1.6042641,3208528.199999999,3363219.0,0.3363219,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
1.3729,0.0006000000000000003,0.0001,1.920965,3201608.3333333316,3384336.9999999995,0.3384337,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
1.4022,0.0007000000000000003,0.0001,2.2339049,3191292.714285713,3419202.0,0.3419202,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
1.4314,0.0008000000000000004,0.0001,2.5494894,3186861.7499999986,3475733.9999999995,0.3475734,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
1.4606,0.0009000000000000004,0.0001,2.8584421,3176046.7777777766,3494650.9999999995,0.3494651,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
1.4897,0.001,0.0001,3.1575181,3157518.1,3554812.9999999995,0.3554813,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
1.5189,0.0009,0.0001,2.8701885,3189098.3333333335,3541118.9999999995,0.3541119,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
1.5481,0.0007999999999999999,0.0001,2.5688852,3211106.5,3529845.9999999995,0.3529846,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
1.5773,0.0006999999999999999,0.0001,2.2640626,3234375.142857143,3509718.9999999995,0.3509719,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
1.6065,0.0005999999999999998,0.0001,1.9552692,3258782.000000001,3503889.9999999995,0.350389,nan,nan,nan,nan,0.5,0.2,10.0,10 V,2.0,False,1
