Tiempo (min),I pulso (mA),I bias (mA),Vinst 1 (V),Rinst 1 (Ohm),Rrem 1 (Ohm),Vbias 1 (V),Vinst 2 (V),Rinst 2 (Ohm),Rrem 2 (Ohm),Vbias 2 (V),Ancho pulso (s),Periodo (s),Vcc (V),Vrange,NPLC,Ch2?,N bias
0.0901,1e-05,1e-05,0.3006298,30062980.0,84468220.0,0.8446822,1.27181,127181000.00000001,143653410.0,1.4365341,2.0,0.2,30.0,10 V,10.0,True,1
0.1830,2e-05,1e-05,1.2807716,64038580.0,83563140.0,0.8356314,2.2532808,112664040.0,142274420.0,1.4227442,2.0,0.2,30.0,10 V,10.0,True,1
0.2760,3.0000000000000004e-05,1e-05,1.6520491,55068303.33333332,86613030.0,0.8661303,3.0490501,101635003.33333333,145266330.0,1.4526633,2.0,0.2,30.0,10 V,10.0,True,1
0.3689,4e-05,1e-05,1.9423592,48558980.0,85128460.0,0.8512846,3.668791,91719775.0,145155690.0,1.4515569,2.0,0.2,30.0,10 V,10.0,True,1
0.4617,5e-05,1e-05,2.1798778,43597555.99999999,85103820.0,0.8510382,4.3677168,87354336.0,147919500.0,1.479195,2.0,0.2,30.0,10 V,10.0,True,1
0.5546,4e-05,1e-05,1.9412781,48531952.5,83930290.0,0.8393029,3.6542202,91355505.0,142840400.0,1.428404,2.0,0.2,30.0,10 V,10.0,True,1
0.6475,3.0000000000000004e-05,1e-05,1.6284376,54281253.33333333,84269260.0,0.8426926,2.994787,99826233.33333333,145221680.0,1.4522168,2.0,0.2,30.0,10 V,10.0,True,1
0.7403,2.0000000000000005e-05,1e-05,1.3650419,68252094.99999997,89581620.0,0.8958162,2.3797357,118986784.99999996,148731510.0,1.4873151,2.0,0.2,30.0,10 V,10.0,True,1
0.8331,1.0000000000000004e-05,1e-05,0.9159126,91591259.99999996,90735910.0,0.9073591,1.4947226,149472259.9999999,150419670.0,1.5041967,2.0,0.2,30.0,10 V,10.0,True,1
0.9184,3.3881317890172014e-21,1e-05,0.9208091,nan,36072860.0,0.3607286,nan,nan,nan,nan,2.0,0.2,30.0,10 V,10.0,False,1
1.0031,-9.999999999999997e-06,1e-05,-0.3193603,nan,32513209.999999996,0.3251321,nan,nan,nan,nan,2.0,0.2,30.0,10 V,10.0,False,1
1.0880,-1.9999999999999998e-05,1e-05,-0.6032153,30160765.000000004,32503640.0,0.3250364,nan,nan,nan,nan,2.0,0.2,30.0,10 V,10.0,False,1
1.1727,-2.9999999999999997e-05,1e-05,-0.8581773,28605910.000000004,30368070.000000004,0.3036807,nan,nan,nan,nan,2.0,0.2,30.0,10 V,10.0,False,1
1.2574,-3.9999999999999996e-05,1e-05,-1.0662022,26655055.000000004,26797870.0,0.2679787,nan,nan,nan,nan,2.0,0.2,30.0,10 V,10.0,False,1
1.3422,-4.9999999999999996e-05,1e-05,-1.305653,26113060.0,24118310.0,0.2411831,nan,nan,nan,nan,2.0,0.2,30.0,10 V,10.0,False,1
1.4269,-5e-05,1e-05,-1.2364869,24729738.0,23083140.0,0.2308314,nan,nan,nan,nan,2.0,0.2,30.0,10 V,10.0,False,1
1.5117,-4e-05,1e-05,-0.9461319,23653297.5,23295740.0,0.2329574,nan,nan,nan,nan,2.0,0.2,30.0,10 V,10.0,False,1
1.5964,-3.0000000000000004e-05,1e-05,-0.7718228,25727426.666666664,23423870.0,0.2342387,nan,nan,nan,nan,2.0,0.2,30.0,10 V,10.0,False,1
1.6811,-2.0000000000000005e-05,1e-05,-0.5460574,27302869.999999993,24905140.0,0.2490514,nan,nan,nan,nan,2.0,0.2,30.0,10 V,10.0,False,1
1.7726,-1.0000000000000004e-05,1e-05,-0.2885328,28853279.99999998,25437850.0,0.2543785,nan,nan,nan,nan,2.0,0.2,30.0,10 V,20.0,False,1
1.8641,-3.3881317890172014e-21,1e-05,0.2608533,nan,26053759.999999996,0.2605376,nan,nan,nan,nan,2.0,0.2,30.0,10 V,20.0,False,1
1.9555,9.999999999999997e-06,1e-05,0.2607065,nan,26332909.999999996,0.2633291,nan,nan,nan,nan,2.0,0.2,30.0,10 V,20.0,False,1
2.0468,1.9999999999999998e-05,1e-05,0.4798586,23992930.000000004,26453890.0,0.2645389,nan,nan,nan,nan,2.0,0.2,30.0,10 V,20.0,False,1
2.1381,2.9999999999999997e-05,1e-05,0.6826544,22755146.666666668,24871210.0,0.2487121,nan,nan,nan,nan,2.0,0.2,30.0,10 V,20.0,False,1
2.2293,3.9999999999999996e-05,1e-05,0.8660209,21650522.500000004,22731080.0,0.2273108,nan,nan,nan,nan,2.0,0.2,30.0,10 V,20.0,False,1
2.3206,4.9999999999999996e-05,1e-05,1.0107683,20215366.000000004,21851150.0,0.2185115,nan,nan,nan,nan,2.0,0.2,30.0,10 V,20.0,False,1
2.4120,5e-05,1e-05,1.0181131,20362262.0,22035810.0,0.2203581,nan,nan,nan,nan,2.0,0.2,30.0,10 V,20.0,False,1
2.5033,4e-05,1e-05,0.8741201,21853002.5,23247120.0,0.2324712,nan,nan,nan,nan,2.0,0.2,30.0,10 V,20.0,False,1
2.5947,3.0000000000000004e-05,1e-05,0.7027437,23424789.999999996,23665400.0,0.236654,nan,nan,nan,nan,2.0,0.2,30.0,10 V,20.0,False,1
2.6859,2.0000000000000005e-05,1e-05,0.4859517,24297584.999999993,25949499.999999996,0.259495,nan,nan,nan,nan,2.0,0.2,30.0,10 V,20.0,False,1
2.7771,1.0000000000000004e-05,1e-05,0.2556576,25565759.999999985,24790760.0,0.2479076,nan,nan,nan,nan,2.0,0.2,30.0,10 V,20.0,False,1
