Tiempo (min),I pulso (mA),I bias (mA),Vinst 1 (V),Rinst 1 (Ohm),Rrem 1 (Ohm),Vbias 1 (V),Vinst 2 (V),Rinst 2 (Ohm),Rrem 2 (Ohm),Vbias 2 (V),Ancho pulso (s),Periodo (s),Vcc (V),Vrange,NPLC,Ch2?,N bias
0.1586,0.0,0.0001,-0.0027337,nan,1073790.0,0.107379,-0.0013072,nan,545363.9999999999,0.0545364,2.5,2.5,20.0,10 V,20.0,True,1
0.3580,0.0001,0.0001,0.1092565,1092565.0,1104063.0,0.1104063,0.0558974,558974.0,567597.0,0.0567597,2.5,2.5,20.0,10 V,20.0,True,1
0.5575,0.0002,0.0001,0.2225248,1112623.9999999998,1132747.0,0.1132747,0.1176131,588065.4999999999,592893.9999999999,0.0592894,2.5,2.5,20.0,10 V,20.0,True,1
0.7569,0.00030000000000000003,0.0001,0.3352705,1117568.3333333333,1163928.0,0.1163928,0.1825326,608441.9999999999,618949.0,0.0618949,2.5,2.5,20.0,10 V,20.0,True,1
0.9564,0.0004,0.0001,0.446877,1117192.5,1192705.0,0.1192705,0.2491443,622860.75,642964.0,0.0642964,2.5,2.5,20.0,10 V,20.0,True,1
1.1559,0.0005,0.0001,0.5576628,1115325.6,1225452.9999999998,0.1225453,0.319023,638046.0,672642.9999999999,0.0672643,2.5,2.5,20.0,10 V,20.0,True,1
1.3554,0.0006000000000000001,0.0001,0.6676756,1112792.6666666665,1254329.9999999998,0.125433,0.3928293,654715.4999999999,698446.0,0.0698446,2.5,2.5,20.0,10 V,20.0,True,1
1.5549,0.0007000000000000001,0.0001,0.7782789,1111826.9999999998,1281139.0,0.1281139,0.4684785,669255.0,721895.0,0.0721895,2.5,2.5,20.0,10 V,20.0,True,1
1.7545,0.0008000000000000001,0.0001,0.88097,1101212.4999999998,1299186.9999999998,0.1299187,0.5310861,663857.6249999999,739744.9999999999,0.0739745,2.5,2.5,20.0,10 V,20.0,True,1
1.9538,0.0009000000000000002,0.0001,0.9729535,1081059.4444444443,1308964.9999999998,0.1308965,0.5848146,649793.9999999999,747873.0,0.0747873,2.5,2.5,20.0,10 V,20.0,True,1
2.1533,0.001,0.0001,1.0570126,1057012.6,1317223.9999999998,0.1317224,0.6334468,633446.8,757039.9999999999,0.075704,2.5,2.5,20.0,10 V,20.0,True,1
2.3529,0.0009,0.0001,0.9779358,1086595.3333333335,1320688.9999999998,0.1320689,0.5946891,660765.6666666666,764491.9999999999,0.0764492,2.5,2.5,20.0,10 V,20.0,True,1
2.5524,0.0007999999999999999,0.0001,0.8943452,1117931.5,1325369.0,0.1325369,0.5515179,689397.375,770771.9999999999,0.0770772,2.5,2.5,20.0,10 V,20.0,True,1
2.7520,0.0006999999999999999,0.0001,0.805654,1150934.285714286,1326804.0,0.1326804,0.5036372,719481.7142857144,776567.9999999999,0.0776568,2.5,2.5,20.0,10 V,20.0,True,1
2.9515,0.0005999999999999998,0.0001,0.7061301,1176883.5000000002,1326556.9999999998,0.1326557,0.4473785,745630.8333333335,780538.0,0.0780538,2.5,2.5,20.0,10 V,20.0,True,1
3.1510,0.0004999999999999998,0.0001,0.5957427,1191485.4000000004,1326282.0,0.1326282,0.3759912,751982.4000000004,779576.0,0.0779576,2.5,2.5,20.0,10 V,20.0,True,1
3.3504,0.0003999999999999998,0.0001,0.4806598,1201649.5000000007,1312066.0,0.1312066,0.2987606,746901.5000000003,771645.9999999999,0.0771646,2.5,2.5,20.0,10 V,20.0,True,1
3.5500,0.0002999999999999998,0.0001,0.3625065,1208355.0000000007,1298636.9999999998,0.1298637,0.219861,732870.0000000005,757606.9999999999,0.0757607,2.5,2.5,20.0,10 V,20.0,True,1
3.7496,0.00019999999999999982,0.0001,0.2445255,1222627.5000000012,1273268.9999999998,0.1273269,0.1458043,729021.5000000006,738160.9999999999,0.0738161,2.5,2.5,20.0,10 V,20.0,True,1
3.9491,9.999999999999982e-05,0.0001,0.1255166,1255166.0000000023,1243205.0,0.1243205,0.0727366,727366.0000000013,713140.0,0.071314,2.5,2.5,20.0,10 V,20.0,True,1
4.1489,-1.8973538018496328e-19,0.0001,0.1234868,nan,1226097.0,0.1226097,0.0705963,nan,697598.9999999999,0.0697599,2.5,2.5,20.0,10 V,20.0,True,1
4.3485,-0.0001000000000000002,0.0001,-0.0985881,985880.999999998,1187871.9999999998,0.1187872,-0.0542532,542531.999999999,667237.9999999999,0.0667238,2.5,2.5,20.0,10 V,20.0,True,1
4.5479,-0.0002000000000000002,0.0001,-0.2043126,1021562.9999999991,1158082.0,0.1158082,-0.1078367,539183.4999999994,643447.9999999999,0.0643448,2.5,2.5,20.0,10 V,20.0,True,1
4.7475,-0.0003000000000000002,0.0001,-0.3074237,1024745.666666666,1123964.9999999998,0.1123965,-0.1563812,521270.66666666634,613795.9999999999,0.0613796,2.5,2.5,20.0,10 V,20.0,True,1
4.9470,-0.0004000000000000002,0.0001,-0.4079908,1019976.9999999994,1089896.9999999998,0.1089897,-0.2006808,501701.99999999977,585101.0,0.0585101,2.5,2.5,20.0,10 V,20.0,True,1
5.1466,-0.0005000000000000002,0.0001,-0.5056639,1011327.7999999997,1056787.0,0.1056787,-0.2415056,483011.1999999998,558171.9999999999,0.0558172,2.5,2.5,20.0,10 V,20.0,True,1
5.3461,-0.0006000000000000003,0.0001,-0.602485,1004141.6666666663,1027337.9999999999,0.1027338,-0.2799298,466549.66666666645,533205.0,0.0533205,2.5,2.5,20.0,10 V,20.0,True,1
5.5458,-0.0007000000000000003,0.0001,-0.6974567,996366.714285714,1001980.9999999999,0.1001981,-0.3158942,451277.4285714284,510598.0,0.0510598,2.5,2.5,20.0,10 V,20.0,True,1
5.7454,-0.0008000000000000004,0.0001,-0.7959424,994927.9999999995,974979.9999999999,0.097498,-0.3497859,437232.37499999977,487177.0,0.0487177,2.5,2.5,20.0,10 V,20.0,True,1
5.9449,-0.0009000000000000004,0.0001,-0.8918733,990970.3333333329,952185.9999999999,0.0952186,-0.3818376,424263.9999999998,466642.0,0.0466642,2.5,2.5,20.0,10 V,20.0,True,1
6.1445,-0.001,0.0001,-0.9869774,986977.4,929698.9999999999,0.0929699,-0.4132631,413263.10000000003,447774.99999999994,0.0447775,2.5,2.5,20.0,10 V,20.0,True,1
6.3442,-0.0009,0.0001,-0.9081989,1009109.888888889,922599.9999999999,0.09226,-0.3746743,416304.7777777778,438771.99999999994,0.0438772,2.5,2.5,20.0,10 V,20.0,True,1
6.5440,-0.0007999999999999999,0.0001,-0.8222111,1027763.875,922902.0,0.0922902,-0.3369958,421244.75000000006,437408.99999999994,0.0437409,2.5,2.5,20.0,10 V,20.0,True,1
6.7435,-0.0006999999999999999,0.0001,-0.7292362,1041766.0000000002,929869.9999999999,0.092987,-0.300041,428630.00000000006,439591.99999999994,0.0439592,2.5,2.5,20.0,10 V,20.0,True,1
6.9430,-0.0005999999999999998,0.0001,-0.6330696,1055116.0000000002,937646.0,0.0937646,-0.2628893,438148.83333333343,444111.99999999994,0.0444112,2.5,2.5,20.0,10 V,20.0,True,1
7.1508,-0.0004999999999999998,0.0001,-0.533082,1066164.0000000005,950518.9999999999,0.0950519,-0.2249743,449948.6000000002,452140.99999999994,0.0452141,2.5,2.5,20.0,10 V,20.0,True,1
7.3504,-0.0003999999999999998,0.0001,-0.4318038,1079509.5000000005,966098.9999999999,0.0966099,-0.1858438,464609.50000000023,462885.99999999994,0.0462886,2.5,2.5,20.0,10 V,20.0,True,1
7.5500,-0.0002999999999999998,0.0001,-0.3272094,1090698.0000000005,981882.0,0.0981882,-0.1441712,480570.6666666669,474214.99999999994,0.0474215,2.5,2.5,20.0,10 V,20.0,True,1
7.7495,-0.00019999999999999982,0.0001,-0.2209704,1104852.000000001,1003152.9999999999,0.1003153,-0.0998904,499452.00000000047,488579.0,0.0488579,2.5,2.5,20.0,10 V,20.0,True,1
7.9491,-9.999999999999982e-05,0.0001,-0.1123918,1123918.000000002,1025457.0,0.1025457,-0.0525231,525231.0000000009,506578.0,0.0506578,2.5,2.5,20.0,10 V,20.0,True,1
8.1486,1.8973538018496328e-19,0.0001,0.1047234,nan,1061581.9999999998,0.1061582,0.0522663,nan,534661.9999999999,0.0534662,2.5,2.5,20.0,10 V,20.0,True,1
8.3481,0.0001000000000000002,0.0001,0.1072679,1072678.999999998,1081334.9999999998,0.1081335,0.0544017,544016.999999999,552826.0,0.0552826,2.5,2.5,20.0,10 V,20.0,True,1
8.4479,0.0001000000000000002,-0.0001,0.1072679,1072678.999999998,1074485.0,-0.1074485,0.0544017,544016.999999999,526936.0,-0.0526936,2.5,2.5,20.0,10 V,20.0,True,1
8.5479,0.0001000000000000002,-0.0001,0.1072679,1072678.999999998,1092649.0,-0.1092649,0.0544017,544016.999999999,531335.0,-0.0531335,2.5,2.5,20.0,10 V,20.0,True,1
8.6477,0.0001000000000000002,-0.0001,0.1072679,1072678.999999998,1101525.0,-0.1101525,0.0544017,544016.999999999,533013.0,-0.0533013,2.5,2.5,20.0,10 V,20.0,True,1
8.8471,0.0002000000000000002,-0.0001,0.2142133,1071066.4999999988,1072346.0,-0.1072346,0.1111108,555553.9999999994,527072.9999999999,-0.0527073,2.5,2.5,20.0,10 V,20.0,True,1
9.0467,0.0003000000000000002,-0.0001,0.3233927,1077975.6666666658,1053676.0,-0.1053676,0.1711134,570377.9999999997,524203.0,-0.0524203,2.5,2.5,20.0,10 V,20.0,True,1
9.2463,0.0004000000000000002,-0.0001,0.4318553,1079638.2499999995,1032537.0,-0.1032537,0.2334155,583538.7499999998,522420.99999999994,-0.0522421,2.5,2.5,20.0,10 V,20.0,True,1
9.4459,0.0005000000000000002,-0.0001,0.5372342,1074468.3999999997,1010979.9999999999,-0.101098,0.2963283,592656.5999999997,522101.99999999994,-0.0522102,2.5,2.5,20.0,10 V,20.0,True,1
9.6454,0.0006000000000000003,-0.0001,0.6430903,1071817.166666666,991023.0,-0.0991023,0.3633078,605512.9999999998,520754.99999999994,-0.0520755,2.5,2.5,20.0,10 V,20.0,True,1
9.8449,0.0007000000000000003,-0.0001,0.7460946,1065849.4285714282,970673.9999999999,-0.0970674,0.4318575,616939.2857142854,520391.99999999994,-0.0520392,2.5,2.5,20.0,10 V,20.0,True,1
10.0446,0.0008000000000000004,-0.0001,0.8513104,1064137.9999999995,947054.9999999999,-0.0947055,0.5036279,629534.8749999998,515975.99999999994,-0.0515976,2.5,2.5,20.0,10 V,20.0,True,1
10.2441,0.0009000000000000004,-0.0001,0.9510825,1056758.333333333,930061.9999999999,-0.0930062,0.5640149,626683.2222222219,516635.99999999994,-0.0516636,2.5,2.5,20.0,10 V,20.0,True,1
10.4436,0.001,-0.0001,1.0406055,1040605.5000000001,911303.9999999999,-0.0911304,0.6159276,615927.6000000001,514468.99999999994,-0.0514469,2.5,2.5,20.0,10 V,20.0,True,1
10.6432,0.0009,-0.0001,0.9601524,1066836.0,910193.9999999999,-0.0910194,0.5754385,639376.1111111111,518428.99999999994,-0.0518429,2.5,2.5,20.0,10 V,20.0,True,1
10.8428,0.0007999999999999999,-0.0001,0.8729318,1091164.75,912580.0,-0.091258,0.530573,663216.25,519676.99999999994,-0.0519677,2.5,2.5,20.0,10 V,20.0,True,1
11.0424,0.0006999999999999999,-0.0001,0.775923,1108461.4285714289,919816.9999999999,-0.0919817,0.475942,679917.142857143,522844.99999999994,-0.0522845,2.5,2.5,20.0,10 V,20.0,True,1
11.2419,0.0005999999999999998,-0.0001,0.6733882,1122313.666666667,929077.9999999999,-0.0929078,0.4110119,685019.8333333335,524697.9999999999,-0.0524698,2.5,2.5,20.0,10 V,20.0,True,1
11.4415,0.0004999999999999998,-0.0001,0.5674349,1134869.8000000005,942050.9999999999,-0.0942051,0.3412196,682439.2000000003,528712.0,-0.0528712,2.5,2.5,20.0,10 V,20.0,True,1
11.6412,0.0003999999999999998,-0.0001,0.4561399,1140349.7500000005,953076.9999999999,-0.0953077,0.2696251,674062.7500000003,529427.0,-0.0529427,2.5,2.5,20.0,10 V,20.0,True,1
11.8407,0.0002999999999999998,-0.0001,0.3449667,1149889.0000000007,971333.9999999999,-0.0971334,0.1990698,663566.0000000003,534518.9999999999,-0.0534519,2.5,2.5,20.0,10 V,20.0,True,1
