Tiempo (min),I pulso (mA),I bias (mA),Vinst 1 (V),Rinst 1 (Ohm),Rrem 1 (Ohm),Vbias 1 (V),Vinst 2 (V),Rinst 2 (Ohm),Rrem 2 (Ohm),Vbias 2 (V),Ancho pulso (s),Periodo (s),Vcc (V),Vrange,NPLC,Ch2?,N bias
0.0841,0.0,0.0001,5.33e-05,nan,1103342.9999999998,0.1103343,9.3e-06,nan,581081.0,0.0581081,1.0,1.0,20.0,10 V,20.0,True,1
0.1836,0.0001,0.0001,0.1119951,1119951.0,1129331.9999999998,0.1129332,0.0589798,589797.9999999999,596908.0,0.0596908,1.0,1.0,20.0,10 V,20.0,True,1
0.2832,0.0002,0.0001,0.2235944,1117972.0,1156805.9999999998,0.1156806,0.1205216,602608.0,615747.9999999999,0.0615748,1.0,1.0,20.0,10 V,20.0,True,1
0.3827,0.00030000000000000003,0.0001,0.332897,1109656.6666666665,1187513.9999999998,0.1187514,0.1829186,609728.6666666665,636178.0,0.0636178,1.0,1.0,20.0,10 V,20.0,True,1
0.4822,0.0004,0.0001,0.4405534,1101383.4999999998,1219591.0,0.1219591,0.2446927,611731.75,658911.9999999999,0.0658912,1.0,1.0,20.0,10 V,20.0,True,1
0.5817,0.0005,0.0001,0.544948,1089896.0,1251552.9999999998,0.1251553,0.3066206,613241.2000000001,685417.9999999999,0.0685418,1.0,1.0,20.0,10 V,20.0,True,1
0.6811,0.0006000000000000001,0.0001,0.6475562,1079260.3333333333,1285235.0,0.1285235,0.3702995,617165.8333333333,710554.9999999999,0.0710555,1.0,1.0,20.0,10 V,20.0,True,1
0.7806,0.0007000000000000001,0.0001,0.749238,1070339.9999999998,1313716.0,0.1313716,0.4376449,625206.9999999999,735631.9999999999,0.0735632,1.0,1.0,20.0,10 V,20.0,True,1
0.8801,0.0008000000000000001,0.0001,0.849389,1061736.2499999998,1340689.9999999998,0.134069,0.5034882,629360.2499999999,756787.0,0.0756787,1.0,1.0,20.0,10 V,20.0,True,1
0.9797,0.0009000000000000002,0.0001,0.9473601,1052622.3333333333,1357314.0,0.1357314,0.5601682,622409.111111111,768858.0,0.0768858,1.0,1.0,20.0,10 V,20.0,True,1
1.0790,0.001,0.0001,1.0386054,1038605.4,1374350.0,0.137435,0.612864,612864.0,783116.9999999999,0.0783117,1.0,1.0,20.0,10 V,20.0,True,1
1.1785,0.0009,0.0001,0.9613314,1068146.0,1379112.9999999998,0.1379113,0.5762644,640293.7777777779,792575.9999999999,0.0792576,1.0,1.0,20.0,10 V,20.0,True,1
1.2780,0.0007999999999999999,0.0001,0.8765035,1095629.375,1379827.9999999998,0.1379828,0.5345968,668246.0,797777.9999999999,0.0797778,1.0,1.0,20.0,10 V,20.0,True,1
1.3775,0.0006999999999999999,0.0001,0.7836758,1119536.8571428575,1381483.0,0.1381483,0.4853375,693339.2857142858,804047.9999999999,0.0804048,1.0,1.0,20.0,10 V,20.0,True,1
1.4771,0.0005999999999999998,0.0001,0.6858379,1143063.166666667,1374520.9999999998,0.1374521,0.4299916,716652.6666666667,807286.9999999999,0.0807287,1.0,1.0,20.0,10 V,20.0,True,1
1.5766,0.0004999999999999998,0.0001,0.5822817,1164563.4000000006,1372305.0,0.1372305,0.365602,731204.0000000003,809745.0,0.0809745,1.0,1.0,20.0,10 V,20.0,True,1
1.6761,0.0003999999999999998,0.0001,0.4743852,1185963.0000000005,1357336.0,0.1357336,0.2944431,736107.7500000003,802754.9999999999,0.0802755,1.0,1.0,20.0,10 V,20.0,True,1
1.7757,0.0002999999999999998,0.0001,0.3614754,1204918.0000000007,1334519.9999999998,0.133452,0.2220398,740132.6666666671,788621.9999999999,0.0788622,1.0,1.0,20.0,10 V,20.0,True,1
1.8754,0.00019999999999999982,0.0001,0.2455918,1227959.000000001,1310245.9999999998,0.1310246,0.1482234,741117.0000000007,771580.0,0.077158,1.0,1.0,20.0,10 V,20.0,True,1
1.9749,9.999999999999982e-05,0.0001,0.1287694,1287694.0000000023,1273884.9999999998,0.1273885,0.0754642,754642.0000000013,746316.9999999999,0.0746317,1.0,1.0,20.0,10 V,20.0,True,1
2.0746,-1.8973538018496328e-19,0.0001,0.1265856,nan,1261583.0,0.1261583,0.0738761,nan,732893.0,0.0732893,1.0,1.0,20.0,10 V,20.0,True,1
2.1741,-0.0001000000000000002,0.0001,-0.0949739,949738.9999999981,1207372.0,0.1207372,-0.0552183,552182.999999999,700844.0,0.0700844,1.0,1.0,20.0,10 V,20.0,True,1
2.2738,-0.0002000000000000002,0.0001,-0.2000659,1000329.499999999,1163972.0,0.1163972,-0.1109103,554551.4999999994,669403.9999999999,0.0669404,1.0,1.0,20.0,10 V,20.0,True,1
2.3733,-0.0003000000000000002,0.0001,-0.3016121,1005373.6666666659,1124680.0,0.112468,-0.1610709,536902.9999999997,641831.0,0.0641831,1.0,1.0,20.0,10 V,20.0,True,1
2.4730,-0.0004000000000000002,0.0001,-0.4027539,1006884.7499999995,1084206.0,0.1084206,-0.2082446,520611.49999999977,613703.0,0.0613703,1.0,1.0,20.0,10 V,20.0,True,1
2.5725,-0.0005000000000000002,0.0001,-0.5024485,1004896.9999999995,1044132.9999999999,0.1044133,-0.251942,503883.9999999998,585243.9999999999,0.0585244,1.0,1.0,20.0,10 V,20.0,True,1
2.6721,-0.0006000000000000003,0.0001,-0.5999795,999965.8333333328,1007090.0,0.100709,-0.2933605,488934.16666666645,559199.9999999999,0.05592,1.0,1.0,20.0,10 V,20.0,True,1
2.7218,-0.0006000000000000003,0.0001,-0.5999795,999965.8333333328,1090942.0,0.1090942,-0.2933605,488934.16666666645,591903.9999999999,0.0591904,1.0,1.0,20.0,10 V,20.0,True,1
2.7716,-0.0006000000000000003,0.0001,-0.5999795,999965.8333333328,1116052.0,0.1116052,-0.2933605,488934.16666666645,606454.9999999999,0.0606455,1.0,1.0,20.0,10 V,20.0,True,1
2.8213,-0.0006000000000000003,0.0001,-0.5999795,999965.8333333328,1130619.0,0.1130619,-0.2933605,488934.16666666645,616611.9999999999,0.0616612,1.0,1.0,20.0,10 V,20.0,True,1
2.8712,-0.0006000000000000003,0.0001,-0.5999795,999965.8333333328,1143069.0,0.1143069,-0.2933605,488934.16666666645,624849.9999999999,0.062485,1.0,1.0,20.0,10 V,20.0,True,1
2.9210,-0.0006000000000000003,0.0001,-0.5999795,999965.8333333328,1148827.0,0.1148827,-0.2933605,488934.16666666645,629370.0,0.062937,1.0,1.0,20.0,10 V,20.0,True,1
2.9707,-0.0006000000000000003,0.0001,-0.5999795,999965.8333333328,1153556.0,0.1153556,-0.2933605,488934.16666666645,634451.0,0.0634451,1.0,1.0,20.0,10 V,20.0,True,1
3.0205,-0.0006000000000000003,0.0001,-0.5999795,999965.8333333328,1159132.9999999998,0.1159133,-0.2933605,488934.16666666645,636250.0,0.063625,1.0,1.0,20.0,10 V,20.0,True,1
3.0703,-0.0006000000000000003,0.0001,-0.5999795,999965.8333333328,1162591.9999999998,0.1162592,-0.2933605,488934.16666666645,640500.9999999999,0.0640501,1.0,1.0,20.0,10 V,20.0,True,1
3.1202,-0.0006000000000000003,0.0001,-0.5999795,999965.8333333328,1166282.0,0.1166282,-0.2933605,488934.16666666645,643465.0,0.0643465,1.0,1.0,20.0,10 V,20.0,True,1
3.1700,-0.0006000000000000003,0.0001,-0.5999795,999965.8333333328,1168371.0,0.1168371,-0.2933605,488934.16666666645,645681.0,0.0645681,1.0,1.0,20.0,10 V,20.0,True,1
3.2198,-0.0006000000000000003,0.0001,-0.5999795,999965.8333333328,1172039.0,0.1172039,-0.2933605,488934.16666666645,647555.9999999999,0.0647556,1.0,1.0,20.0,10 V,20.0,True,1
3.2696,-0.0006000000000000003,0.0001,-0.5999795,999965.8333333328,1174492.0,0.1174492,-0.2933605,488934.16666666645,650333.0,0.0650333,1.0,1.0,20.0,10 V,20.0,True,1
3.3194,-0.0006000000000000003,0.0001,-0.5999795,999965.8333333328,1175399.0,0.1175399,-0.2933605,488934.16666666645,651125.0,0.0651125,1.0,1.0,20.0,10 V,20.0,True,1
3.3691,-0.0006000000000000003,0.0001,-0.5999795,999965.8333333328,1175888.9999999998,0.1175889,-0.2933605,488934.16666666645,651806.9999999999,0.0651807,1.0,1.0,20.0,10 V,20.0,True,1
3.4189,-0.0006000000000000003,0.0001,-0.5999795,999965.8333333328,1178127.0,0.1178127,-0.2933605,488934.16666666645,653528.0,0.0653528,1.0,1.0,20.0,10 V,20.0,True,1
3.4687,-0.0006000000000000003,0.0001,-0.5999795,999965.8333333328,1177484.0,0.1177484,-0.2933605,488934.16666666645,653402.0,0.0653402,1.0,1.0,20.0,10 V,20.0,True,1
3.5683,-0.0007000000000000003,0.0001,-0.6835486,976497.9999999995,1028563.9999999999,0.1028564,-0.3374984,482140.5714285712,577176.9999999999,0.0577177,1.0,1.0,20.0,10 V,20.0,True,1
3.6678,-0.0008000000000000004,0.0001,-0.7802943,975367.8749999995,964558.9999999999,0.0964559,-0.3739677,467459.62499999977,534486.0,0.0534486,1.0,1.0,20.0,10 V,20.0,True,1
3.7674,-0.0009000000000000004,0.0001,-0.8721355,969039.444444444,916793.0,0.0916793,-0.4075074,452785.9999999998,497580.99999999994,0.0497581,1.0,1.0,20.0,10 V,20.0,True,1
3.8669,-0.001,0.0001,-0.9641198,964119.8,878073.0,0.0878073,-0.4393135,439313.50000000006,468309.0,0.0468309,1.0,1.0,20.0,10 V,20.0,True,1
3.9666,-0.0009,0.0001,-0.8881256,986806.2222222222,868519.9999999999,0.086852,-0.3971579,441286.55555555556,453454.99999999994,0.0453455,1.0,1.0,20.0,10 V,20.0,True,1
4.0663,-0.0007999999999999999,0.0001,-0.8066356,1008294.5,868129.9999999999,0.086813,-0.3558373,444796.62500000006,446817.99999999994,0.0446818,1.0,1.0,20.0,10 V,20.0,True,1
4.1659,-0.0006999999999999999,0.0001,-0.7182168,1026024.0000000002,874179.0,0.0874179,-0.3153376,450482.2857142858,444150.99999999994,0.0444151,1.0,1.0,20.0,10 V,20.0,True,1
4.2655,-0.0005999999999999998,0.0001,-0.6257369,1042894.8333333336,885321.0,0.0885321,-0.2743415,457235.8333333335,446565.0,0.0446565,1.0,1.0,20.0,10 V,20.0,True,1
4.3649,-0.0004999999999999998,0.0001,-0.528753,1057506.0000000005,898210.9999999999,0.0898211,-0.2334893,466978.60000000027,451382.0,0.0451382,1.0,1.0,20.0,10 V,20.0,True,1
4.4645,-0.0003999999999999998,0.0001,-0.4283316,1070829.0000000005,918546.9999999999,0.0918547,-0.1910412,477603.0000000002,460339.99999999994,0.046034,1.0,1.0,20.0,10 V,20.0,True,1
4.5640,-0.0002999999999999998,0.0001,-0.3243822,1081274.0000000007,940878.9999999999,0.0940879,-0.1472046,490682.00000000023,471717.99999999994,0.0471718,1.0,1.0,20.0,10 V,20.0,True,1
4.6636,-0.00019999999999999982,0.0001,-0.2191551,1095775.500000001,970464.9999999999,0.0970465,-0.101302,506510.00000000047,487011.99999999994,0.0487012,1.0,1.0,20.0,10 V,20.0,True,1
4.7632,-9.999999999999982e-05,0.0001,-0.1118891,1118891.000000002,1000759.9999999999,0.100076,-0.0532127,532127.0000000009,504785.0,0.0504785,1.0,1.0,20.0,10 V,20.0,True,1
4.8627,1.8973538018496328e-19,0.0001,0.103496,nan,1051865.0,0.1051865,0.0522927,nan,534327.0,0.0534327,1.0,1.0,20.0,10 V,20.0,True,1
4.9623,0.0001000000000000002,0.0001,0.1063325,1063324.999999998,1072531.0,0.1072531,0.0544039,544038.999999999,551434.9999999999,0.0551435,1.0,1.0,20.0,10 V,20.0,True,1
5.0618,0.0002000000000000002,0.0001,0.2166417,1083208.4999999988,1104850.0,0.110485,0.1140127,570063.4999999994,573393.0,0.0573393,1.0,1.0,20.0,10 V,20.0,True,1
5.1615,0.0003000000000000002,0.0001,0.3267005,1089001.666666666,1140836.9999999998,0.1140837,0.175873,586243.3333333329,599702.0,0.0599702,1.0,1.0,20.0,10 V,20.0,True,1
5.2609,0.0004000000000000002,0.0001,0.4349337,1087334.2499999995,1177440.0,0.117744,0.2389592,597397.9999999998,626280.0,0.062628,1.0,1.0,20.0,10 V,20.0,True,1
5.3604,0.0005000000000000002,0.0001,0.5414301,1082860.1999999997,1213767.0,0.1213767,0.302373,604745.9999999998,652845.9999999999,0.0652846,1.0,1.0,20.0,10 V,20.0,True,1
5.4600,0.0006000000000000003,0.0001,0.6450012,1075001.9999999995,1249467.9999999998,0.1249468,0.3664104,610683.9999999998,682448.9999999999,0.0682449,1.0,1.0,20.0,10 V,20.0,True,1
5.5595,0.0007000000000000003,0.0001,0.7466665,1066666.4285714282,1285999.9999999998,0.1286,0.4340484,620069.1428571426,713068.0,0.0713068,1.0,1.0,20.0,10 V,20.0,True,1
5.6592,0.0008000000000000004,0.0001,0.84669,1058362.4999999995,1316631.0,0.1316631,0.5011576,626446.9999999997,736027.9999999999,0.0736028,1.0,1.0,20.0,10 V,20.0,True,1
5.7587,0.0009000000000000004,0.0001,0.9449849,1049983.2222222218,1341465.0,0.1341465,0.5610992,623443.5555555553,757310.0,0.075731,1.0,1.0,20.0,10 V,20.0,True,1
5.8583,0.001,0.0001,1.0366323,1036632.3,1356494.0,0.1356494,0.6129333,612933.3,769688.0,0.0769688,1.0,1.0,20.0,10 V,20.0,True,1
5.9577,0.0009,0.0001,0.9557684,1061964.888888889,1360558.0,0.1360558,0.5747538,638615.3333333334,776088.9999999999,0.0776089,1.0,1.0,20.0,10 V,20.0,True,1
6.0573,0.0007999999999999999,0.0001,0.870247,1087808.75,1370715.0,0.1370715,0.5324416,665552.0,792372.9999999999,0.0792373,1.0,1.0,20.0,10 V,20.0,True,1
6.1570,0.0006999999999999999,0.0001,0.779189,1113127.1428571432,1371699.9999999998,0.13717,0.4844856,692122.2857142859,798664.0,0.0798664,1.0,1.0,20.0,10 V,20.0,True,1
6.2563,0.0005999999999999998,0.0001,0.6817872,1136312.0000000002,1369191.9999999998,0.1369192,0.4272172,712028.6666666669,801764.9999999999,0.0801765,1.0,1.0,20.0,10 V,20.0,True,1
6.3558,0.0004999999999999998,0.0001,0.5783778,1156755.6000000006,1359277.0,0.1359277,0.3610833,722166.6000000003,801808.9999999999,0.0801809,1.0,1.0,20.0,10 V,20.0,True,1
6.4554,0.0003999999999999998,0.0001,0.4704038,1176009.5000000005,1346237.9999999998,0.1346238,0.2911079,727769.7500000002,793356.9999999999,0.0793357,1.0,1.0,20.0,10 V,20.0,True,1
6.5550,0.0002999999999999998,0.0001,0.3585064,1195021.333333334,1321217.0,0.1321217,0.2185049,728349.6666666671,774330.0,0.077433,1.0,1.0,20.0,10 V,20.0,True,1
6.6048,0.0002999999999999998,0.0001,0.3585064,1195021.333333334,1286268.9999999998,0.1286269,0.2185049,728349.6666666671,753377.9999999999,0.0753378,1.0,1.0,20.0,10 V,20.0,True,1
6.6547,0.0002999999999999998,0.0001,0.3585064,1195021.333333334,1270892.9999999998,0.1270893,0.2185049,728349.6666666671,742296.9999999999,0.0742297,1.0,1.0,20.0,10 V,20.0,True,1
6.7045,0.0002999999999999998,0.0001,0.3585064,1195021.333333334,1260169.9999999998,0.126017,0.2185049,728349.6666666671,733366.0,0.0733366,1.0,1.0,20.0,10 V,20.0,True,1
6.7543,0.0002999999999999998,0.0001,0.3585064,1195021.333333334,1253724.9999999998,0.1253725,0.2185049,728349.6666666671,726822.0,0.0726822,1.0,1.0,20.0,10 V,20.0,True,1
6.8040,0.0002999999999999998,0.0001,0.3585064,1195021.333333334,1245272.9999999998,0.1245273,0.2185049,728349.6666666671,719420.0,0.071942,1.0,1.0,20.0,10 V,20.0,True,1
6.8538,0.0002999999999999998,0.0001,0.3585064,1195021.333333334,1240021.0,0.1240021,0.2185049,728349.6666666671,714970.9999999999,0.0714971,1.0,1.0,20.0,10 V,20.0,True,1
6.9037,0.0002999999999999998,0.0001,0.3585064,1195021.333333334,1235764.0,0.1235764,0.2185049,728349.6666666671,711973.9999999999,0.0711974,1.0,1.0,20.0,10 V,20.0,True,1
6.9534,0.0002999999999999998,0.0001,0.3585064,1195021.333333334,1232091.0,0.1232091,0.2185049,728349.6666666671,708899.9999999999,0.07089,1.0,1.0,20.0,10 V,20.0,True,1
7.0033,0.0002999999999999998,0.0001,0.3585064,1195021.333333334,1227575.9999999998,0.1227576,0.2185049,728349.6666666671,704748.0,0.0704748,1.0,1.0,20.0,10 V,20.0,True,1
7.0532,0.0002999999999999998,0.0001,0.3585064,1195021.333333334,1225612.9999999998,0.1225613,0.2185049,728349.6666666671,703170.0,0.070317,1.0,1.0,20.0,10 V,20.0,True,1
7.1030,0.0002999999999999998,0.0001,0.3585064,1195021.333333334,1222522.0,0.1222522,0.2185049,728349.6666666671,700206.0,0.0700206,1.0,1.0,20.0,10 V,20.0,True,1
7.2026,0.00019999999999999982,0.0001,0.2347617,1173808.500000001,1239222.9999999998,0.1239223,0.1367152,683576.0000000006,709509.9999999999,0.070951,1.0,1.0,20.0,10 V,20.0,True,1
7.3021,9.999999999999982e-05,0.0001,0.1227087,1227087.000000002,1222142.9999999998,0.1222143,0.0703016,703016.0000000013,697731.0,0.0697731,1.0,1.0,20.0,10 V,20.0,True,1
7.4018,-1.8973538018496328e-19,0.0001,0.1218612,nan,1217099.9999999998,0.12171,0.0695377,nan,692775.9999999999,0.0692776,1.0,1.0,20.0,10 V,20.0,True,1
7.4515,-1.8973538018496328e-19,0.0001,0.1218612,nan,1213629.9999999998,0.121363,0.0695377,nan,689136.0,0.0689136,1.0,1.0,20.0,10 V,20.0,True,1
7.5013,-1.8973538018496328e-19,0.0001,0.1218612,nan,1213734.0,0.1213734,0.0695377,nan,688927.0,0.0688927,1.0,1.0,20.0,10 V,20.0,True,1
7.5511,-1.8973538018496328e-19,0.0001,0.1218612,nan,1211584.0,0.1211584,0.0695377,nan,688766.9999999999,0.0688767,1.0,1.0,20.0,10 V,20.0,True,1
7.6009,-1.8973538018496328e-19,0.0001,0.1218612,nan,1209400.9999999998,0.1209401,0.0695377,nan,686935.9999999999,0.0686936,1.0,1.0,20.0,10 V,20.0,True,1
7.6505,-1.8973538018496328e-19,0.0001,0.1218612,nan,1208285.0,0.1208285,0.0695377,nan,687413.9999999999,0.0687414,1.0,1.0,20.0,10 V,20.0,True,1
7.7002,-1.8973538018496328e-19,0.0001,0.1218612,nan,1208169.0,0.1208169,0.0695377,nan,685995.9999999999,0.0685996,1.0,1.0,20.0,10 V,20.0,True,1
