Tiempo (min),I pulso (mA),I bias (mA),Vinst 1 (V),Rinst 1 (Ohm),Rrem 1 (Ohm),Vbias 1 (V),Vinst 2 (V),Rinst 2 (Ohm),Rrem 2 (Ohm),Vbias 2 (V),Ancho pulso (s),Periodo (s),Vcc (V),Vrange,NPLC,Ch2?,N bias
0.1190,0.0,1e-05,0.006233,nan,9651300.0,0.096513,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
0.2704,1e-05,1e-05,0.096939,9693900.0,9687300.0,0.096873,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
0.4218,2e-05,1e-05,0.190898,9544900.0,9706700.0,0.097067,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
0.5732,3.0000000000000004e-05,1e-05,0.284408,9480266.666666666,9707800.0,0.097078,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
0.7246,4e-05,1e-05,0.377698,9442450.0,9717200.0,0.097172,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
0.8759,5e-05,1e-05,0.47086,9417200.0,9668500.0,0.096685,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
1.0273,6e-05,1e-05,0.563176,9386266.666666666,9655200.0,0.096552,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
1.1788,7.000000000000001e-05,1e-05,0.654685,9352642.857142856,9654700.0,0.096547,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
1.3303,8e-05,1e-05,0.747786,9347325.0,9652500.0,0.096525,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
1.4816,9e-05,1e-05,0.840611,9340122.22222222,9655800.0,0.096558,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
1.6329,0.0001,1e-05,0.933651,9336510.0,9676200.0,0.096762,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
1.7842,9e-05,1e-05,0.842275,9358611.11111111,9700000.0,0.097,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
1.9355,8e-05,1e-05,0.749202,9365025.0,9692300.0,0.096923,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
2.0868,7.000000000000001e-05,1e-05,0.656709,9381557.142857142,9686700.0,0.096867,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
2.2381,6.000000000000001e-05,1e-05,0.564442,9407366.666666666,9704400.0,0.097044,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
2.3894,5.000000000000001e-05,1e-05,0.473343,9466859.999999998,9834400.0,0.098344,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
2.5407,4.000000000000001e-05,1e-05,0.378101,9452524.999999996,9701700.0,0.097017,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
2.6920,3.000000000000001e-05,1e-05,0.284154,9471799.999999998,9721000.0,0.09721,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
2.8435,2.0000000000000012e-05,1e-05,0.19071,9535499.999999993,9757000.0,0.09757,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
2.9951,1.0000000000000011e-05,1e-05,0.097326,9732599.999999989,9713800.0,0.097138,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
3.1466,1.0164395367051604e-20,1e-05,0.097432,nan,9728800.0,0.097288,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
3.2980,-9.99999999999999e-06,1e-05,-0.087864,nan,9728200.0,0.097282,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
3.4493,-1.999999999999999e-05,1e-05,-0.181906,9095300.000000006,9696100.0,0.096961,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
3.6006,-2.999999999999999e-05,1e-05,-0.27535,9178333.333333336,9652500.0,0.096525,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
3.7521,-3.999999999999999e-05,1e-05,-0.368695,9217375.000000002,9701700.0,0.097017,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
3.9036,-4.999999999999999e-05,1e-05,-0.461951,9239020.000000002,9680700.0,0.096807,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
4.0550,-5.999999999999999e-05,1e-05,-0.555522,9258700.0,9694500.0,0.096945,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
4.2064,-7e-05,1e-05,-0.64812,9258857.142857144,9680100.0,0.096801,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
4.3580,-7.999999999999999e-05,1e-05,-0.740928,9261600.000000002,9679600.0,0.096796,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
4.5094,-8.999999999999999e-05,1e-05,-0.834787,9275411.11111111,9713800.0,0.097138,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
4.6608,-9.999999999999999e-05,1e-05,-0.924737,9247370.0,9724300.0,0.097243,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
4.8122,-0.0001,1e-05,-0.925566,9255660.0,9952200.0,0.099522,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
4.9638,-9e-05,1e-05,-0.831845,9242722.22222222,9713300.0,0.097133,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
5.1151,9.999999999999999e-06,1e-05,0.097465,nan,9722100.0,0.097221,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
5.2665,0.00011,1e-05,1.026697,9333609.09090909,9738200.0,0.097382,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
5.4178,0.00021,1e-05,1.939035,9233500.0,9768600.0,0.097686,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
5.5691,0.00031,1e-05,2.83406,9142129.032258065,9762000.0,0.09762,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
5.7206,0.00041,1e-05,3.712862,9055760.975609755,9776300.0,0.097763,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
5.8719,0.00051,1e-05,4.571349,8963429.411764704,9905200.0,0.099052,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
6.0232,0.0006100000000000001,1e-05,5.410516,8869698.360655736,9793500.0,0.097935,nan,nan,nan,nan,2.0,2.0,20.0,100 V,20.0,False,1
