Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
150.000000E+0,11.926680E+3,19.017220E+3,-52.394500E+3,2.204900E+3,100.000000E+0
200.000000E+0,-647.440000E+0,2.459290E+3,-59.479600E+3,542.900000E+0,100.000000E+0
250.000000E+0,-18.659650E+3,4.387750E+3,-56.352350E+3,6.164450E+3,100.000000E+0
300.000000E+0,-15.223450E+3,3.370650E+3,-42.059450E+3,2.618550E+3,100.000000E+0
400.000000E+0,-16.524000E+3,887.800000E+0,-31.571650E+3,1.303950E+3,100.000000E+0
500.000000E+0,-17.752450E+3,590.850000E+0,-26.598800E+3,747.000000E+0,100.000000E+0
600.000000E+0,-19.491650E+3,13.050000E+0,-19.605150E+3,564.450000E+0,100.000000E+0
750.000000E+0,-21.255900E+3,73.400000E+0,-12.666000E+3,400.100000E+0,100.000000E+0
1.000000E+3,-20.244250E+3,114.950000E+0,-6.499215E+3,177.425000E+0,100.000000E+0
1.200000E+3,-19.579100E+3,25.000000E+0,-1.691755E+3,495.015000E+0,100.000000E+0
1.500000E+3,-17.137950E+3,1.050000E+0,2.299340E+3,212.410000E+0,100.000000E+0
2.000000E+3,-13.413250E+3,31.650000E+0,5.062715E+3,67.305000E+0,100.000000E+0
2.500000E+3,-10.442600E+3,91.300000E+0,6.138330E+3,350.440000E+0,100.000000E+0
3.000000E+3,-8.623610E+3,182.840000E+0,6.212170E+3,119.340000E+0,100.000000E+0
4.000000E+3,-6.268995E+3,377.855000E+0,5.469775E+3,598.475000E+0,100.000000E+0
5.000000E+3,-3.889960E+3,13.170000E+0,5.938015E+3,25.405000E+0,100.000000E+0
6.000000E+3,-2.964205E+3,55.415000E+0,5.233110E+3,18.560000E+0,100.000000E+0
7.500000E+3,-2.067940E+3,19.640000E+0,4.445955E+3,4.785000E+0,100.000000E+0
10.000000E+3,-1.286780E+3,115.110000E+0,3.489560E+3,62.180000E+0,100.000000E+0
12.000000E+3,-967.274500E+0,118.815500E+0,2.957670E+3,55.000000E+0,100.000000E+0
15.000000E+3,-492.941500E+0,958.500000E-3,2.491570E+3,3.640000E+0,100.000000E+0
20.000000E+3,-278.970500E+0,9.185500E+0,1.892390E+3,1.890000E+0,100.000000E+0
25.000000E+3,-184.499500E+0,747.500000E-3,1.524820E+3,520.000000E-3,100.000000E+0
30.000000E+3,-132.880000E+0,1.309000E+0,1.275180E+3,350.000000E-3,100.000000E+0
40.000000E+3,-79.073750E+0,1.178750E+0,959.636000E+0,58.000000E-3,100.000000E+0
50.000000E+3,-52.473950E+0,131.350000E-3,769.488500E+0,13.500006E-3,100.000000E+0
60.000000E+3,-39.362350E+0,125.550000E-3,642.573500E+0,131.500000E-3,100.000000E+0
75.000000E+3,-28.240500E+0,392.400000E-3,514.424000E+0,117.000000E-3,100.000000E+0
100.000000E+3,-19.760600E+0,71.300000E-3,386.483500E+0,38.500000E-3,100.000000E+0
120.000000E+3,-16.391650E+0,20.650000E-3,322.200500E+0,52.500000E-3,100.000000E+0
150.000000E+3,-13.193950E+0,147.250000E-3,257.942000E+0,13.000000E-3,100.000000E+0
200.000000E+3,-11.086250E+0,14.950000E-3,193.633500E+0,23.500000E-3,100.000000E+0
