Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
150.000000E+0,150.736300E+3,98.397700E+3,-281.225000E+3,99.099000E+3,100.000000E+0
200.000000E+0,23.787350E+3,346.650000E+0,-168.175500E+3,2.015500E+3,100.000000E+0
250.000000E+0,730.740000E+0,9.454160E+3,-124.303500E+3,5.001500E+3,100.000000E+0
300.000000E+0,-33.067450E+3,2.053450E+3,-129.612000E+3,3.267000E+3,100.000000E+0
400.000000E+0,-4.208142E+3,4.826798E+3,-83.798700E+3,2.735900E+3,100.000000E+0
500.000000E+0,-13.168400E+3,1.498700E+3,-60.650450E+3,744.950000E+0,100.000000E+0
600.000000E+0,-15.712250E+3,587.350000E+0,-49.463400E+3,1.590000E+3,100.000000E+0
750.000000E+0,-13.588950E+3,1.412550E+3,-35.907750E+3,929.950000E+0,100.000000E+0
1.000000E+3,-12.404500E+3,52.400000E+0,-23.229500E+3,700.500000E+0,100.000000E+0
1.200000E+3,-9.644865E+3,597.135000E+0,-16.851050E+3,74.250000E+0,100.000000E+0
1.500000E+3,-7.390650E+3,87.640000E+0,-11.905000E+3,335.400000E+0,100.000000E+0
2.000000E+3,-4.900015E+3,50.765000E+0,-7.813295E+3,259.215000E+0,100.000000E+0
2.500000E+3,-3.383330E+3,13.690000E+0,-5.502135E+3,99.065000E+0,100.000000E+0
3.000000E+3,-2.545570E+3,68.310000E+0,-4.293275E+3,90.705000E+0,100.000000E+0
4.000000E+3,-1.480880E+3,5.800000E+0,-2.937185E+3,8.945000E+0,100.000000E+0
5.000000E+3,-994.617000E+0,7.293000E+0,-2.217715E+3,6.065000E+0,100.000000E+0
6.000000E+3,-716.109000E+0,5.771000E+0,-1.769760E+3,3.840000E+0,100.000000E+0
7.500000E+3,-460.647000E+0,7.478000E+0,-1.386700E+3,12.820000E+0,100.000000E+0
10.000000E+3,-265.723000E+0,1.241000E+0,-1.016695E+3,5.375000E+0,100.000000E+0
12.000000E+3,-187.808500E+0,2.660500E+0,-837.620500E+0,2.153500E+0,100.000000E+0
15.000000E+3,-120.289000E+0,136.000000E-3,-669.965500E+0,516.500000E-3,100.000000E+0
20.000000E+3,-71.091400E+0,103.900000E-3,-497.921000E+0,24.999999E-3,100.000000E+0
25.000000E+3,-47.611650E+0,88.850000E-3,-397.023500E+0,41.500000E-3,100.000000E+0
30.000000E+3,-35.014000E+0,113.500000E-3,-329.796500E+0,688.500000E-3,100.000000E+0
40.000000E+3,-22.843750E+0,147.250000E-3,-245.915500E+0,162.500000E-3,100.000000E+0
50.000000E+3,-16.745800E+0,65.400000E-3,-197.013000E+0,285.000000E-3,100.000000E+0
60.000000E+3,-13.514150E+0,90.550000E-3,-163.830500E+0,111.500000E-3,100.000000E+0
75.000000E+3,-10.919750E+0,26.950000E-3,-130.574500E+0,13.500000E-3,100.000000E+0
100.000000E+3,-8.574695E+0,111.175000E-3,-97.684950E+0,2.150000E-3,100.000000E+0
120.000000E+3,-7.723535E+0,20.685000E-3,-81.265600E+0,36.500000E-3,100.000000E+0
150.000000E+3,-6.841435E+0,26.345000E-3,-64.608800E+0,3.300000E-3,100.000000E+0
200.000000E+3,-6.244545E+0,23.105000E-3,-48.222600E+0,17.400000E-3,100.000000E+0
