Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
300.000000E+0,374.560500E+3,11.071500E+3,-1.300920E+6,64.540000E+3,100.000000E+0
400.000000E+0,204.690000E+3,31.496000E+3,-892.506500E+3,4.951500E+3,100.000000E+0
500.000000E+0,154.376000E+3,29.747000E+3,-749.275500E+3,15.886500E+3,100.000000E+0
600.000000E+0,91.983250E+3,8.232750E+3,-607.021500E+3,6.892500E+3,100.000000E+0
750.000000E+0,64.822850E+3,675.650000E+0,-513.744000E+3,2.646000E+3,100.000000E+0
1.000000E+3,60.007200E+3,2.916000E+3,-386.560000E+3,432.000000E+0,100.000000E+0
1.200000E+3,41.532050E+3,2.175750E+3,-330.591500E+3,3.110500E+3,100.000000E+0
1.500000E+3,30.259250E+3,2.294550E+3,-267.224000E+3,1.238000E+3,100.000000E+0
2.000000E+3,20.710900E+3,1.700100E+3,-203.421000E+3,768.000000E+0,100.000000E+0
2.500000E+3,13.555000E+3,1.176500E+3,-164.505500E+3,911.500000E+0,100.000000E+0
3.000000E+3,10.282450E+3,129.050000E+0,-137.516500E+3,80.500000E+0,100.000000E+0
4.000000E+3,6.658365E+3,175.575000E+0,-104.595500E+3,423.500000E+0,100.000000E+0
5.000000E+3,4.228830E+3,86.650000E+0,-84.012100E+3,1.900000E+0,100.000000E+0
6.000000E+3,3.255330E+3,56.280000E+0,-70.445850E+3,120.150000E+0,100.000000E+0
7.500000E+3,2.102070E+3,35.630000E+0,-56.418550E+3,6.450000E+0,100.000000E+0
10.000000E+3,1.313090E+3,6.380000E+0,-42.569700E+3,46.200000E+0,100.000000E+0
12.000000E+3,1.056575E+3,39.455000E+0,-35.505350E+3,31.450000E+0,100.000000E+0
15.000000E+3,689.082000E+0,12.154000E+0,-28.441450E+3,30.050000E+0,100.000000E+0
20.000000E+3,440.363500E+0,4.479500E+0,-21.393600E+3,8.300000E+0,100.000000E+0
25.000000E+3,318.112000E+0,6.242000E+0,-17.146800E+3,3.400000E+0,100.000000E+0
30.000000E+3,253.421500E+0,2.121500E+0,-14.299750E+3,1.150000E+0,100.000000E+0
40.000000E+3,171.009000E+0,21.000000E-3,-10.741650E+3,149.999978E-3,100.000000E+0
50.000000E+3,127.707000E+0,437.000000E-3,-8.605590E+3,329.999993E-3,100.000000E+0
60.000000E+3,101.766000E+0,1.292000E+0,-7.180450E+3,369.999990E-3,100.000000E+0
75.000000E+3,77.473750E+0,494.050000E-3,-5.752485E+3,844.999997E-3,100.000000E+0
100.000000E+3,56.830700E+0,450.100000E-3,-4.319840E+3,79.999979E-3,100.000000E+0
120.000000E+3,47.551800E+0,198.700000E-3,-3.604205E+3,85.000007E-3,100.000000E+0
150.000000E+3,37.528650E+0,258.050000E-3,-2.886285E+3,235.000004E-3,100.000000E+0
200.000000E+3,28.807750E+0,147.450000E-3,-2.167120E+3,59.999996E-3,100.000000E+0
