Tiempo (s)	Setpoint (K)	Temperatura (K)	dT/dt (K/min)	Potencia_LS (%)	Rrem1 (Ohm)	std Rrem1 (Ohm)	Rrem2 (Ohm)		std Rrem2 (Ohm)	V4W (V)	
28.608636E+0	286.131272E+0	286.040000E+0	0.000000E+0	66.000000E+0	1.000000E+0	1.000000E+0	0.000000E+0	0.000000E+0	99.100000E+36	
33.869937E+0	286.131272E+0	285.820000E+0	0.000000E+0	10.000000E+0	48.767268E+6	48.767268E+6	-2.414634E+45	-2.414634E+45	999.729000E-3	
39.355251E+0	286.218960E+0	285.490000E+0	0.000000E+0	12.000000E+0	7.359260E+6	7.359260E+6	1.203915E+6	1.203915E+6	998.578000E-3	
44.838565E+0	286.310382E+0	285.270000E+0	0.000000E+0	15.000000E+0	6.593684E+6	6.593684E+6	1.097287E+6	1.097287E+6	999.009000E-3	
50.330879E+0	286.401771E+0	284.950000E+0	0.000000E+0	19.000000E+0	8.817596E+6	8.817596E+6	1.421108E+6	1.421108E+6	999.739000E-3	
55.847195E+0	286.493309E+0	284.640000E+0	-999.397684E-3	24.000000E+0	5.977749E+6	5.977749E+6	887.631595E+3	887.631595E+3	999.360000E-3	
61.347509E+0	286.585248E+0	284.210000E+0	-1.983038E+0	30.000000E+0	10.830200E+6	10.830200E+6	1.645498E+6	1.645498E+6	1.001252E+0	
66.848824E+0	286.676920E+0	283.890000E+0	-3.131873E+0	36.000000E+0	5.864042E+6	5.864042E+6	897.954532E+3	897.954532E+3	999.526000E-3	
72.323137E+0	286.768608E+0	283.450000E+0	-3.481286E+0	44.000000E+0	7.564664E+6	7.564664E+6	1.182086E+6	1.182086E+6	999.519000E-3	
77.818451E+0	286.859847E+0	283.020000E+0	-3.863067E+0	51.000000E+0	8.160194E+6	8.160194E+6	1.331260E+6	1.331260E+6	1.000603E+0	
83.383770E+0	286.951435E+0	282.490000E+0	-4.100760E+0	61.000000E+0	8.041048E+6	8.041048E+6	1.218823E+6	1.218823E+6	1.000226E+0	
88.881084E+0	287.000000E+0	282.060000E+0	-4.341335E+0	72.000000E+0	5.443877E+6	5.443877E+6	889.419820E+3	889.419820E+3	999.768000E-3	
94.361397E+0	287.000000E+0	281.740000E+0	-4.728919E+0	78.000000E+0	6.068442E+6	6.068442E+6	987.396637E+3	987.396637E+3	999.533000E-3	
99.854712E+0	287.000000E+0	281.310000E+0	-5.093156E+0	89.000000E+0	10.833756E+6	10.833756E+6	1.777336E+6	1.777336E+6	999.739000E-3	
105.330025E+0	287.000000E+0	280.900000E+0	-4.864607E+0	98.000000E+0	6.444836E+6	6.444836E+6	955.603159E+3	955.603159E+3	999.594000E-3	
110.809338E+0	287.000000E+0	280.580000E+0	-4.471329E+0	100.000000E+0	9.844605E+6	9.844605E+6	1.500548E+6	1.500548E+6	1.000015E+0	
116.295652E+0	287.000000E+0	280.370000E+0	-4.250948E+0	100.000000E+0	6.120576E+6	6.120576E+6	940.581445E+3	940.581445E+3	999.490000E-3	
121.807967E+0	287.000000E+0	280.160000E+0	-4.222031E+0	100.000000E+0	6.666402E+6	6.666402E+6	1.064317E+6	1.064317E+6	999.627000E-3	
