Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
20.000000E+0,2.398672E+6,1.450790E+6,-15.931000E+3,757.310325E+3,100.000000E+0
25.000000E+0,3.114635E+6,338.025070E+3,-765.737250E+3,84.600742E+3,100.000000E+0
30.000000E+0,3.211800E+6,634.299766E+3,-26.906500E+3,1.051973E+6,100.000000E+0
40.000000E+0,811.928650E+3,541.283633E+3,-460.430225E+3,1.072783E+6,100.000000E+0
50.000000E+0,-65.827250E+3,1.090402E+6,255.438000E+3,1.810586E+6,100.000000E+0
60.000000E+0,1.197614E+6,1.241639E+6,-2.377704E+6,1.556552E+6,100.000000E+0
75.000000E+0,4.624878E+6,3.900428E+6,319.364000E+3,3.398089E+6,100.000000E+0
100.000000E+0,679.415750E+3,37.177012E+3,-1.549635E+6,36.308559E+3,100.000000E+0
120.000000E+0,2.213222E+6,507.245874E+3,-1.684086E+6,631.633902E+3,100.000000E+0
150.000000E+0,709.108250E+3,190.394715E+3,-1.347208E+6,289.080643E+3,100.000000E+0
200.000000E+0,907.189250E+3,28.532911E+3,-1.341705E+6,57.707473E+3,100.000000E+0
250.000000E+0,842.285250E+3,165.283528E+3,-1.077105E+6,80.877751E+3,100.000000E+0
300.000000E+0,513.732000E+3,58.513790E+3,-951.012500E+3,20.292790E+3,100.000000E+0
400.000000E+0,241.799250E+3,21.930923E+3,-906.335000E+3,24.960091E+3,100.000000E+0
500.000000E+0,183.817000E+3,15.565989E+3,-716.283000E+3,43.361673E+3,100.000000E+0
600.000000E+0,119.641750E+3,13.326583E+3,-630.720250E+3,11.143262E+3,100.000000E+0
750.000000E+0,101.310675E+3,5.056836E+3,-523.124750E+3,5.957246E+3,100.000000E+0
1.000000E+3,60.018150E+3,3.782210E+3,-396.223500E+3,3.350377E+3,100.000000E+0
1.200000E+3,46.593175E+3,3.283639E+3,-332.462250E+3,771.844341E+0,100.000000E+0
1.500000E+3,33.651425E+3,2.431671E+3,-267.620500E+3,2.275902E+3,100.000000E+0
2.000000E+3,20.940900E+3,1.149381E+3,-205.873250E+3,511.695405E+0,100.000000E+0
2.500000E+3,14.001675E+3,846.577632E+0,-166.689750E+3,1.227592E+3,100.000000E+0
3.000000E+3,10.633725E+3,367.101242E+0,-138.620250E+3,345.145893E+0,100.000000E+0
4.000000E+3,6.391212E+3,191.205023E+0,-105.404000E+3,264.778209E+0,100.000000E+0
5.000000E+3,4.719210E+3,227.117516E+0,-84.345100E+3,130.187960E+0,100.000000E+0
6.000000E+3,3.192270E+3,141.004489E+0,-70.662600E+3,12.015199E+0,100.000000E+0
7.500000E+3,2.141832E+3,84.097668E+0,-56.630800E+3,107.951308E+0,100.000000E+0
10.000000E+3,1.284725E+3,77.596226E+0,-42.647100E+3,32.243837E+0,100.000000E+0
12.000000E+3,991.260500E+0,42.748164E+0,-35.623300E+3,20.344655E+0,100.000000E+0
15.000000E+3,678.806000E+0,25.001171E+0,-28.524250E+3,17.382966E+0,100.000000E+0
20.000000E+3,430.304250E+0,17.708500E+0,-21.449500E+3,13.803442E+0,100.000000E+0
25.000000E+3,308.147750E+0,4.747451E+0,-17.179425E+3,6.225502E+0,100.000000E+0
30.000000E+3,242.680750E+0,5.117848E+0,-14.332000E+3,7.556123E+0,100.000000E+0
40.000000E+3,166.792500E+0,2.131574E+0,-10.769775E+3,2.228649E+0,100.000000E+0
50.000000E+3,124.610000E+0,2.926373E+0,-8.627435E+3,2.139538E+0,100.000000E+0
60.000000E+3,99.066825E+0,1.929526E+0,-7.197490E+3,1.479442E+0,100.000000E+0
75.000000E+3,75.558825E+0,1.315498E+0,-5.765670E+3,1.366437E+0,100.000000E+0
100.000000E+3,55.243725E+0,313.210803E-3,-4.330795E+3,508.355192E-3,100.000000E+0
120.000000E+3,45.921250E+0,595.574720E-3,-3.612057E+3,409.046147E-3,100.000000E+0
150.000000E+3,35.856825E+0,113.674852E-3,-2.892537E+3,306.869273E-3,100.000000E+0
200.000000E+3,27.524775E+0,109.995690E-3,-2.171562E+3,119.032561E-3,100.000000E+0
