Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
20.000000E+0,934.262500E+3,541.154251E+3,-88.051750E+3,145.647524E+3,100.000000E+0
25.000000E+0,1.253112E+6,20.202865E+3,-113.712200E+3,40.606153E+3,100.000000E+0
30.000000E+0,1.323202E+6,30.032747E+3,-28.336800E+3,98.723531E+3,100.000000E+0
40.000000E+0,1.340506E+6,298.449360E+3,-970.111750E+3,89.039651E+3,100.000000E+0
50.000000E+0,1.578200E+6,631.270949E+3,605.801250E+3,172.185689E+3,100.000000E+0
60.000000E+0,1.236010E+6,154.312201E+3,-316.366758E+3,435.024506E+3,100.000000E+0
75.000000E+0,1.165204E+6,201.337550E+3,-305.633500E+3,115.280622E+3,100.000000E+0
100.000000E+0,908.639000E+3,125.872059E+3,-281.696500E+3,69.724002E+3,100.000000E+0
120.000000E+0,944.062000E+3,54.823006E+3,-457.176500E+3,38.559706E+3,100.000000E+0
150.000000E+0,1.090774E+6,216.410083E+3,-693.131500E+3,76.893898E+3,100.000000E+0
200.000000E+0,858.934250E+3,17.624218E+3,-599.601250E+3,34.560077E+3,100.000000E+0
250.000000E+0,803.206750E+3,22.099616E+3,-494.988000E+3,37.852494E+3,100.000000E+0
300.000000E+0,626.068250E+3,24.099798E+3,-502.552750E+3,16.509720E+3,100.000000E+0
400.000000E+0,477.522500E+3,13.505411E+3,-621.918250E+3,8.448008E+3,100.000000E+0
500.000000E+0,378.481750E+3,21.537774E+3,-533.453250E+3,19.199612E+3,100.000000E+0
600.000000E+0,280.840750E+3,7.378606E+3,-511.073750E+3,15.875897E+3,100.000000E+0
750.000000E+0,204.851000E+3,8.935451E+3,-453.451250E+3,10.399404E+3,100.000000E+0
1.000000E+3,132.612750E+3,1.333036E+3,-365.483250E+3,4.125882E+3,100.000000E+0
1.200000E+3,99.811650E+3,3.327021E+3,-313.805000E+3,3.746405E+3,100.000000E+0
1.500000E+3,66.039750E+3,2.392932E+3,-261.375250E+3,1.642482E+3,100.000000E+0
2.000000E+3,40.525475E+3,872.492459E+0,-204.049250E+3,1.156550E+3,100.000000E+0
2.500000E+3,25.649825E+3,456.778865E+0,-165.270250E+3,1.214700E+3,100.000000E+0
3.000000E+3,18.715325E+3,558.064671E+0,-138.203250E+3,378.698676E+0,100.000000E+0
4.000000E+3,10.828825E+3,380.438861E+0,-104.747000E+3,147.614362E+0,100.000000E+0
5.000000E+3,7.472390E+3,157.560534E+0,-84.515475E+3,239.582453E+0,100.000000E+0
6.000000E+3,5.310837E+3,143.425629E+0,-70.690725E+3,191.885635E+0,100.000000E+0
7.500000E+3,3.368565E+3,128.333950E+0,-56.615750E+3,67.897331E+0,100.000000E+0
10.000000E+3,2.048562E+3,46.206582E+0,-42.724650E+3,45.950707E+0,100.000000E+0
12.000000E+3,1.465860E+3,16.579166E+0,-35.620725E+3,12.257115E+0,100.000000E+0
15.000000E+3,976.340750E+0,11.542476E+0,-28.530150E+3,27.870908E+0,100.000000E+0
20.000000E+3,590.361250E+0,7.149870E+0,-21.455200E+3,11.697649E+0,100.000000E+0
25.000000E+3,430.719250E+0,6.577355E+0,-17.196675E+3,8.920867E+0,100.000000E+0
30.000000E+3,321.035250E+0,2.059008E+0,-14.343125E+3,4.021427E+0,100.000000E+0
40.000000E+3,205.591250E+0,2.481056E+0,-10.778975E+3,3.394389E+0,100.000000E+0
50.000000E+3,149.673500E+0,2.839090E+0,-8.632290E+3,407.492315E-3,100.000000E+0
60.000000E+3,116.840750E+0,807.827759E-3,-7.201417E+3,1.025509E+0,100.000000E+0
75.000000E+3,85.063425E+0,883.904116E-3,-5.767795E+3,948.274749E-3,100.000000E+0
100.000000E+3,60.054575E+0,440.571461E-3,-4.331800E+3,773.789381E-3,100.000000E+0
120.000000E+3,48.336500E+0,456.968834E-3,-3.612425E+3,625.679633E-3,100.000000E+0
150.000000E+3,37.148775E+0,339.034522E-3,-2.892525E+3,256.758642E-3,100.000000E+0
200.000000E+3,27.660425E+0,253.655735E-3,-2.171520E+3,186.681548E-3,100.000000E+0
