Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
20.000000E+0,1.103920E+6,642.343488E+3,-65.490000E+3,136.871497E+3,100.000000E+0
25.000000E+0,1.484755E+6,78.469248E+3,-119.412125E+3,37.224151E+3,100.000000E+0
30.000000E+0,1.349540E+6,75.785358E+3,-300.202250E+3,67.401013E+3,100.000000E+0
40.000000E+0,1.090502E+6,248.279219E+3,-218.031075E+3,753.058006E+3,100.000000E+0
50.000000E+0,1.710628E+6,1.308378E+6,166.442500E+3,1.069423E+6,100.000000E+0
60.000000E+0,1.336430E+6,227.034007E+3,-686.676200E+3,565.278523E+3,100.000000E+0
75.000000E+0,1.733460E+6,436.932351E+3,-205.531350E+3,140.152679E+3,100.000000E+0
100.000000E+0,1.398608E+6,354.413338E+3,-864.092250E+3,954.724252E+3,100.000000E+0
120.000000E+0,1.008898E+6,106.581328E+3,-228.123250E+3,77.589402E+3,100.000000E+0
150.000000E+0,1.242481E+6,229.561100E+3,-815.292750E+3,176.028520E+3,100.000000E+0
200.000000E+0,932.514750E+3,46.361150E+3,-738.579000E+3,23.043137E+3,100.000000E+0
250.000000E+0,783.021000E+3,142.115655E+3,-1.046065E+6,137.564733E+3,100.000000E+0
300.000000E+0,689.870750E+3,29.481636E+3,-910.950250E+3,51.762576E+3,100.000000E+0
400.000000E+0,462.418000E+3,18.044552E+3,-673.336750E+3,21.748958E+3,100.000000E+0
500.000000E+0,349.181500E+3,10.773605E+3,-645.204250E+3,13.349446E+3,100.000000E+0
600.000000E+0,260.472250E+3,17.882143E+3,-562.327250E+3,15.390716E+3,100.000000E+0
750.000000E+0,178.141000E+3,4.341122E+3,-474.299500E+3,14.236038E+3,100.000000E+0
1.000000E+3,106.808000E+3,3.741757E+3,-380.957250E+3,2.986695E+3,100.000000E+0
1.200000E+3,84.429550E+3,2.910953E+3,-324.421750E+3,1.365001E+3,100.000000E+0
1.500000E+3,57.744475E+3,922.002501E+0,-265.240750E+3,3.609734E+3,100.000000E+0
2.000000E+3,34.116725E+3,1.151533E+3,-203.544000E+3,1.244209E+3,100.000000E+0
2.500000E+3,23.324275E+3,1.427605E+3,-164.994000E+3,1.128975E+3,100.000000E+0
3.000000E+3,17.463100E+3,477.620367E+0,-138.590500E+3,569.021309E+0,100.000000E+0
4.000000E+3,9.527085E+3,214.216959E+0,-105.076250E+3,281.752884E+0,100.000000E+0
5.000000E+3,6.831312E+3,162.984204E+0,-84.397750E+3,277.728577E+0,100.000000E+0
6.000000E+3,4.648793E+3,71.236520E+0,-70.740825E+3,136.999843E+0,100.000000E+0
7.500000E+3,2.924070E+3,38.698957E+0,-56.636550E+3,3.072865E+0,100.000000E+0
10.000000E+3,1.874800E+3,25.253162E+0,-42.609575E+3,28.702123E+0,100.000000E+0
12.000000E+3,1.314162E+3,39.005874E+0,-35.564475E+3,42.632697E+0,100.000000E+0
15.000000E+3,897.301250E+0,22.882618E+0,-28.502250E+3,31.487339E+0,100.000000E+0
20.000000E+3,545.594500E+0,10.308754E+0,-21.405400E+3,16.279588E+0,100.000000E+0
25.000000E+3,390.937250E+0,3.727890E+0,-17.155925E+3,5.565238E+0,100.000000E+0
30.000000E+3,296.612500E+0,4.388881E+0,-14.316075E+3,5.023134E+0,100.000000E+0
40.000000E+3,190.013500E+0,2.279302E+0,-10.752700E+3,4.229066E+0,100.000000E+0
50.000000E+3,140.856750E+0,1.759052E+0,-8.612050E+3,1.914772E+0,100.000000E+0
60.000000E+3,112.645000E+0,946.603138E-3,-7.184385E+3,2.319068E+0,100.000000E+0
75.000000E+3,82.710200E+0,864.480870E-3,-5.755360E+3,1.483189E+0,100.000000E+0
100.000000E+3,60.208675E+0,397.887329E-3,-4.322547E+3,408.618100E-3,100.000000E+0
120.000000E+3,48.214425E+0,394.860414E-3,-3.605660E+3,160.623787E-3,100.000000E+0
150.000000E+3,37.775575E+0,386.123396E-3,-2.887158E+3,619.732804E-3,100.000000E+0
200.000000E+3,28.917325E+0,36.447385E-3,-2.167075E+3,191.115146E-3,100.000000E+0
