Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
20.000000E+0,1.055292E+6,611.937680E+3,-49.150125E+3,179.131992E+3,100.000000E+0
25.000000E+0,1.458695E+6,32.532287E+3,-128.643600E+3,45.794593E+3,100.000000E+0
30.000000E+0,1.498760E+6,186.268831E+3,-184.505500E+3,208.143477E+3,100.000000E+0
40.000000E+0,879.275250E+3,43.181778E+3,-649.595750E+3,136.701767E+3,100.000000E+0
50.000000E+0,926.068000E+3,93.676985E+3,-534.702750E+3,714.817594E+3,100.000000E+0
60.000000E+0,1.253622E+6,173.455450E+3,-211.748675E+3,231.280067E+3,100.000000E+0
75.000000E+0,1.621010E+6,293.754143E+3,-286.391200E+3,207.252698E+3,100.000000E+0
100.000000E+0,1.190099E+6,225.896317E+3,-965.505500E+3,971.581334E+3,100.000000E+0
120.000000E+0,1.072584E+6,121.292042E+3,-619.076250E+3,180.648425E+3,100.000000E+0
150.000000E+0,899.861500E+3,133.130132E+3,-841.199750E+3,231.833187E+3,100.000000E+0
200.000000E+0,931.471000E+3,45.869311E+3,-698.854250E+3,16.535563E+3,100.000000E+0
250.000000E+0,698.019750E+3,60.917002E+3,-653.390250E+3,60.357334E+3,100.000000E+0
300.000000E+0,650.959750E+3,10.627394E+3,-674.348500E+3,28.222477E+3,100.000000E+0
400.000000E+0,434.823250E+3,20.677380E+3,-652.813000E+3,39.228391E+3,100.000000E+0
500.000000E+0,370.924000E+3,19.202869E+3,-608.725750E+3,49.223129E+3,100.000000E+0
600.000000E+0,270.728250E+3,19.018805E+3,-522.767250E+3,5.521350E+3,100.000000E+0
750.000000E+0,191.575750E+3,6.158897E+3,-461.483250E+3,15.382711E+3,100.000000E+0
1.000000E+3,121.521750E+3,5.219474E+3,-369.424250E+3,4.776376E+3,100.000000E+0
1.200000E+3,93.843700E+3,2.704244E+3,-318.577500E+3,2.484278E+3,100.000000E+0
1.500000E+3,59.657625E+3,2.039030E+3,-264.935250E+3,1.738441E+3,100.000000E+0
2.000000E+3,37.451725E+3,1.438498E+3,-204.159750E+3,1.625811E+3,100.000000E+0
2.500000E+3,23.880850E+3,1.268526E+3,-165.266500E+3,622.892647E+0,100.000000E+0
3.000000E+3,16.933925E+3,395.527372E+0,-138.770250E+3,238.078112E+0,100.000000E+0
4.000000E+3,10.393095E+3,257.027456E+0,-105.057000E+3,301.259025E+0,100.000000E+0
5.000000E+3,6.768525E+3,270.804739E+0,-84.557075E+3,208.765387E+0,100.000000E+0
6.000000E+3,4.636847E+3,34.154725E+0,-70.644025E+3,125.068469E+0,100.000000E+0
7.500000E+3,3.129505E+3,61.129249E+0,-56.551375E+3,64.835190E+0,100.000000E+0
10.000000E+3,1.849225E+3,20.124503E+0,-42.636075E+3,37.653843E+0,100.000000E+0
12.000000E+3,1.351722E+3,51.130332E+0,-35.543150E+3,26.465119E+0,100.000000E+0
15.000000E+3,904.278000E+0,25.481239E+0,-28.508975E+3,19.022010E+0,100.000000E+0
20.000000E+3,567.459750E+0,14.115881E+0,-21.404000E+3,16.347630E+0,100.000000E+0
25.000000E+3,397.685250E+0,6.027536E+0,-17.157250E+3,6.139422E+0,100.000000E+0
30.000000E+3,294.483750E+0,7.201719E+0,-14.314025E+3,3.054812E+0,100.000000E+0
40.000000E+3,193.513000E+0,2.652126E+0,-10.753000E+3,3.051229E+0,100.000000E+0
50.000000E+3,142.632750E+0,2.106995E+0,-8.611097E+3,1.694069E+0,100.000000E+0
60.000000E+3,113.078750E+0,492.152606E-3,-7.185275E+3,1.081030E+0,100.000000E+0
75.000000E+3,84.072575E+0,1.182610E+0,-5.754935E+3,1.703489E+0,100.000000E+0
100.000000E+3,60.406925E+0,253.451557E-3,-4.322620E+3,663.136490E-3,100.000000E+0
120.000000E+3,48.675275E+0,539.949518E-3,-3.605235E+3,252.735041E-3,100.000000E+0
150.000000E+3,38.130725E+0,370.525258E-3,-2.886977E+3,92.837221E-3,100.000000E+0
200.000000E+3,29.238425E+0,195.399531E-3,-2.167342E+3,112.555547E-3,100.000000E+0
