Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
20.000000E+0,3.869942E+6,2.237886E+6,-1.605940E+6,5.168322E+6,100.000000E+0
25.000000E+0,7.741410E+6,940.352033E+3,-4.360588E+6,1.200267E+6,100.000000E+0
30.000000E+0,8.444250E+6,7.038505E+6,6.556517E+6,8.022722E+6,100.000000E+0
40.000000E+0,1.323645E+6,159.377988E+3,-1.098613E+6,134.677734E+3,100.000000E+0
50.000000E+0,796.495850E+3,580.522320E+3,2.381978E+6,452.208145E+3,100.000000E+0
60.000000E+0,869.184750E+3,1.890008E+6,-1.784081E+6,670.993723E+3,100.000000E+0
75.000000E+0,11.601990E+6,11.896514E+6,-3.517060E+6,1.955455E+6,100.000000E+0
100.000000E+0,154.132750E+3,933.885685E+3,-1.983882E+6,883.852063E+3,100.000000E+0
120.000000E+0,2.116030E+6,120.255526E+3,-2.086418E+6,415.746993E+3,100.000000E+0
150.000000E+0,2.210462E+6,1.469409E+6,-3.711830E+6,2.705055E+6,100.000000E+0
200.000000E+0,601.358750E+3,95.852111E+3,-1.992838E+6,104.057291E+3,100.000000E+0
250.000000E+0,966.146250E+3,115.034847E+3,-1.194940E+6,117.057404E+3,100.000000E+0
300.000000E+0,312.428000E+3,89.011763E+3,-1.432345E+6,80.500613E+3,100.000000E+0
400.000000E+0,197.414750E+3,12.936643E+3,-1.060805E+6,25.630890E+3,100.000000E+0
500.000000E+0,91.245925E+3,19.687442E+3,-838.244500E+3,9.418976E+3,100.000000E+0
600.000000E+0,41.470550E+3,11.841593E+3,-698.048500E+3,3.848778E+3,100.000000E+0
750.000000E+0,49.049050E+3,10.601332E+3,-560.718250E+3,10.330997E+3,100.000000E+0
1.000000E+3,27.276575E+3,9.719278E+3,-423.453750E+3,4.896747E+3,100.000000E+0
1.200000E+3,17.696900E+3,3.308590E+3,-352.704250E+3,1.699776E+3,100.000000E+0
1.500000E+3,12.523125E+3,1.275111E+3,-284.016250E+3,920.586600E+0,100.000000E+0
2.000000E+3,7.424587E+3,1.337221E+3,-214.738000E+3,1.619936E+3,100.000000E+0
2.500000E+3,4.819030E+3,1.245191E+3,-170.793500E+3,752.747468E+0,100.000000E+0
3.000000E+3,4.360985E+3,269.331851E+0,-142.249500E+3,787.348874E+0,100.000000E+0
4.000000E+3,2.233620E+3,615.284303E+0,-106.972500E+3,253.357948E+0,100.000000E+0
5.000000E+3,1.681372E+3,282.367905E+0,-85.525825E+3,186.447263E+0,100.000000E+0
6.000000E+3,1.120195E+3,106.610991E+0,-71.356150E+3,105.131073E+0,100.000000E+0
7.500000E+3,914.402000E+0,51.703815E+0,-57.273850E+3,78.025941E+0,100.000000E+0
10.000000E+3,556.229750E+0,69.256020E+0,-43.006575E+3,60.717476E+0,100.000000E+0
12.000000E+3,449.122500E+0,58.346209E+0,-35.833375E+3,10.310523E+0,100.000000E+0
15.000000E+3,338.797500E+0,23.865762E+0,-28.710500E+3,5.249286E+0,100.000000E+0
20.000000E+3,233.269750E+0,2.660898E+0,-21.569425E+3,11.760607E+0,100.000000E+0
25.000000E+3,174.117750E+0,7.069270E+0,-17.271500E+3,1.773415E+0,100.000000E+0
30.000000E+3,149.238750E+0,7.369085E+0,-14.405775E+3,3.727181E+0,100.000000E+0
40.000000E+3,106.482250E+0,2.626101E+0,-10.815800E+3,1.454304E+0,100.000000E+0
50.000000E+3,85.556525E+0,1.882166E+0,-8.662030E+3,2.765538E+0,100.000000E+0
60.000000E+3,70.968425E+0,1.210407E+0,-7.227065E+3,2.163221E+0,100.000000E+0
75.000000E+3,54.139050E+0,556.879976E-3,-5.789488E+3,686.016577E-3,100.000000E+0
100.000000E+3,41.108025E+0,836.175913E-3,-4.347630E+3,214.126134E-3,100.000000E+0
120.000000E+3,34.801150E+0,309.014599E-3,-3.625693E+3,577.943551E-3,100.000000E+0
150.000000E+3,27.715750E+0,214.362643E-3,-2.902765E+3,504.851464E-3,100.000000E+0
200.000000E+3,21.124800E+0,72.558149E-3,-2.178987E+3,232.956544E-3,100.000000E+0
