Tiempo (min)	T (K) 	I pulso(mA)	Vinst 1 (V)	Iinst 1 (mA)	Rinst 1(Ohm)	Rinst 2 (Ohm)	Rrem 1 (Ohm)	Rrem 2 (Ohm)	Ibias 1 (mA)	Vbias 1 (V)	Ancho pulso (s)	Periodo (s)	Icc 1 (mA)	Vcc 1 (V)	Icc 2 (mA)	Vcc 2 (V)	Vp 4W (V)	Vb 4W (V)	N
1.928444E-2	2.908000E+2	1.000000E+2	1.002430E-1	1.666000E-5	6.016987E+6	3.083613E+6	1.263934E+7	1.192760E+7	3.953000E-5	4.996330E-1	1.000000E-2	0.000000E+0	1.000000E-2	1.000000E+0	1.000000E-2	1.000000E+0	5.137300E-2	4.714980E-1	1.000000E+0
5.847001E-2	2.908000E+2	1.500000E+2	1.500626E-1	3.037000E-5	4.941146E+6	2.279467E+6	8.050870E+6	1.012564E+6	6.208000E-5	4.997980E-1	1.000000E-2	0.000000E+0	1.000000E-2	1.000000E+0	1.000000E-2	1.000000E+0	6.922740E-2	6.286000E-2	2.000000E+0
9.743891E-2	2.908000E+2	2.000000E+2	1.995266E-1	2.609000E-5	7.647627E+6	2.619571E+6	7.032977E+6	9.053556E+5	7.114000E-5	5.003260E-1	1.000000E-2	0.000000E+0	1.000000E-2	1.000000E+0	1.000000E-2	1.000000E+0	6.834460E-2	6.440700E-2	3.000000E+0
1.362411E-1	2.908000E+2	2.500000E+2	2.501300E-1	4.480000E-5	5.583259E+6	1.285223E+6	7.031108E+6	1.109362E+6	7.114000E-5	5.001930E-1	1.000000E-2	0.000000E+0	1.000000E-2	1.000000E+0	1.000000E-2	1.000000E+0	5.757800E-2	7.892000E-2	4.000000E+0
1.750600E-1	2.908000E+2	3.000000E+2	3.000980E-1	5.875000E-5	5.108051E+6	1.180664E+6	8.625587E+6	1.047412E+6	5.796000E-5	4.999390E-1	1.000000E-2	0.000000E+0	1.000000E-2	1.000000E+0	1.000000E-2	1.000000E+0	6.936400E-2	6.070800E-2	5.000000E+0
2.137956E-1	2.908000E+2	3.500000E+2	3.495170E-1	3.775000E-5	9.258728E+6	1.656503E+6	9.939467E+6	1.518062E+6	5.027000E-5	4.996570E-1	1.000000E-2	0.000000E+0	1.000000E-2	1.000000E+0	1.000000E-2	1.000000E+0	6.253300E-2	7.631300E-2	6.000000E+0
2.526978E-1	2.908000E+2	4.000000E+2	4.003450E-1	6.785000E-5	5.900442E+6	1.132999E+6	9.715960E+6	1.463005E+6	5.144000E-5	4.997890E-1	1.000000E-2	0.000000E+0	1.000000E-2	1.000000E+0	1.000000E-2	1.000000E+0	7.687400E-2	7.525700E-2	7.000000E+0
2.915833E-1	2.908000E+2	4.500000E+2	4.495290E-1	4.018000E-5	1.118788E+7	1.647586E+6	9.727198E+6	1.210331E+6	5.140000E-5	4.999780E-1	1.000000E-2	0.000000E+0	1.000000E-2	1.000000E+0	1.000000E-2	1.000000E+0	6.620000E-2	6.221100E-2	8.000000E+0
3.307189E-1	2.908000E+2	5.000000E+2	5.000660E-1	5.905000E-5	8.468518E+6	1.353057E+6	6.276195E+6	9.628435E+5	7.969000E-5	5.001500E-1	1.000000E-2	0.000000E+0	1.000000E-2	1.000000E+0	1.000000E-2	1.000000E+0	7.989800E-2	7.672900E-2	9.000000E+0
3.695878E-1	2.908000E+2	5.500000E+2	5.495640E-1	6.353000E-5	8.650464E+6	1.270046E+6	1.089129E+7	1.605097E+6	4.591000E-5	5.000190E-1	1.000000E-2	0.000000E+0	1.000000E-2	1.000000E+0	1.000000E-2	1.000000E+0	8.068600E-2	7.369000E-2	1.000000E+1
4.083567E-1	2.908000E+2	6.000000E+2	5.998480E-1	6.478000E-5	9.259772E+6	1.036462E+6	6.159210E+6	9.585816E+5	8.122000E-5	5.002510E-1	1.000000E-2	0.000000E+0	1.000000E-2	1.000000E+0	1.000000E-2	1.000000E+0	6.714200E-2	7.785600E-2	1.100000E+1
4.470922E-1	2.906800E+2	6.500000E+2	6.504900E-1	9.042000E-5	7.194094E+6	9.146317E+5	8.120962E+6	1.115827E+6	6.154000E-5	4.997640E-1	1.000000E-2	0.000000E+0	1.000000E-2	1.000000E+0	1.000000E-2	1.000000E+0	8.270100E-2	6.866800E-2	1.200000E+1
4.858445E-1	2.906800E+2	7.000000E+2	6.997580E-1	9.618000E-5	7.275504E+6	7.528800E+5	1.013337E+7	1.240644E+6	4.938000E-5	5.003860E-1	1.000000E-2	0.000000E+0	1.000000E-2	1.000000E+0	1.000000E-2	1.000000E+0	7.241200E-2	6.126300E-2	1.300000E+1
