Tiempo (s)	Setpoint (K)	Temperatura (K)	dT/dt (K/min)	Potencia_LS (%)	Rrem1 (Ohm)	std Rrem1 (Ohm)	Rrem2 (Ohm)		std Rrem2 (Ohm)	V4W (V)	
33.857936E+0	207.470000E+0	207.470000E+0	NaN	51.000000E+0	8.187590E+6	8.187590E+6	943.844139E+0	943.844139E+0	500.098000E-3	
39.318249E+0	207.470000E+0	207.470000E+0	NaN	16.000000E+0	33.554668E+6	33.554668E+6	755.278711E+3	755.278711E+3	499.629000E-3	
44.777561E+0	207.652010E+0	207.530000E+0	NaN	14.000000E+0	11.706342E+6	11.706342E+6	275.904517E+3	275.904517E+3	500.212000E-3	
50.289876E+0	207.833987E+0	207.590000E+0	NaN	14.000000E+0	11.330306E+6	11.330306E+6	386.424689E+3	386.424689E+3	500.233000E-3	
55.814192E+0	208.017731E+0	207.650000E+0	NaN	16.000000E+0	15.279065E+6	15.279065E+6	577.388447E+3	577.388447E+3	499.931000E-3	
61.341508E+0	208.201875E+0	207.730000E+0	NaN	19.000000E+0	10.280164E+6	10.280164E+6	218.147996E+3	218.147996E+3	500.130000E-3	
66.830822E+0	208.386119E+0	207.790000E+0	NaN	24.000000E+0	25.455374E+6	25.455374E+6	725.983189E+3	725.983189E+3	499.689000E-3	
72.312136E+0	208.569096E+0	207.790000E+0	689.559940E-3	29.000000E+0	62.259900E+6	62.259900E+6	1.357273E+6	1.357273E+6	499.947000E-3	
77.793449E+0	208.751807E+0	207.850000E+0	724.975115E-3	36.000000E+0	12.851439E+6	12.851439E+6	273.761562E+3	273.761562E+3	500.178000E-3	
83.269763E+0	208.934517E+0	207.930000E+0	616.900437E-3	37.000000E+0	8.487795E+6	8.487795E+6	216.853675E+3	216.853675E+3	500.016000E-3	
88.754076E+0	209.117061E+0	207.990000E+0	473.007003E-3	44.000000E+0	12.136295E+6	12.136295E+6	208.214372E+3	208.214372E+3	499.894000E-3	
94.271392E+0	209.299871E+0	208.050000E+0	474.375592E-3	53.000000E+0	12.044458E+6	12.044458E+6	509.673494E+3	509.673494E+3	499.845000E-3	
99.783707E+0	209.483782E+0	208.050000E+0	620.452445E-3	60.000000E+0	23.766144E+6	23.766144E+6	465.068949E+3	465.068949E+3	499.802000E-3	
105.320024E+0	209.667526E+0	208.130000E+0	729.139135E-3	62.000000E+0	10.322229E+6	10.322229E+6	379.251806E+3	379.251806E+3	500.112000E-3	
110.859341E+0	209.852070E+0	208.190000E+0	582.407182E-3	65.000000E+0	9.680132E+6	9.680132E+6	205.845275E+3	205.845275E+3	499.882000E-3	
116.394657E+0	210.036713E+0	208.330000E+0	471.761652E-3	71.000000E+0	17.120589E+6	17.120589E+6	429.236040E+3	429.236040E+3	499.750000E-3	
121.892972E+0	210.221224E+0	208.390000E+0	506.419356E-3	72.000000E+0	11.570417E+6	11.570417E+6	266.625000E+3	266.625000E+3	499.842000E-3	
127.383286E+0	210.404501E+0	208.590000E+0	758.807295E-3	69.000000E+0	14.919845E+6	14.919845E+6	472.817070E+3	472.817070E+3	499.964000E-3	
132.867599E+0	210.587512E+0	208.790000E+0	976.520962E-3	65.000000E+0	8.386674E+6	8.386674E+6	338.751257E+3	338.751257E+3	500.349000E-3	
138.346913E+0	210.770322E+0	208.990000E+0	1.196930E+0	65.000000E+0	11.882248E+6	11.882248E+6	425.023764E+3	425.023764E+3	500.005000E-3	
143.864228E+0	210.952966E+0	209.330000E+0	1.564699E+0	65.000000E+0	21.443501E+6	21.443501E+6	522.691978E+3	522.691978E+3	499.848000E-3	
149.352542E+0	211.136876E+0	209.590000E+0	1.931856E+0	63.000000E+0	13.729953E+6	13.729953E+6	531.560868E+3	531.560868E+3	499.633000E-3	
154.837856E+0	211.319820E+0	209.860000E+0	2.440759E+0	60.000000E+0	8.551377E+6	8.551377E+6	227.253208E+3	227.253208E+3	499.828000E-3	
160.381173E+0	211.502664E+0	210.060000E+0	2.802156E+0	62.000000E+0	11.038375E+6	11.038375E+6	282.948775E+3	282.948775E+3	499.928000E-3	
165.862487E+0	211.687441E+0	210.260000E+0	3.038422E+0	58.000000E+0	10.240899E+6	10.240899E+6	317.957629E+3	317.957629E+3	800.019000E-3	
171.371802E+0	211.870152E+0	210.540000E+0	2.908630E+0	51.000000E+0	16.746703E+6	16.746703E+6	440.925267E+3	440.925267E+3	799.990000E-3	
176.855115E+0	212.053796E+0	210.950000E+0	2.543927E+0	49.000000E+0	9.282616E+6	9.282616E+6	276.918881E+3	276.918881E+3	799.883000E-3	
182.338429E+0	212.236573E+0	211.210000E+0	2.451446E+0	53.000000E+0	10.264754E+6	10.264754E+6	287.385445E+3	287.385445E+3	799.727000E-3	
187.857745E+0	212.419350E+0	211.490000E+0	2.854506E+0	50.000000E+0	9.937292E+6	9.937292E+6	328.505590E+3	328.505590E+3	799.952000E-3	
193.344059E+0	212.603327E+0	211.760000E+0	3.350747E+0	45.000000E+0	9.357153E+6	9.357153E+6	257.185051E+3	257.185051E+3	799.943000E-3	
198.851374E+0	212.786204E+0	211.970000E+0	3.458859E+0	45.000000E+0	12.747116E+6	12.747116E+6	409.844646E+3	409.844646E+3	800.009000E-3	
204.338687E+0	212.969781E+0	212.250000E+0	3.202961E+0	47.000000E+0	9.488860E+6	9.488860E+6	261.404081E+3	261.404081E+3	799.816000E-3	
