Tiempo (min),I pulso(mA),Vinst 1 (V),Iinst 1 (mA),Rinst 1(Ohm),Rrem 1 (Ohm),Ibias 1 (mA),Vbias 1 (V),Vinst 2 (V),Iinst 2 (mA),Rinst 2(Ohm),Rrem 2 (Ohm),Ibias 2 (mA),Vbias 2 (V),Ancho pulso (s),Periodo (s),Icc 1 (mA),Vcc 1 (V),Icc 2 (mA),Vcc 2 (V),2W 1?,N
1.462584E-1,1.000000E+0,7.000000E-4,-8.000000E-5,-8.750000E+3,4.503827E+4,2.221000E-2,1.000300E+0,1.356000E-2,-8.000000E-5,-1.695000E+5,6.402521E+2,2.221000E-2,1.422000E-2,1.000000E-4,0.000000E+0,3.000000E+0,7.000000E+0,3.000000E+0,7.000000E+0,1.000000E+0,1.000000E+0
1.675763E-1,-9.900000E+1,-9.860000E-2,-2.310000E-3,4.268398E+4,4.868972E+4,2.053000E-2,9.996000E-1,1.150000E-2,-2.310000E-3,-4.978355E+3,7.471992E+2,2.053000E-2,1.534000E-2,1.000000E-4,0.000000E+0,3.000000E+0,7.000000E+0,3.000000E+0,7.000000E+0,1.000000E+0,2.000000E+0
1.889275E-1,-1.990000E+2,-2.002000E-1,-4.140000E-3,4.835749E+4,4.959346E+4,2.017000E-2,1.000300E+0,1.284000E-2,-4.140000E-3,-3.101449E+3,8.373823E+2,2.017000E-2,1.689000E-2,1.000000E-4,0.000000E+0,3.000000E+0,7.000000E+0,3.000000E+0,7.000000E+0,1.000000E+0,3.000000E+0
2.102287E-1,-2.990000E+2,-3.000000E-1,-7.610000E-3,3.942181E+4,4.555758E+4,2.197000E-2,1.000900E+0,1.178000E-2,-7.610000E-3,-1.547963E+3,7.633136E+2,2.197000E-2,1.677000E-2,1.000000E-4,0.000000E+0,3.000000E+0,7.000000E+0,3.000000E+0,7.000000E+0,1.000000E+0,4.000000E+0
2.322299E-1,-3.990000E+2,-3.995000E-1,-8.460000E-3,4.722222E+4,4.936391E+4,2.028000E-2,1.001100E+0,1.148000E-2,-8.460000E-3,-1.356974E+3,7.120316E+2,2.028000E-2,1.444000E-2,1.000000E-4,0.000000E+0,3.000000E+0,7.000000E+0,3.000000E+0,7.000000E+0,1.000000E+0,5.000000E+0
2.535812E-1,-4.990000E+2,-5.002000E-1,-1.069000E-2,4.679139E+4,4.577645E+4,2.183000E-2,9.993000E-1,1.270000E-2,-1.069000E-2,-1.188026E+3,7.366010E+2,2.183000E-2,1.608000E-2,1.000000E-4,0.000000E+0,3.000000E+0,7.000000E+0,3.000000E+0,7.000000E+0,1.000000E+0,6.000000E+0
2.752157E-1,-5.990000E+2,-5.998000E-1,-1.317000E-2,4.554290E+4,4.639314E+4,2.157000E-2,1.000700E+0,9.440000E-3,-1.317000E-2,-7.167806E+2,7.371349E+2,2.157000E-2,1.590000E-2,1.000000E-4,0.000000E+0,3.000000E+0,7.000000E+0,3.000000E+0,7.000000E+0,1.000000E+0,7.000000E+0
2.965836E-1,-6.990000E+2,-6.998000E-1,-1.509000E-2,4.637508E+4,4.857698E+4,2.059000E-2,1.000200E+0,8.830000E-3,-1.509000E-2,-5.851557E+2,7.770763E+2,2.059000E-2,1.600000E-2,1.000000E-4,0.000000E+0,3.000000E+0,7.000000E+0,3.000000E+0,7.000000E+0,1.000000E+0,8.000000E+0
3.178182E-1,-7.990000E+2,-7.995000E-1,-1.660000E-2,4.816265E+4,4.725555E+4,2.117000E-2,1.000400E+0,1.103000E-2,-1.660000E-2,-6.644578E+2,6.282475E+2,2.117000E-2,1.330000E-2,1.000000E-4,0.000000E+0,3.000000E+0,7.000000E+0,3.000000E+0,7.000000E+0,1.000000E+0,9.000000E+0
3.391861E-1,-8.990000E+2,-8.987000E-1,-1.999000E-2,4.495748E+4,4.695122E+4,2.132000E-2,1.001000E+0,1.221000E-2,-1.999000E-2,-6.108054E+2,7.448405E+2,2.132000E-2,1.588000E-2,1.000000E-4,0.000000E+0,3.000000E+0,7.000000E+0,3.000000E+0,7.000000E+0,1.000000E+0,1.000000E+1
