Tiempo (min),I pulso(mA),Vinst 1 (V),Iinst 1 (mA),Rinst 1(Ohm),Rrem 1 (Ohm),Ibias 1 (mA),Vbias 1 (V),Vinst 2 (V),Iinst 2 (mA),Rinst 2(Ohm),Rrem 2 (Ohm),Ibias 2 (mA),Vbias 2 (V),Ancho pulso (s),Periodo (s),Icc 1 (mA),Vcc 1 (V),Icc 2 (mA),Vcc 2 (V),2W 1?,N
1.265572E-1,0.000000E+0,-1.100000E-3,-5.900000E-4,1.864407E+3,2.345437E+4,1.277800E-2,2.997000E-1,9.910000E+37,-5.900000E-4,-1.679661E+44,7.755517E+42,1.277800E-2,9.910000E+37,1.000000E-1,0.000000E+0,1.000000E+0,1.000000E+1,1.000000E+0,1.000000E+1,1.000000E+0,1.000000E+0
1.479918E-1,3.000000E+2,3.004000E-1,1.288900E-2,2.330670E+4,2.336398E+4,1.283600E-2,2.999000E-1,9.910000E+37,1.288900E-2,7.688727E+42,7.720474E+42,1.283600E-2,9.910000E+37,1.000000E-1,0.000000E+0,1.000000E+0,1.000000E+1,1.000000E+0,1.000000E+1,1.000000E+0,2.000000E+0
1.697930E-1,6.000000E+2,6.007000E-1,2.652000E-2,2.265083E+4,2.345968E+4,1.282200E-2,3.008000E-1,9.910000E+37,2.652000E-2,3.736802E+42,7.728903E+42,1.282200E-2,9.910000E+37,1.000000E-1,0.000000E+0,1.000000E+0,1.000000E+1,1.000000E+0,1.000000E+1,1.000000E+0,3.000000E+0
1.914610E-1,9.000000E+2,8.997000E-1,4.056600E-2,2.217867E+4,2.343348E+4,1.281500E-2,3.003000E-1,9.910000E+37,4.056600E-2,2.442933E+42,7.733125E+42,1.281500E-2,9.910000E+37,1.000000E-1,0.000000E+0,1.000000E+0,1.000000E+1,1.000000E+0,1.000000E+1,1.000000E+0,4.000000E+0
2.130122E-1,1.200000E+3,1.200700E+0,5.492200E-2,2.186191E+4,2.310355E+4,1.299800E-2,3.003000E-1,9.910000E+37,5.492200E-2,1.804377E+42,7.624250E+42,1.299800E-2,9.910000E+37,1.000000E-1,0.000000E+0,1.000000E+0,1.000000E+1,1.000000E+0,1.000000E+1,1.000000E+0,5.000000E+0
2.346134E-1,1.500000E+3,1.499600E+0,6.965000E-2,2.153051E+4,2.320087E+4,1.290900E-2,2.995000E-1,9.910000E+37,6.965000E-2,1.422828E+42,7.676815E+42,1.290900E-2,9.910000E+37,1.000000E-1,0.000000E+0,1.000000E+0,1.000000E+1,1.000000E+0,1.000000E+1,1.000000E+0,6.000000E+0
2.560646E-1,1.800000E+3,1.799100E+0,8.480500E-2,2.121455E+4,2.364812E+4,1.268600E-2,3.000000E-1,9.910000E+37,8.480500E-2,1.168563E+42,7.811761E+42,1.268600E-2,9.910000E+37,1.000000E-1,0.000000E+0,1.000000E+0,1.000000E+1,1.000000E+0,1.000000E+1,1.000000E+0,7.000000E+0
2.780992E-1,2.100000E+3,2.100600E+0,1.006280E-1,2.087491E+4,2.328437E+4,1.286700E-2,2.996000E-1,9.910000E+37,1.006280E-1,9.848154E+41,7.701873E+42,1.286700E-2,9.910000E+37,1.000000E-1,0.000000E+0,1.000000E+0,1.000000E+1,1.000000E+0,1.000000E+1,1.000000E+0,8.000000E+0
2.996171E-1,2.400000E+3,2.400600E+0,1.167780E-1,2.055695E+4,2.318449E+4,1.294400E-2,3.001000E-1,9.910000E+37,1.167780E-1,8.486187E+41,7.656057E+42,1.294400E-2,9.910000E+37,1.000000E-1,0.000000E+0,1.000000E+0,1.000000E+1,1.000000E+0,1.000000E+1,1.000000E+0,9.000000E+0
3.210517E-1,2.700000E+3,2.700800E+0,1.333660E-1,2.025104E+4,2.337016E+4,1.285400E-2,3.004000E-1,9.910000E+37,1.333660E-1,7.430679E+41,7.709662E+42,1.285400E-2,9.910000E+37,1.000000E-1,0.000000E+0,1.000000E+0,1.000000E+1,1.000000E+0,1.000000E+1,1.000000E+0,1.000000E+1
3.426363E-1,3.000000E+3,2.999500E+0,1.501660E-1,1.997456E+4,2.360586E+4,1.269600E-2,2.997000E-1,9.910000E+37,1.501660E-1,6.599363E+41,7.805608E+42,1.269600E-2,9.910000E+37,1.000000E-1,0.000000E+0,1.000000E+0,1.000000E+1,1.000000E+0,1.000000E+1,1.000000E+0,1.100000E+1
3.640875E-1,3.300000E+3,3.300100E+0,1.675300E-1,1.969856E+4,2.347609E+4,1.279600E-2,3.004000E-1,9.910000E+37,1.675300E-1,5.915358E+41,7.744608E+42,1.279600E-2,9.910000E+37,1.000000E-1,0.000000E+0,1.000000E+0,1.000000E+1,1.000000E+0,1.000000E+1,1.000000E+0,1.200000E+1
