Write_Current_A,Write_Voltage_V,Inst_Resistance_Ohm,Rem_Resistance_Ohm
0.0,6.6e-05,,2282138.0000000005
1.0126582278481012e-07,0.239271,2362801.125,2285036.0
2.0253164556962025e-07,0.475035,2345485.3125,2287922.0
3.037974683544304e-07,0.710092,2337386.1666666665,2286982.0
4.050632911392405e-07,0.954749,2357036.59375,2287237.0000000005
5.063291139240507e-07,1.187328,2344972.8,2289427.0
6.075949367088608e-07,1.417839,2333526.6875,2289371.0
7.088607594936709e-07,1.6446,2320060.7142857146,2289869.0
8.10126582278481e-07,1.878518,2318795.65625,2291307.0000000005
9.113924050632911e-07,2.097605,2301538.819444445,2288940.0000000005
1.0126582278481013e-06,2.308517,2279660.5375,2273522.0
1.1139240506329113e-06,2.502827,2246856.056818182,2271907.0
1.2151898734177215e-06,2.722233,2240170.90625,2273831.0
1.3164556962025315e-06,2.928466,2224507.826923077,2273157.0
1.4177215189873418e-06,3.128738,2206877.6964285714,2272880.0
1.5189873417721518e-06,3.329087,2191648.941666667,2273422.0
1.620253164556962e-06,3.532666,2180317.296875,2273975.0
1.7215189873417722e-06,3.72494,2163751.911764706,2273367.0
1.8227848101265822e-06,3.915446,2148057.180555556,2272493.0
1.924050632911392e-06,4.103584,2132783.7894736845,2271066.0
2.0253164556962026e-06,4.297487,2121884.20625,2271354.0
2.1265822784810126e-06,4.481886,2107553.535714286,2269208.0
2.2278481012658226e-06,4.663289,2093180.8579545454,2268622.0000000005
2.3291139240506326e-06,4.84426,2079872.5000000002,2266819.0
2.430379746835443e-06,5.034931,2071664.3177083335,2268224.0
2.531645569620253e-06,5.214862,2059870.4900000002,2265791.0
2.632911392405063e-06,5.393268,2048404.6730769232,2267472.0000000005
2.7341772151898735e-06,5.570965,2037528.8657407407,2266509.0
2.8354430379746835e-06,5.75907,2031100.580357143,2265945.0
2.9367088607594935e-06,5.938857,2022283.2025862068,2265857.0
3.0379746835443035e-06,6.11932,2014276.166666667,2268235.0
3.139240506329114e-06,6.304419,2008262.5040322582,2268876.0
3.240506329113924e-06,6.505421,2007532.26171875,2273721.0
3.341772151898734e-06,6.700284,2005009.2272727273,2279273.0
3.4430379746835444e-06,6.90352,2005066.4705882354,2286916.0000000005
3.5443037974683544e-06,7.113137,2006920.7964285715,2295079.0
3.6455696202531644e-06,7.341735,2013878.6979166667,2307566.0
3.7468354430379744e-06,7.57021,2020427.668918919,2318040.0
3.848101265822784e-06,7.798376,2026551.657894737,2330007.0000000005
3.949367088607594e-06,8.019917,2030684.1121794872,2341422.0
4.050632911392405e-06,8.256213,2038252.584375,2356044.0
4.151898734177215e-06,8.480443,2042545.7225609755,2365843.0
4.253164556962025e-06,8.715235,2049117.7529761905,2377225.0000000005
4.354430379746835e-06,8.954406,2056389.7500000002,2389546.0000000005
4.455696202531645e-06,9.220553,2069385.4744318186,2407519.0000000005
4.556962025316455e-06,9.489423,2082401.1583333337,2427351.0
4.658227848101265e-06,9.77747,2098967.7445652173,2450224.0
4.759493670886076e-06,10.082086,2118310.6223404254,2474590.0
4.860759493670886e-06,10.417748,2143234.614583333,2504807.0
4.962025316455696e-06,10.76788,2170057.448979592,2534084.0
5.063291139240506e-06,11.133981,2198961.2475,2570583.0
5.164556962025316e-06,11.525477,2231648.7328431373,2611883.0000000005
5.265822784810126e-06,11.950508,2269447.4326923075,2655085.0000000005
5.367088607594936e-06,12.373304,2305403.3396226414,2701605.0
5.468354430379747e-06,12.798726,2340507.763888889,2744210.0
5.569620253164557e-06,13.239208,2377039.618181818,2789613.0000000005
5.670886075949367e-06,13.703262,2416423.4330357146,2835160.0000000005
5.772151898734177e-06,14.143214,2450249.7938596494,2873573.0
5.873417721518987e-06,14.555934,2478273.245689655,2904686.0
5.974683544303797e-06,14.961456,2504142.0,2938277.0
6.075949367088607e-06,15.394251,2533637.1437500003,2968339.0
6.177215189873418e-06,15.807969,2559076.948770492,3000437.0
6.278481012658228e-06,16.226806,2584511.439516129,3027203.0
6.379746835443038e-06,16.643852,2608857.7539682537,3064200.0
6.481012658227848e-06,17.112993,2640481.341796875,3112136.0
6.582278481012658e-06,17.578428,2670568.869230769,3149874.0
6.683544303797468e-06,18.091304,2706842.8333333335,3195112.0
6.784810126582278e-06,18.246017,2689245.042910448,3246266.0
6.886075949367089e-06,18.281223,2654809.9577205884,3299511.0
6.987341772151899e-06,18.298665,2618830.679347826,3346529.0
7.088607594936709e-06,18.312491,2583369.266071429,3402484.0
7.189873417721519e-06,18.323507,2548515.938380282,3472154.0000000005
7.291139240506329e-06,18.332975,2514418.446180556,3545385.0
7.392405063291139e-06,18.339688,2480882.4520547944,3613451.0
7.493670886075949e-06,18.344787,2448037.454391892,3672459.0
7.59493670886076e-06,18.348791,2415924.148333333,3723558.0000000005
7.696202531645569e-06,18.35358,2384757.9276315793,3767855.0
7.79746835443038e-06,18.356224,2354126.12987013,3801777.0
7.898734177215189e-06,18.359099,2324309.008012821,3834207.0000000005
8e-06,18.36234,2295292.5,3865751.0
7.898734177215189e-06,18.361002,2324549.932692308,3899607.0
7.79746835443038e-06,18.360017,2354612.5698051946,3924991.0
7.696202531645569e-06,18.359564,2385535.4539473685,3947952.0
7.594936708860759e-06,18.357639,2417089.1350000002,3978534.0
7.493670886075949e-06,18.356832,2449644.810810811,4004106.0000000005
7.392405063291139e-06,18.356047,2483095.398972603,4026017.0000000005
7.291139240506329e-06,18.354786,2517409.885416667,4044565.0000000005
7.189873417721519e-06,18.353127,2552635.6214788733,4061344.0000000005
7.088607594936709e-06,18.352043,2588948.9232142856,4076807.0
6.987341772151898e-06,18.350118,2626194.4239130435,4089924.0
6.886075949367089e-06,18.348813,2664625.4172794116,4101416.0000000005
6.784810126582278e-06,18.347032,2704133.447761194,4115065.0000000005
6.683544303797468e-06,18.345351,2744853.6534090913,4127983.0000000005
6.582278481012658e-06,18.343559,2786809.925,4138170.0
6.481012658227848e-06,18.341712,2830068.8437500005,4150591.0000000005
6.379746835443038e-06,18.338317,2874458.418650794,4156586.0
6.278481012658227e-06,18.336282,2920496.528225807,4166009.0
6.177215189873418e-06,18.334103,2968020.7725409833,4170577.0
6.075949367088607e-06,18.331105,3016994.364583334,4177523.0
5.974683544303797e-06,18.328716,3067730.0084745763,4183241.0
5.873417721518987e-06,18.325564,3120085.25,4186913.0
5.772151898734177e-06,18.322633,3174315.8048245613,4190807.0000000005
5.670886075949367e-06,18.318342,3230243.3437500005,4193749.0000000005
5.569620253164556e-06,18.31447,3288279.8409090913,4194092.0000000005
5.468354430379747e-06,18.310157,3348385.1921296297,4195786.0
5.367088607594936e-06,18.305301,3410657.49764151,4197578.0
5.265822784810126e-06,18.29945,3475135.9375000005,4197832.0
5.164556962025316e-06,18.293422,3542108.6715686275,4196759.0
5.063291139240506e-06,18.284552,3611199.0200000005,4197412.0
4.962025316455696e-06,18.275681,3683109.1811224488,4196604.0
4.860759493670885e-06,18.263603,3757355.825520834,4194757.0
4.759493670886076e-06,18.245885,3833576.901595745,4194790.0
4.658227848101265e-06,18.218576,3911053.0,4191514.0
