Current_A,Voltage_V
1e-08,0.024952632
3.578947368421053e-08,0.088870227
6.157894736842105e-08,0.15333617
8.736842105263158e-08,0.21726436
1.131578947368421e-07,0.28101546
1.3894736842105263e-07,0.34429368
1.6473684210526318e-07,0.40859907
1.905263157894737e-07,0.48322415
2.1631578947368422e-07,0.54589324
2.4210526315789473e-07,0.60771492
2.6789473684210525e-07,0.66893676
2.9368421052631577e-07,0.72945429
3.1947368421052634e-07,0.78839263
3.4526315789473686e-07,0.85989445
3.710526315789474e-07,0.91879536
3.968421052631579e-07,0.97501544
4.226315789473684e-07,1.0327445
4.4842105263157894e-07,1.0885621
4.7421052631578946e-07,1.1443871
5e-07,1.2102382
