Current_A,Voltage_V
0.0,-0.000570177
1.0169491525423729e-07,0.35985301
2.0338983050847458e-07,0.71832595
3.0508474576271186e-07,1.0908977
4.0677966101694916e-07,1.444376
5.084745762711865e-07,1.7912954
6.101694915254237e-07,2.1497465
7.118644067796611e-07,2.4904418
8.135593220338983e-07,2.8253366
9.152542372881356e-07,3.1731568
1.016949152542373e-06,3.5021025
1.1186440677966102e-06,3.8265729
1.2203389830508474e-06,4.1624322
1.3220338983050847e-06,4.4806215
1.4237288135593222e-06,4.7879355
1.5254237288135594e-06,5.1143494
1.6271186440677967e-06,5.415359
1.728813559322034e-06,5.7041154
1.8305084745762712e-06,6.0098721
1.9322033898305084e-06,6.2922359
2.033898305084746e-06,6.5621704
2.135593220338983e-06,6.8464624
2.2372881355932204e-06,7.1042039
2.338983050847458e-06,7.3607468
2.440677966101695e-06,7.623014
2.5423728813559323e-06,7.8504858
2.6440677966101694e-06,8.09343
2.745762711864407e-06,8.3411915
2.8474576271186443e-06,8.5697278
2.9491525423728813e-06,8.7940711
3.050847457627119e-06,9.0250657
3.152542372881356e-06,9.2479738
3.2542372881355933e-06,9.4496608
3.3559322033898308e-06,9.6703638
3.457627118644068e-06,9.9006959
3.5593220338983053e-06,10.114478
3.6610169491525423e-06,10.342437
3.7627118644067798e-06,10.546947
3.864406779661017e-06,10.757599
3.966101694915254e-06,10.984435
4.067796610169492e-06,11.184824
4.169491525423729e-06,11.391475
4.271186440677966e-06,11.641994
4.372881355932203e-06,11.847135
4.474576271186441e-06,9.743039
4.576271186440678e-06,9.942105
4.677966101694916e-06,10.11081
4.779661016949152e-06,10.295
4.88135593220339e-06,10.503414
4.983050847457627e-06,10.686475
5.084745762711865e-06,10.874414
5.186440677966102e-06,11.068691
5.288135593220339e-06,11.264904
5.389830508474576e-06,11.450719
5.491525423728814e-06,11.653877
5.593220338983051e-06,11.848928
5.694915254237289e-06,12.051479
5.796610169491525e-06,12.256971
5.898305084745763e-06,12.469663
6e-06,12.685102
5.898305084745763e-06,12.503785
5.796610169491525e-06,12.323499
5.694915254237289e-06,12.129211
5.593220338983051e-06,11.929747
5.491525423728814e-06,11.733778
5.389830508474576e-06,11.52092
5.288135593220339e-06,11.32453
5.186440677966102e-06,11.121361
5.084745762711865e-06,10.909498
4.983050847457627e-06,10.704437
4.88135593220339e-06,10.503259
4.779661016949152e-06,10.288452
4.677966101694916e-06,10.08098
4.576271186440678e-06,9.881925
4.474576271186441e-06,11.971733
4.372881355932203e-06,11.727995
4.271186440677967e-06,11.491739
4.169491525423729e-06,11.229404
4.067796610169492e-06,10.984578
3.966101694915254e-06,10.732503
3.864406779661017e-06,10.474087
3.7627118644067798e-06,10.224031
3.6610169491525423e-06,9.9719166
3.5593220338983053e-06,9.7118445
3.457627118644068e-06,9.4593922
3.3559322033898308e-06,9.209489
3.2542372881355933e-06,8.9310662
3.152542372881356e-06,8.6798928
3.050847457627119e-06,8.4322017
2.9491525423728813e-06,8.1690499
2.8474576271186443e-06,7.9088129
2.745762711864407e-06,7.6525383
2.6440677966101694e-06,7.3806925
2.5423728813559323e-06,7.1199163
2.440677966101695e-06,6.8534948
2.338983050847458e-06,6.5708294
2.2372881355932204e-06,6.3111422
2.1355932203389833e-06,6.0412056
2.033898305084746e-06,5.7598699
1.9322033898305084e-06,5.4948958
1.830508474576271e-06,5.2274654
1.7288135593220343e-06,4.9345046
1.6271186440677969e-06,4.6609132
1.5254237288135594e-06,4.3871708
1.423728813559322e-06,4.0974731
1.3220338983050845e-06,3.8180898
1.2203389830508479e-06,3.5419862
1.1186440677966104e-06,3.2436943
1.016949152542373e-06,2.9592597
9.152542372881355e-07,2.6755516
8.13559322033898e-07,2.3767265
7.118644067796614e-07,2.0882925
6.101694915254239e-07,1.8005077
5.084745762711865e-07,1.4956652
4.06779661016949e-07,1.2026327
3.0508474576271154e-07,0.90901056
2.0338983050847493e-07,0.6003089
1.0169491525423746e-07,0.30532036
0.0,0.009526301
