Write_Current_A,Write_Voltage_V,Inst_Resistance_Ohm,Rem_Resistance_Ohm
0.0,0.000398,,2305675.0
1.0169491525423729e-07,0.2329,2290183.333333333,2309391.0000000005
2.0338983050847458e-07,0.465711,2289745.75,2308340.0
3.0508474576271186e-07,0.709384,2325203.111111111,2309424.0
4.0677966101694916e-07,0.941399,2314272.5416666665,2314169.0000000005
5.084745762711865e-07,1.174343,2309541.233333333,2313096.0
6.101694915254237e-07,1.417187,2322612.027777778,2315153.0
7.118644067796611e-07,1.649644,2317357.0476190476,2314257.0
8.135593220338983e-07,1.879878,2310683.375,2316978.0000000005
9.152542372881356e-07,2.121197,2317604.1296296297,2318073.0
1.016949152542373e-06,2.352626,2313415.5666666664,2320916.0
1.1186440677966102e-06,2.58505,2310878.0303030303,2323349.0
1.2203389830508474e-06,2.826024,2315769.6666666665,2324953.0
1.3220338983050847e-06,3.056203,2311743.294871795,2327021.0
1.4237288135593222e-06,3.285896,2307950.7619047617,2329145.0
1.5254237288135594e-06,3.526118,2311566.2444444443,2331324.0
1.6271186440677967e-06,3.755744,2308217.6666666665,2332452.0
1.728813559322034e-06,3.985547,2305365.4215686275,2335195.0000000005
1.8305084745762712e-06,4.222099,2306517.046296296,2338613.0
1.9322033898305084e-06,4.446482,2301249.4561403506,2339951.0
2.033898305084746e-06,4.670113,2296138.8916666666,2343147.0
2.135593220338983e-06,4.902515,2295622.1031746035,2345149.0000000005
2.2372881355932204e-06,5.124355,2290431.401515152,2349607.0
2.338983050847458e-06,5.346227,2285705.7463768115,2353024.0
2.440677966101695e-06,5.578796,2285756.6944444445,2356840.0
2.5423728813559323e-06,5.796609,2279999.54,2357637.0
2.6440677966101694e-06,6.011436,2273555.923076923,2361430.0
2.745762711864407e-06,6.234791,2270695.487654321,2361121.0
2.8474576271186443e-06,6.452441,2266035.8273809524,2363532.0000000005
2.9491525423728813e-06,6.664271,2259724.074712644,2367325.0
3.050847457627119e-06,6.880813,2255377.5944444444,2366584.0
3.152542372881356e-06,7.089545,2248834.166666667,2365169.0
3.2542372881355933e-06,7.295082,2241717.90625,2366363.0000000005
3.3559322033898308e-06,7.511369,2238236.217171717,2368498.0000000005
3.457627118644068e-06,7.711806,2230375.2647058824,2362625.0
3.5593220338983053e-06,7.910164,2222379.4095238093,2364295.0
3.6610169491525423e-06,8.119727,2217888.393518518,2361441.0
3.7627118644067798e-06,8.316857,2210335.8693693695,2356829.0
3.864406779661017e-06,8.506402,2201218.0614035088,2349363.0
3.966101694915254e-06,8.708189,2195654.4914529915,2348965.0000000005
4.067796610169492e-06,8.898783,2187617.4875,2343601.0
4.169491525423729e-06,9.086058,2179176.5121951215,2342561.0
4.271186440677966e-06,9.282182,2173209.277777778,2337562.0000000005
4.372881355932203e-06,9.464183,2164289.9108527135,2336522.0
4.474576271186441e-06,9.64574,2155676.742424242,2326711.0
4.576271186440678e-06,9.830107,2148060.4185185186,2323239.0
4.677966101694916e-06,10.01308,2140477.2463768115,2316049.0
4.779661016949152e-06,10.186121,2131138.790780142,2308263.0000000005
4.88135593220339e-06,10.371228,2124661.291666667,2309059.0
4.983050847457627e-06,10.542125,2115596.5136054424,2304956.0
5.084745762711865e-06,10.717566,2107787.98,2293331.0
5.186440677966102e-06,10.899831,2101601.401960784,2288652.0
5.288135593220339e-06,11.069753,2093318.6762820515,2278742.0
5.389830508474576e-06,11.234908,2084464.062893082,2275878.0
5.491525423728814e-06,11.412948,2078283.7407407407,2268987.0
5.593220338983051e-06,11.580536,2070459.4666666666,2267792.0
5.694915254237289e-06,11.745104,2062384.333333333,2263822.0
5.796610169491525e-06,11.92362,2056998.7719298245,2264143.0
5.898305084745763e-06,12.092115,2050099.9568965517,2258192.0000000005
6e-06,12.267832,2044638.6666666667,2248027.0
5.898305084745763e-06,12.054011,2043639.7959770113,2247740.0
5.796610169491525e-06,11.850245,2044340.5116959063,2243747.0
5.694915254237289e-06,11.638404,2043648.3214285711,2239367.0
5.593220338983051e-06,11.435765,2044576.1666666665,2238239.0
5.491525423728814e-06,11.232485,2045421.6512345679,2239124.0
5.389830508474576e-06,11.020877,2044753.9088050316,2235518.0
5.288135593220339e-06,10.823846,2046817.032051282,2234257.0
5.186440677966102e-06,10.623232,2048270.222222222,2231337.0
5.084745762711865e-06,10.409719,2047244.7366666668,2232299.0
4.983050847457627e-06,10.209856,2048916.6802721089,2229767.0
4.88135593220339e-06,10.013578,2051392.715277778,2232023.0
4.779661016949152e-06,9.803407,2051067.4219858157,2225918.0
4.677966101694916e-06,9.607228,2053719.0289855069,2226095.0
4.576271186440678e-06,9.405838,2055349.785185185,2220564.0
4.474576271186441e-06,9.195413,2055035.4810606062,2224424.0
4.372881355932203e-06,9.003271,2058887.554263566,2219890.0
4.271186440677967e-06,8.805554,2061617.8015873015,2220719.0
4.169491525423729e-06,8.597009,2061884.2723577234,2222389.0000000005
4.067796610169492e-06,8.400554,2065136.1916666664,2217866.0
3.966101694915254e-06,8.200977,2067767.705128205,2213530.0
3.864406779661017e-06,7.993793,2068569.2412280703,2210809.0
3.7627118644067798e-06,7.792205,2070901.3288288289,2212546.0
3.6610169491525423e-06,7.593813,2074235.9583333333,2212667.0000000005
3.5593220338983053e-06,7.388642,2075856.5619047617,2210201.0
3.457627118644068e-06,7.189554,2079331.7941176472,2208862.0
3.3559322033898308e-06,6.992158,2083521.828282828,2208685.0
3.2542372881355933e-06,6.778913,2083103.4739583333,2206330.0
3.152542372881356e-06,6.580632,2087404.7741935484,2202779.0
3.050847457627119e-06,6.383712,2092438.9333333333,2204693.0
2.9491525423728813e-06,6.172222,2092879.8735632184,2203100.0
2.8474576271186443e-06,5.970269,2096701.6130952379,2200058.0
2.745762711864407e-06,5.770683,2101668.5,2198034.0
2.6440677966101694e-06,5.559561,2102654.480769231,2195070.0
2.5423728813559323e-06,5.353439,2105686.0066666664,2194406.0
2.440677966101695e-06,5.150015,2110075.5902777775,2188578.0000000005
2.338983050847458e-06,4.939435,2111787.4275362315,2186675.0000000005
2.2372881355932204e-06,4.731985,2115053.9015151514,2187682.0
2.1355932203389833e-06,4.532975,2122583.5317460317,2183777.0
2.033898305084746e-06,4.315626,2121849.4499999997,2179851.0000000005
1.9322033898305084e-06,4.107997,2126068.6228070175,2177893.0
1.830508474576271e-06,3.899286,2130165.5000000005,2177196.0
1.7288135593220343e-06,3.683243,2130503.303921568,2173911.0
1.6271186440677969e-06,3.475726,2136123.270833333,2173104.0
1.5254237288135594e-06,3.268066,2142398.822222222,2169576.0000000005
1.423728813559322e-06,3.04761,2140583.2142857146,2169166.0000000005
1.3220338983050845e-06,2.835459,2144770.26923077,2167164.0
1.2203389830508479e-06,2.626063,2151912.73611111,2164344.0
1.1186440677966104e-06,2.403836,2148883.696969697,2163072.0
1.016949152542373e-06,2.193112,2156560.1333333333,2159997.0000000005
9.152542372881355e-07,1.977797,2160926.351851852,2158338.0
8.13559322033898e-07,1.754541,2156623.3125000005,2156436.0
7.118644067796614e-07,1.540798,2164454.333333332,2158504.0000000005
6.101694915254239e-07,1.326823,2174515.4722222215,2157155.0
5.084745762711865e-07,1.099486,2162322.4666666663,2150253.0000000005
4.06779661016949e-07,0.8829,2170462.500000001,2149412.0
3.0508474576271154e-07,0.666879,2185881.166666669,2150906.0
2.0338983050847493e-07,0.438657,2156730.2499999963,2149390.0
1.0169491525423746e-07,0.221121,2174356.4999999963,2148395.0
0.0,0.004247,,2146061.0
-1.0169491525423729e-07,-0.211199,2076790.1666666665,2145232.0
-2.0338983050847458e-07,-0.425628,2092671.0,2144004.0
-3.0508474576271186e-07,-0.649027,2127366.277777778,2143208.0
-4.0677966101694916e-07,-0.859563,2113092.375,2139436.0
-5.084745762711865e-07,-1.069271,2102899.6333333333,2140431.0
-6.101694915254237e-07,-1.286587,2108573.138888889,2140166.0
-7.118644067796611e-07,-1.494357,2099215.7857142854,2141106.0000000005
-8.135593220338983e-07,-1.702869,2093109.8125,2141261.0
-9.152542372881356e-07,-1.915738,2093121.148148148,2138949.0000000005
-1.016949152542373e-06,-2.12069,2085345.1666666667,2140420.0000000005
-1.1186440677966102e-06,-2.324159,2077657.2878787876,2138750.0
-1.2203389830508474e-06,-2.539848,2081264.3333333335,2136096.0000000005
-1.3220338983050847e-06,-2.738793,2071651.1153846153,2132578.0
-1.4237288135593222e-06,-2.943311,2067325.5833333333,2133585.0
-1.5254237288135594e-06,-3.153084,2067021.7333333334,2131937.0000000005
-1.6271186440677967e-06,-3.350336,2059060.6666666665,2124482.0
-1.728813559322034e-06,-3.551581,2054345.8725490198,2127911.0
-1.8305084745762712e-06,-3.765081,2056849.8055555555,2124394.0
-1.9322033898305084e-06,-3.965684,2052415.403508772,2126584.0
-2.033898305084746e-06,-4.166544,2048550.7999999998,2124018.0
-2.135593220338983e-06,-4.372512,2047446.0952380956,2122779.0
-2.2372881355932204e-06,-4.57025,2042763.2575757573,2121441.0
-2.338983050847458e-06,-4.771683,2040067.3695652173,2117215.0
-2.440677966101695e-06,-4.976456,2038964.611111111,2115678.0
-2.5423728813559323e-06,-5.171154,2033987.2399999998,2112537.0
-2.6440677966101694e-06,-5.369965,2030948.3012820513,2113145.0
-2.745762711864407e-06,-5.579129,2031905.0061728396,2113001.0
-2.8474576271186443e-06,-5.779843,2029825.81547619,2112349.0
-2.9491525423728813e-06,-5.975071,2026029.8218390804,2113886.0
-3.050847457627119e-06,-6.180287,2025760.7388888886,2113798.0
-3.152542372881356e-06,-6.374045,2021874.4892473118,2112227.0
-3.2542372881355933e-06,-6.572315,2019617.6302083333,2114661.0
-3.3559322033898308e-06,-6.776369,2019221.0656565654,2114716.0
-3.457627118644068e-06,-6.976906,2017830.656862745,2117050.0
-3.5593220338983053e-06,-7.171614,2014882.0285714285,2115534.0
-3.6610169491525423e-06,-7.368833,2012783.0879629632,2115567.0
-3.7627118644067798e-06,-7.56384,2010209.7297297297,2118808.0
-3.864406779661017e-06,-7.765991,2009620.4780701755,2116607.0
-3.966101694915254e-06,-7.972424,2010141.094017094,2116132.0
-4.067796610169492e-06,-8.178956,2010660.0166666664,2119074.0
-4.169491525423729e-06,-8.38237,2010405.8130081298,2121894.0000000005
-4.271186440677966e-06,-8.598868,2013227.0317460317,2125223.0
-4.372881355932203e-06,-8.808021,2014237.3604651163,2126528.0
-4.474576271186441e-06,-9.043254,2021030.2499999998,2138949.0000000005
-4.576271186440678e-06,-9.283498,2028616.2296296295,2147101.0000000005
-4.677966101694916e-06,-9.555927,2042752.5108695652,2166645.0
-4.779661016949152e-06,-9.865321,2064021.060283688,2193942.0
-4.88135593220339e-06,-10.207443,2091108.1145833333,2221582.0000000005
-4.983050847457627e-06,-10.509849,2109119.3571428573,2247275.0000000005
-5.084745762711865e-06,-10.77509,2119101.033333333,2263224.0
-5.186440677966102e-06,-11.051844,2130911.0980392154,2276574.0
-5.288135593220339e-06,-11.324683,2141526.592948718,2292601.0
-5.389830508474576e-06,-11.589128,2150184.125786164,2306449.0000000005
-5.491525423728814e-06,-11.875461,2162506.787037037,2324389.0
-5.593220338983051e-06,-12.158896,2173863.224242424,2338458.0000000005
-5.694915254237289e-06,-12.463567,2188543.014880952,2358024.0
-5.796610169491525e-06,-12.736208,2197182.081871345,2374659.0
-5.898305084745763e-06,-13.031411,2209348.4166666665,2393417.0
