# --- BURST CONFIG LOG ---
# Shape: SQU
# Freq: 100.0
# Amp: 0.15
# R_lim: 200000.0
# Filter: Savitzky-Golay
# -------------------
Time_s,CH1_V_Supply,CH2_V_Resistor,CH3_V_SenseP,CH4_V_SenseN,I_Sample_Raw,V_Sample_Raw,I_Sample_Filt,V_Sample_Filt
0.0,0.0,-0.001384,-0.000816,-0.00072,6.92e-09,9.599999999999995e-05,7.089290445716363e-09,7.73167625245588e-05
4e-06,0.0,-0.001384,-0.000816,-0.00072,6.92e-09,9.599999999999995e-05,6.977888745110508e-09,8.836448240000369e-05
8e-06,0.0,-0.001384,-0.000816,-0.00072,6.92e-09,9.599999999999995e-05,6.8696065561570866e-09,9.889118195305875e-05
1.2e-05,0.0,-0.001384,-0.000816,-0.00072,6.92e-09,9.599999999999995e-05,6.764408637855143e-09,0.0001089064239502064
1.6e-05,0.0,-0.001384,-0.000816,-0.00072,6.92e-09,9.599999999999995e-05,6.662259749203718e-09,0.0001184197711579291
1.9999999999999998e-05,0.0,-0.001384,-0.000816,-0.00072,6.92e-09,9.599999999999995e-05,6.563124649201855e-09,0.00012744078634270925
2.4e-05,0.0,-0.001384,-0.000816,-0.00072,6.92e-09,9.599999999999995e-05,6.466968096848595e-09,0.00013597903227102932
2.8e-05,0.0,-0.001384,-0.000816,-0.00072,6.92e-09,9.599999999999995e-05,6.37375485114298e-09,0.0001440440717093717
3.2e-05,0.0,-0.001384,-0.000816,-0.00072,6.92e-09,9.599999999999995e-05,6.283449671084052e-09,0.00015164546742421883
3.6e-05,0.0,-0.001384,-0.000816,-0.00072,6.92e-09,9.599999999999995e-05,6.196017315670854e-09,0.00015879278218205317
3.9999999999999996e-05,0.0,-0.001384,-0.000816,-0.00072,6.92e-09,9.599999999999995e-05,6.111422543902427e-09,0.00016549557874935713
4.4e-05,0.0,-0.001384,-0.000816,-0.00036,6.92e-09,0.00045599999999999997,6.029630114777815e-09,0.00017176341989261318
4.8e-05,-0.001504,-0.001384,-0.000816,-0.00072,-5.999999999999994e-10,9.599999999999995e-05,5.950604787296059e-09,0.0001776058683783037
